,https://roic.ai/company/WEYS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,31200000,35700000,- -,36700000,41700000,47000000,49900000,51700000,55900000,53000000,46000000,33800000,28300000,21700000,26800000,33911798,40809589,75311263,46350893,64649223,62733791,68308674,76732471,84654000,90982000,83769000,63328000,76423000,100426000,112292000,118289000,116953000,120419000,117965000,118119000,109986000,- -
82,Other Non-Cash Items,-5900000,-9900000,- -,-7300000,-12300000,-13000000,5900000,1400000,-7400000,12700000,4800000,15000000,7200000,5700000,-16000000,-8683218,-8313962,-36767682,34616763,-22436151,18430091,-20616457,-9827265,-12383529,14853000,-10804000,18608000,-20557000,-18563000,-19643000,-35879000,28764000,5446000,-11164000,-15718000,49250000,478000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,14600000,10000000,4100000,16800000,5900000,12000000,11400000,9600000,2700000,11650424,9988596,14317029,26279535,19924919,38684234,9612994,24151672,15744000,37902000,98000,17143000,17987000,29826000,17843000,-5727000,46871000,33517000,13052000,9387000,39981000,6392000
84,CAPEX,- -,- -,- -,- -,- -,- -,-900000,-2500000,-1900000,-1100000,-200000,-300000,-600000,-12100000,-4400000,-1204363,-743956,-8194532,-9833660,-1127088,-1835167,-3185862,-2727362,-2178000,-1318000,-1665000,-8344000,-9540000,-3206000,-2890000,-2481000,-5992000,-1578000,-1410000,-7392000,-3368000,-1007000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48477847,-46288,- -,- -,- -,- -,- -,-9320000,-2638000,-27023000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2550000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-16300000,-21900000,-40100000,-65500000,-33500000,-15600000,-26000000,-10100000,-2000000,-5565951,- -,-6004234,-5163270,-6106521,-25188918,-17813940,-8405737,-3069000,-8073000,-22762000,-1179000,-10000,-122000,-8427000,-3033000,-6287000,-15597000,-7949000,-14641000,- -,-35000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,10300000,11400000,39100000,53400000,39300000,13700000,13300000,15600000,11400000,5745678,8938444,9899355,4808799,5262953,5278770,6942114,1343321,5820000,7273000,6375000,12963000,7342000,13968000,8177000,8191000,5745000,17565000,11338000,13250000,6680000,31669000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,200000,-400000,- -,- -,-100000,1300000,29754,165595,2200,37623,230706,4587,1737,76632,-151000,-153000,-155000,-141000,-155000,-3361000,-155000,-155000,-155000,-155000,-155000,-155000,-155000,-111000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-7000000,-13100000,-3000000,-13000000,5200000,-2200000,-13300000,-6700000,6300000,-994882,8360083,-52775058,-10196796,-1739950,-21740728,-14055951,-9713146,422000,-11591000,-20690000,-23569000,-2363000,7786000,-3295000,2522000,-6689000,235000,1824000,-8938000,3157000,-6999000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,- -,-44814000,-25000000,-44000000,-107795000,-139290000,-144340000,-35838000,-54500000,-150149000,-40996000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,100000,400000,700000,1100000,100000,400000,500000,600000,1130415,255375,1064155,1012943,2203623,1860809,2937888,1853250,2191000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1000000,-400000,- -,-8200000,-1900000,-11700000,-700000,-10400000,-7600000,-6786293,-5784410,-195447,-3361294,- -,-1846150,-5197875,-9924502,-11539000,-2633000,-2321000,-13021000,-6558000,-4623000,-7984000,-9858000,-10967000,-15190000,-11414000,-5649000,-2063000,-2525000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1300000,-1400000,-1600000,-1700000,-1500000,-1400000,-1400000,-1600000,-1700000,-1731337,-1790792,-1878604,-2086763,-2380158,-2884927,-3717899,-4655745,-5738000,-6578000,-7026000,-7155000,-10875000,-3904000,-8029000,-8452000,-8720000,-8877000,-9213000,-9408000,-11776000,-9345000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-1200000,-1300000,- -,9500000,-700000,-3593052,2302956,29918031,-9857162,-16585294,-1807032,2954070,-9166992,2547000,2121000,6757000,74592000,33722000,14027000,106016000,167069000,119586000,35496000,60216000,151514000,33947000,2000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-2300000,-1800000,-1200000,-9200000,-3500000,-14300000,-1700000,-2000000,-9400000,-10980267,-5016871,28908135,-14292276,-16761829,-4677300,-3023816,-21893989,-12539000,-8340000,-2590000,9602000,-8711000,-38500000,-17792000,9469000,-44441000,-24409000,-14911000,-13692000,-20888000,-11868000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,543000,332000,3000,46000,-431000,-226000,-837000,43000,400000,-445000,69000,427000,-290000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,-324725,13331808,-9549894,1790463,1423140,12266206,-7466773,-7455463,3627000,18514000,-22850000,3179000,6959000,-1319000,-3470000,5427000,-4216000,9743000,-480000,-13174000,22677000,-12765000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3519190,16850998,7301104,9091567,10514707,22780913,15314140,7858677,11486000,30000000,7150000,10329000,17288000,15969000,12499000,17926000,13710000,23453000,22973000,9799000,32476000,19711000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,8800000,14100000,9300000,9100000,3600000,11200000,6800000,3300000,4200000,3843915,3519190,16850998,7301104,9091567,10514707,22780913,15314140,7859000,11486000,30000000,7150000,10329000,17288000,15969000,12499000,17926000,13710000,23453000,22973000,9799000,32476000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,13700000,7500000,2200000,15700000,5700000,11700000,10800000,-2500000,-1700000,10446061,9244640,6122497,16445875,18797831,36849067,6427132,21424310,13566000,36584000,-1567000,8799000,8447000,27127000,14953000,-8208000,40879000,31939000,11642000,1995000,36613000,5385000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095012497001773/0000950124-97-001773-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106532/000095013403004395/0000950134-03-004395-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013704001795/0000950137-04-001795-index.html,https://www.sec.gov/Archives/edgar/data/106532/000095013705002913/0000950137-05-002913-index.html,https://www.sec.gov/Archives/edgar/data/106532/000127528706001360/0001275287-06-001360-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000127528707001331/0001275287-07-001331-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420408015019/0001144204-08-015019-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420409013541/0001144204-09-013541-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420410013068/0001144204-10-013068-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420411014846/0001144204-11-014846-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420412014516/0001144204-12-014516-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420413015061/0001144204-13-015061-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420414015028/0001144204-14-015028-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420415015293/0001144204-15-015293-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420416087188/0001144204-16-087188-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420417013739/0001144204-17-013739-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420418014341/0001144204-18-014341-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000114420419013992/0001144204-19-013992-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465920032373/0001104659-20-032373-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000110465921035462/0001104659-21-035462-index.htm,https://www.sec.gov/Archives/edgar/data/106532/000141057822000345/0001410578-22-000345-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
