,https://roic.ai/company/MKL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-8500000,16700000,-6600000,-8300000,56500000,22700000,122000000,52100000,11500000,-31700000,-62388000,4100508000,1151471000,747043000,1332655000,1387939000,792011000,-266041000,-82062000,317551000,-46144000,29351000,305567000,337569000,8113105000,432406000,-608724000,-205300000,5943763000,1650900000,221997000,-21755252000,-1883176000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,16800000,27000000,22000000,29800000,92000000,61000000,169000000,94400000,68600000,39900000,558000,89213000,164466000,507367000,631450000,690693000,551251000,511593000,508323000,390157000,282463000,223291000,311318000,392533000,745521000,716792000,651151000,534623000,858529000,892857000,1274120000,1737587000,2274067000
84,CAPEX,- -,- -,- -,- -,-3400000,-10600000,-5300000,-2700000,-4600000,-7000000,-4500000,-4000000,-4600000,-2700000,-4026000,-19633000,-8510000,-14552000,-7908000,-6963000,-29498000,-9192000,-14495000,-17673000,-21906000,-42103000,-60132000,-45519000,-47725000,-82132000,-79755000,-63674000,-74652000,-106593000,-123376000,-101301000,-145249000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,- -,-8000000,-10000000,-155000000,-214000000,-120000000,-244000000,-12000000,-319000000,-262000000,-8000000,-1432000000,-1175000000,-245000000,-559193000,-559299000
86,Purchases of Investments,- -,- -,- -,- -,-178100000,-211600000,-1220100000,-1289400000,-585400000,-418000000,-793100000,-591000000,-904000000,-574800000,-995446000,-891638000,-1382792000,-2755802000,-5236580000,-3497841000,-2444059000,-2125618000,-1652284000,-1169318000,-726954000,-957193000,-930074000,-854731000,-2121820000,-3282219000,-1638378000,-2895133000,-941538000,-444277000,-1051837000,-2151675000,-3420759000
87,Sales/Maturities of Investments,- -,- -,- -,- -,163900000,210400000,1204300000,1238200000,471400000,360400000,654300000,522300000,691900000,533100000,1121714000,910319000,1398711000,2752772000,5222389000,3458139000,2317232000,2234660000,1302070000,1087760000,542128000,927046000,631548000,847245000,2355502000,2707688000,2042594000,1328987000,1707545000,971007000,1126254000,2222423000,1137636000
88,Other Investing Activites,- -,- -,- -,- -,- -,-13700000,-11700000,21200000,38700000,1400000,-23700000,-35300000,15600000,4200000,-136757000,-200659000,-335902000,-444660000,-797451000,-721031000,-453952000,-448632000,-4814000,-40971000,28023000,2907000,4347000,-42483000,13430000,353458000,63312000,92709000,-3812000,-42376000,-241200000,77998000,49869000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-17600000,-25500000,-32800000,-32700000,-79900000,-63200000,-167000000,-108000000,-201100000,-40200000,-14515000,-201611000,-328493000,-462242000,-819550000,-767696000,-567277000,-348782000,-377523000,-150202000,-333709000,-283343000,-474311000,-339488000,187387000,-622205000,125773000,-1545111000,-744457000,-797239000,-535159000,-511748000,-2937802000
90,Debt Repayment,- -,- -,- -,- -,-20900000,-14700000,-22100000,-26500000,-107200000,-27100000,-21600000,-32600000,-21600000,- -,-95288000,-128310000,-344786000,-167833000,-242013000,-110000000,-13230000,-40970000,-184044000,-93050000,-255293000,-30021000,-90557000,-313790000,-321978000,-83722000,-88020000,-278363000,-259972000,-289199000,-1103674000,-275996000,-486730000
91,Common Stock Issued,- -,- -,- -,- -,-200000,-4700000,100000,300000,- -,- -,- -,- -,- -,- -,- -,- -,407532000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24518000,5691000,4752000,4623000,552000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3385000,-15926000,-45880000,-24210000,-60601000,- -,-45218000,-42913000,-16873000,-57388000,-26053000,-31491000,-51142000,-110838000,-54007000,-116307000,-26832000,-206518000
93,Dividends Paid,- -,- -,- -,- -,-100000,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18400000,-36000000
94,Other Financing Activites,- -,- -,- -,- -,25500000,57400000,2000000,32300000,83900000,- -,27700000,39000000,144400000,500000,109531000,361973000,147742000,270163000,358388000,196816000,- -,145397000,- -,100000000,506905000,29629000,328059000,472625000,530215000,36960000,40548000,476901000,626573000,164221000,1579298000,755784000,1099015000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4300000,38000000,-20100000,6000000,-23300000,- -,6100000,6400000,122800000,500000,14243000,233663000,210488000,102330000,116375000,83431000,-29156000,58547000,-208254000,-53651000,251612000,-45610000,194589000,141962000,175367000,-67124000,-74211000,152019000,256315000,-178985000,359317000,434556000,369767000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24387000,9749000,427000,-1823000,3142000,6485000,-45820000,-32873000,-32793000,45295000,-21047000,5643000,55901000,-41734000
97,Net Change In Cash,- -,- -,- -,- -,4300000,38000000,-20100000,6000000,-23300000,- -,8100000,-7300000,-9700000,200000,286000,121265000,46461000,147455000,-71725000,6428000,-45182000,221358000,-77454000,161917000,210115000,-105235000,29773000,198149000,1114760000,-18357000,669840000,-891262000,415682000,-104414000,1103921000,1716296000,-335702000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,11000000,1400000,1500000,1813000,250320000,296781000,444236000,372511000,378939000,333757000,555115000,477661000,639578000,850494000,745259000,775032000,973181000,1978526000,1960169000,2630009000,1738747000,2500846000,2396432000,3500353000,5216649000,4880947000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8600000,12100000,51500000,20600000,23600000,12400000,10200000,18300000,11100000,1300000,1527000,129055000,250320000,296781000,444236000,372511000,378939000,333757000,555115000,477661000,640379000,850494000,745259000,775032000,863766000,1978526000,1960169000,2630009000,2085164000,2500846000,2396432000,3500353000,5216649000
100,Free Cash Flow,- -,- -,- -,- -,13400000,16400000,16700000,27100000,87400000,54000000,164500000,90400000,64000000,37200000,-3468000,69580000,155956000,492815000,623542000,683730000,521753000,502401000,493828000,372484000,260557000,181188000,251186000,347014000,697796000,634660000,571396000,470949000,783877000,786264000,1150744000,1636286000,2128818000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1096343/000091664101500015/0000916641-01-500015-index.html,- -,https://www.sec.gov/Archives/edgar/data/1096343/000091664103000751/0000916641-03-000751-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312504041548/0001193125-04-041548-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312505039831/0001193125-05-039831-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312506045092/0001193125-06-045092-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312507043689/0001193125-07-043689-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312508042863/0001193125-08-042863-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312509041947/0001193125-09-041947-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312510044413/0001193125-10-044413-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312511048986/0001193125-11-048986-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000119312512083817/0001193125-12-083817-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634313000005/0001096343-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634314000006/0001096343-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634315000013/0001096343-15-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634316000185/0001096343-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634317000046/0001096343-17-000046-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634318000042/0001096343-18-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634319000074/0001096343-19-000074-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634320000039/0001096343-20-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634321000032/0001096343-21-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1096343/000109634322000039/0001096343-22-000039-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
