,https://roic.ai/company/MCD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,727000000,802300000,859600000,958600000,1082500000,1224400000,1427300000,1572600000,1642500000,1550100000,1947900000,1977300000,1636600000,893500000,1471400000,2278500000,2602200000,3544200000,2395100000,4313200000,4551000000,4946300000,5503100000,5464800000,5585900000,4757800000,4529300000,4686500000,5192300000,5924300000,6025400000,4730500000,7545200000
74,Depreciation and Amortization,- -,- -,- -,- -,438000000,493300000,514200000,554900000,568400000,628600000,709000000,742900000,793800000,881100000,956300000,1010700000,1086300000,1050800000,1148200000,1201000000,1249500000,1249900000,1214100000,1207800000,1216200000,1276200000,1415000000,1488500000,1585100000,1644500000,1555700000,1516500000,1363400000,1482000000,1617900000,1751400000,- -
75,Deferred Income Tax,- -,- -,- -,- -,68000000,70800000,64700000,22400000,52400000,-5600000,-4200000,32900000,-1100000,35400000,52900000,60500000,-87600000,-44600000,181400000,-171900000,-38300000,28700000,-39100000,101500000,203000000,-75700000,188400000,134500000,25200000,-90700000,-1400000,-538600000,-36400000,102600000,149700000,6400000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500000,112900000,83100000,86200000,93400000,89100000,112800000,110000000,131300000,117500000,125100000,109600000,92400000,- -
77,Change in Working Capital,- -,- -,- -,- -,13000000,- -,- -,- -,- -,-1710600000,871500000,-193700000,-809400000,654500000,-514300000,1003500000,269500000,-277900000,106500000,-62300000,2476100000,-1196200000,-1533800000,1896300000,-552100000,1016200000,-550000000,625200000,361100000,-442500000,5255000000,-5312300000,1056300000,-1356900000,-1142800000,125100000,454200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100000,-42000000,-50100000,-160800000,-29400000,56200000,27000000,-180600000,-159000000,-340700000,-479400000,27000000,-6800000,- -
79,Inventory,- -,- -,- -,- -,1000000,-32100000,400000,2200000,-9600000,-15000000,-20400000,-18700000,-34500000,-18100000,-47700000,-29600000,-62900000,-38100000,-30200000,-14900000,-29400000,-1600000,-29600000,-11000000,1000000,-50800000,-52200000,-27200000,-44400000,-4900000,44900000,28100000,-37300000,-1900000,128800000,-68600000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40100000,-2200000,-39800000,35800000,124100000,-60700000,-74700000,-15000000,89800000,-59700000,129400000,-26800000,-137500000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1710600000,-839100000,-1032800000,-1842200000,-1187700000,-1702000000,-698500000,-429000000,-706900000,-600400000,-662700000,1813400000,617200000,-916600000,979700000,427600000,1443800000,893800000,1519000000,1880100000,1437600000,6692600000,1380300000,2436600000,1079700000,-63100000,62000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-65400000,-15300000,-110000000,-23500000,1789400000,-707400000,306300000,816500000,-354800000,566100000,-1300500000,-216500000,1268300000,361300000,658300000,-1952700000,714900000,2840000000,-1714100000,220000000,-904500000,507400000,-840300000,-525700000,748400000,-4909500000,5576200000,-2141900000,689600000,1362300000,-440600000,1142100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1246000000,1301000000,1423200000,1425900000,1679800000,1926200000,2296200000,2461000000,2442300000,2766300000,3008900000,2751500000,2688300000,2890100000,3268800000,3903600000,4336800000,4341500000,4876300000,5917200000,5751000000,6341600000,7150100000,6966100000,7120700000,6730300000,6539100000,6059600000,5551200000,6966700000,8122100000,6265200000,9141500000
84,CAPEX,- -,- -,- -,- -,-1555000000,-1570700000,-1128800000,-1151000000,-1316900000,-1538600000,-2063700000,-2513000000,-2224800000,-1997700000,-2208500000,-2370600000,-2237800000,-2552200000,-1683200000,-1569000000,-1606800000,-1741900000,-1946600000,-2135700000,-1952100000,-2135500000,-2729800000,-3049200000,-2824700000,-2583400000,-1813900000,-1821100000,-1853700000,-2741700000,-2393700000,-1640800000,-2040000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-343500000,358800000,-228800000,331800000,260300000,194500000,325000000,236200000,259100000,319400000,413600000,866100000,2494800000,429100000,-200100000,10200000,-71800000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229400000,144900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,42000000,48200000,189100000,152300000,98900000,32700000,-45300000,-57300000,7600000,49500000,-53300000,158000000,169600000,85600000,313600000,185900000,132500000,109700000,1025300000,-50200000,-108400000,-115000000,-2895900000,-3403500000,-2932900000,-2624300000,-1833600000,-1847700000,-1932800000,-2884200000,-2871000000,-1556000000,-2093900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1513000000,-1522500000,-939700000,-998700000,-1218000000,-1505900000,-2109000000,-2570300000,-2217200000,-1948200000,-2261800000,-2212600000,-2068200000,-2466600000,-1369600000,-1383100000,-1817800000,-1273400000,-1150100000,-1624700000,-1655300000,-2056000000,-2570900000,-3167300000,-2673800000,-2304900000,-1420000000,-981600000,562000000,-2455100000,-3071100000,-1545800000,-2165700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2698500000,-950000000,-1147500000,-624000000,-962800000,-695400000,-548100000,-1054500000,-822900000,-1649400000,-1759600000,-2061900000,-2411700000,- -
91,Common Stock Issued,- -,- -,- -,- -,200000000,- -,100000000,484900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,580500000,768100000,975700000,1137600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-479000000,-160300000,-109200000,-79700000,-620100000,-495600000,-314500000,-599900000,-1113100000,-1089800000,-891500000,-2023400000,-1068100000,-670200000,-391000000,-621000000,-1202000000,-2959400000,-3943000000,-3919300000,-2797400000,-2698500000,-3363100000,-2615100000,-1777800000,-3198600000,-6099200000,-11171000000,-4685700000,-5207700000,-4976200000,-907800000,-845500000
93,Dividends Paid,- -,- -,- -,- -,-115000000,-133300000,-148300000,-160500000,-201200000,-215700000,-226500000,-232000000,-247700000,-240500000,-264700000,-280700000,-287700000,-297400000,-503500000,-695000000,-842000000,-1216500000,-1765600000,-1823400000,-2235500000,-2408100000,-2609700000,-2896600000,-3114600000,-3216100000,-3230300000,-3058200000,-3089200000,-3255900000,-3581900000,-3752900000,-3918600000
94,Other Financing Activites,- -,- -,- -,- -,614000000,521000000,-248600000,-455600000,108800000,285100000,508700000,936300000,1147200000,470000000,529400000,1767400000,732100000,456400000,-842300000,-898000000,1637500000,-1992100000,574700000,4326700000,1561900000,2525400000,2063800000,2624700000,1544800000,2344500000,11119300000,3789700000,4113500000,4273600000,5625200000,4823400000,-831500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,220000000,227400000,-406100000,-210900000,-712500000,-426200000,-32300000,104400000,-213600000,-860300000,-626800000,-536700000,-623700000,-511200000,-1736800000,-1633500000,361600000,-5192300000,-3996300000,-4114500000,-4421000000,-3728700000,-4533000000,-3849800000,-4043000000,-4618300000,735300000,-11262400000,-5310800000,-5949600000,-4994800000,-2249000000,-5595600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123300000,-95900000,57900000,34100000,-97500000,51400000,58700000,-527900000,-246800000,-103700000,264000000,-159800000,-23700000,80200000,-120100000
97,Net Change In Cash,- -,- -,- -,- -,220000000,227400000,-406100000,-210900000,-712500000,-426200000,-32300000,104400000,-213600000,-860300000,120300000,2200000,-3600000,-87700000,162400000,887000000,2880600000,-2124200000,-146800000,82100000,-267400000,591000000,-51300000,400000,462600000,-720800000,5607600000,-6462100000,1240400000,-1597800000,32500000,2550600000,1260100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,419500000,421700000,418100000,330400000,492800000,1379800000,4260400000,2136400000,1981300000,2063400000,1796000000,2387000000,2335700000,2336100000,2798700000,2077900000,7685500000,1223400000,2463800000,866000000,898500000,3449100000,4709200000
99,Cash at the Beginning of Period,- -,- -,- -,- -,184000000,136900000,142800000,220200000,436500000,185800000,179900000,334800000,329900000,341400000,299200000,419500000,421700000,418100000,330400000,492800000,1379800000,4260600000,2128100000,1981300000,2063400000,1796000000,2387000000,2335700000,2336100000,2798700000,2077900000,7685500000,1223400000,2463800000,866000000,898500000,3449100000
100,Free Cash Flow,- -,- -,- -,- -,-309000000,-269700000,294400000,274900000,362900000,387600000,232500000,-52000000,217500000,768600000,800400000,380900000,450500000,337900000,1585600000,2334600000,2730000000,2599600000,2929700000,3781500000,3798900000,4206100000,4420300000,3916900000,4296000000,4146900000,4725200000,4238500000,3697500000,4225000000,5728400000,4624400000,7101500000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63908/000006390895000003/0000063908-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390896000016/0000063908-96-000016-index.html,https://www.sec.gov/Archives/edgar/data/63908/000006390897000007/0000063908-97-000007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63908/000104746903008450/0001047469-03-008450-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312504035282/0001193125-04-035282-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312505042609/0001193125-05-042609-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312506039862/0001193125-06-039862-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312507039707/0001193125-07-039707-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312508037220/0001193125-08-037220-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312509037008/0001193125-09-037008-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312510042025/0001193125-10-042025-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312511046701/0001193125-11-046701-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000119312512077317/0001193125-12-077317-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390813000010/0000063908-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390814000019/0000063908-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390815000016/0000063908-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390816000103/0000063908-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390817000017/0000063908-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390818000010/0000063908-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390819000010/0000063908-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390820000022/0000063908-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390821000013/0000063908-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/63908/000006390822000011/0000063908-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
