,https://roic.ai/company/SJI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,37400000,34800000,41900000,40000000,7400000,41700000,37689000,10729000,79462000,73896000,80750000,39326000,29074000,147846000,26389000,175190000,159094000,191357000,117826000,159535000,161332000,186794000,262240000,190321000,143583000,121052000,311639000,273113000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41400000,-44600000,-43200000,-49600000,-65900000,-48700000,-50834000,-66859000,-84740000,-62488000,-74148000,-92906000,-76954000,-55539000,-61972000,-109307000,-166910000,-193119000,-253845000,-316644000,-342578000,-345621000,-278002000,-272965000,-341120000,-504212000,-486451000,-532026000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3824000,-9104000,-25332000,-39431000,-2973000,- -,-18835000,-8193000,-29636000,-1749809000,6782000,7015000,-58395000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-800000,-832000,-766000,-693000,-2281000,-9913000,- -,-14817000,- -,- -,-31510000,-6487000,-56807000,-4547000,-25164000,-22337000,-6059000,- -,- -,-11339000,- -,- -,-267000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,800000,- -,- -,- -,- -,- -,20882000,- -,- -,5363000,1450000,17114000,- -,5399000,2901000,54006000,755000,124946000,- -,20069000,1738000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52200000,-8100000,-300000,1500000,-606000,-21998000,-361000,826000,721000,470000,-650000,-4941000,-33982000,-84971000,-265876000,-196042000,-312694000,-342601000,-352682000,-365827000,-238713000,-257628000,-27637000,-484430000,-514766000,-586835000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41300000,-44600000,9800000,-57700000,-67100000,-48000000,-52272000,-89623000,-64912000,-63943000,-83340000,-87073000,-90971000,-43366000,-95954000,-114906000,-278566000,-224175000,-355917000,-245792000,-375019000,-370652000,-245168000,-287264000,-1788785000,-477648000,-507751000,-645497000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26113000,-11215000,-25043000,-36788000,-25411000,-23184000,-125073000,-60113000,-307513000,-790483000,-736653000,-676100000,-135541000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,100000,400000,35300000,200000,10000000,8857000,10953000,10926000,37170000,26710000,31882000,6606000,7484000,2076000,- -,- -,13436000,70241000,54028000,80680000,63192000,214426000,- -,173750000,189032000,200000000,429772000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,-100000,-100000,-100000,-100000,-240000,-114000,- -,- -,- -,-1690000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7149000,- -,-2409000,-2322000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14800000,-15400000,-15500000,-15500000,-15500000,-15700000,-16647000,-17348000,-18204000,-19717000,-22534000,-24397000,-26874000,-29656000,-32914000,-36426000,-40478000,-44975000,-50942000,-57679000,-63869000,-70158000,-82380000,-87308000,-94756000,-106938000,-114643000,-133336000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,16600000,4800000,-35800000,68700000,11800000,24206000,82141000,-6946000,-27333000,-678000,41564000,85213000,-78562000,94500000,303000,169705000,94575000,252680000,114499000,220413000,315603000,-74600000,499549000,2355824000,1007857000,802714000,201420000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,1200000,-10400000,-16100000,53300000,6000000,16176000,75632000,-14224000,-9880000,3498000,47359000,64945000,-100734000,63662000,-62236000,118012000,37993000,235191000,85437000,214040000,183564000,-2667000,104728000,1637186000,353298000,209562000,359993000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,-8600000,41300000,-33800000,-6500000,-400000,1593000,-3262000,326000,73000,908000,-388000,3048000,3746000,-5903000,-1952000,-1460000,5175000,-2900000,-820000,353000,-294000,14405000,7785000,-8016000,-3298000,13450000,-12391000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,5600000,46900000,13100000,6600000,5600000,7227000,3965000,4291000,4364000,5272000,4884000,7932000,11678000,5775000,3823000,2363000,7538000,4638000,3818000,4171000,3877000,18282000,39695000,31679000,28381000,41831000,29440000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,9900000,14200000,5600000,46900000,13100000,6000000,5634000,7227000,3965000,4291000,4364000,5272000,4884000,7932000,11678000,5775000,3823000,2363000,7538000,4638000,3818000,4171000,3877000,31910000,39695000,31679000,28381000,41831000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-9800000,-1300000,-9600000,-58500000,-7000000,-13145000,-56130000,-5278000,11408000,6602000,-53580000,-47880000,92307000,-35583000,65883000,-7816000,-1762000,-136019000,-157109000,-181246000,-158827000,-15762000,-82644000,-197537000,-383160000,-174812000,-258913000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/91928/000009192895000003/0000091928-95-000003-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91928/000009192806000018/0000091928-06-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192807000009/0000091928-07-000009-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192808000020/0000091928-08-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192809000020/0000091928-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036110008906/0001140361-10-008906-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000114036111013012/0001140361-11-013012-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000144530512000502/0001445305-12-000502-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192813000022/0000091928-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192814000018/0000091928-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192815000019/0000091928-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192816000088/0000091928-16-000088-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192817000032/0000091928-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192818000034/0000091928-18-000034-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192819000032/0000091928-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192820000013/0000091928-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192821000014/0000091928-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/91928/000009192822000010/0000091928-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
