,https://roic.ai/company/ADM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,220500000,248100000,261400000,293700000,328500000,354500000,406800000,419200000,475500000,560100000,622200000,647639000,621974000,614070000,648726000,689858000,664652000,656714000,701000000,721000000,730000000,912000000,877000000,848000000,909000000,894000000,882000000,900000000,924000000,941000000,993000000,976000000,996000000
75,Deferred Income Tax,- -,- -,- -,20500000,21000000,23900000,30400000,16200000,22000000,25400000,72700000,-12200000,28700000,49700000,-23812000,3919000,-4972000,105086000,-67505000,241671000,-105646000,109000000,-128000000,34000000,30000000,521000000,45000000,161000000,-59000000,-7000000,56000000,-714000000,-47000000,21000000,75000000,-129000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000000,45000000,47000000,48000000,43000000,55000000,79000000,74000000,66000000,109000000,89000000,151000000,161000000
77,Change in Working Capital,- -,- -,- -,126400000,140300000,47200000,601900000,684900000,-177700000,-243600000,210900000,-715600000,-301100000,214900000,-119878000,453898000,360614000,630451000,314374000,755078000,1317673000,1592490000,3580000000,-311000000,-962000000,4725000000,-1958000000,544000000,-2446000000,-2102000000,-452000000,-517000000,1457000000,-1199000000,1491000000,2654000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,974000000,296000000,425000000,913000000,-160000000,73000000,-376000000,287000000,-149000000,-578000000
79,Inventory,- -,- -,- -,80400000,63200000,-75300000,-92400000,-69900000,-172600000,-41600000,-320500000,23000000,-150500000,-79800000,-160422000,229289000,-72508000,-200392000,-950792000,825486000,-600588000,-1215000000,-4580000000,1899000000,-144000000,-3412000000,-272000000,2541000000,1274000000,872000000,-654000000,-137000000,226000000,-21000000,-2426000000,-2839000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2223000000,- -,- -,-117000000,-291000000,-94000000,-774000000,161000000,181000000,-300000000,-64000000,694000000,1919000000
81,Other Working Capital,- -,- -,- -,1487200000,1627500000,1674700000,2276600000,2961500000,2783800000,2540200000,2751100000,2035500000,1734400000,1949300000,1829422000,2283320000,2643934000,3274385000,3588759000,4343837000,5661510000,7254000000,10834000000,10523000000,9561000000,14286000000,12328000000,12872000000,10426000000,8324000000,7872000000,7355000000,8812000000,7613000000,9104000000,400000000
82,Other Non-Cash Items,- -,- -,- -,-12300000,-182100000,-120800000,-560900000,-923300000,-52500000,206700000,-544800000,485700000,-77900000,67000000,10544000,-598896000,35783000,-754371000,-1398098000,-579607000,-1804770000,-4261490000,-9179000000,3147000000,729000000,-10546000000,2689000000,2227000000,4270000000,1780000000,-382000000,857000000,-9054000000,-6735000000,-6851000000,204000000
83,Cash Provided by Operating Activities,- -,- -,- -,779800000,710800000,678400000,868900000,673800000,630400000,1191200000,853900000,610700000,613400000,1219800000,815396000,864179000,1516588000,1081037000,33339000,2126179000,1376041000,303000000,-3204000000,5341000000,2684000000,-2340000000,2895000000,5226000000,4962000000,2481000000,1475000000,2211000000,-4784000000,-5452000000,-2386000000,6595000000
84,CAPEX,- -,- -,- -,-296600000,-327400000,-467700000,-479500000,-394400000,-514400000,-558600000,-754300000,-779500000,-1073300000,-807500000,-428737000,-273168000,-349637000,-419876000,-509237000,-623819000,-762009000,-1198000000,-1779000000,-1898000000,-1607000000,-1247000000,-1477000000,-913000000,-894000000,-1125000000,-882000000,-1049000000,-842000000,-828000000,-823000000,-1169000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30422000,-124639000,-40012000,-526970000,-93022000,-24238000,-182213000,282000000,-2000000,60000000,-62000000,-218000000,-371000000,-44000000,-2356000000,1286000000,-597000000,-272000000,-430000000,-1666000000,-20000000,-1598000000
86,Purchases of Investments,- -,- -,- -,-1385100000,-1217600000,-766000000,-1004800000,-2691900000,-2136600000,-2017600000,-816400000,-1383100000,-1569700000,-635600000,-1101100000,-460195000,-455908000,-328852000,-857786000,-1433412000,-810565000,-945000000,-1405000000,-2402000000,-1533000000,-2410000000,-1328000000,-891000000,-1344000000,-1084000000,-1401000000,-538000000,- -,-27000000,-2000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,1154900000,1039000000,1007400000,773800000,1637400000,2643400000,1940400000,1260700000,1607600000,1007400000,1139500000,912923000,838859000,434826000,271340000,786492000,1674180000,581489000,1367000000,1222000000,2312000000,1454000000,2094000000,1945000000,995000000,1239000000,1119000000,1659000000,985000000,13000000,104000000,6000000,1000000
88,Other Investing Activites,- -,- -,- -,-159300000,-192300000,-452800000,-195400000,-246900000,-241200000,-177700000,-139200000,-429900000,100000,-117400000,-412072000,-171263000,3367000,-64630000,99118000,105781000,104757000,139000000,69000000,57000000,83000000,106000000,109000000,276000000,-52000000,-217000000,10000000,-12000000,7841000000,7676000000,5304000000,97000000
89,Cash Used for Investing Activites,- -,- -,- -,-686100000,-698300000,-679100000,-905900000,-1695800000,-248800000,-813500000,-449200000,-984900000,-1635500000,-421000000,-1059408000,-190406000,-407364000,-1068988000,-574435000,-301508000,-1068541000,-355000000,-1895000000,-1871000000,-1665000000,-1675000000,-1122000000,-577000000,-3407000000,-21000000,-1211000000,-886000000,6582000000,5259000000,4465000000,-2669000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,-552000000,-438000000,-402000000,-275000000,-1251000000,-994000000,-14000000,-835000000,-30000000,-626000000,-2136000000,-534000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38817000,30901000,- -,170000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-355200000,-179600000,-260000000,-312500000,-81200000,-313800000,-210911000,-62932000,-184519000,-101212000,-4113000,-139112000,-1585000,-533000000,-61000000,-100000000,-100000000,-301000000,-527000000,-101000000,-1183000000,-2040000000,-1000000000,-750000000,-77000000,-150000000,-133000000,- -
93,Dividends Paid,- -,- -,- -,-15400000,-25600000,-29500000,-30000000,-29200000,-32300000,-45200000,-84400000,-104100000,-107700000,-106800000,-120447000,-125053000,-130000000,-155565000,-174109000,-209425000,-241995000,-281000000,-316000000,-347000000,-372000000,-395000000,-455000000,-501000000,-624000000,-687000000,-701000000,-730000000,-758000000,-789000000,-809000000,-834000000
94,Other Financing Activites,- -,- -,- -,-23700000,-12100000,269500000,383700000,473300000,-64200000,-14700000,19800000,653900000,1159600000,-43200000,371218000,-286928000,-626604000,483572000,455749000,-1524822000,526513000,246000000,5623000000,-2754000000,-4000000,4718000000,287000000,-2365000000,-519000000,1072000000,1136000000,1287000000,1052000000,905000000,2655000000,250000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-39100000,-37700000,240000000,353700000,444100000,-451700000,-239500000,-324600000,237300000,970700000,-463800000,39860000,-474913000,-941123000,226795000,316344000,-1842458000,282933000,-398000000,5246000000,-3225000000,-1028000000,3584000000,-1097000000,-3242000000,-3577000000,-2649000000,-579000000,-1028000000,187000000,-660000000,-423000000,-1118000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-39100000,-37700000,240000000,353700000,444100000,-451700000,138200000,80100000,-136900000,-51500000,335100000,-204152000,198860000,168101000,238844000,-224752000,-17787000,590433000,-450000000,147000000,245000000,-9000000,-431000000,676000000,1407000000,-2022000000,-189000000,-315000000,297000000,1985000000,-853000000,1656000000,2808000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,454600000,534700000,397800000,346300000,681400000,477226000,676086000,844187000,764959000,540207000,522420000,1112853000,663000000,810000000,1055000000,1046000000,615000000,1291000000,3121000000,1099000000,910000000,688000000,1858000000,3843000000,2990000000,4646000000,7454000000
99,Cash at the Beginning of Period,- -,- -,- -,379000000,433600000,408400000,647600000,964400000,386500000,316400000,454600000,534700000,397800000,346300000,681378000,477226000,676086000,526115000,764959000,540207000,522420000,1113000000,663000000,810000000,1055000000,1046000000,615000000,1714000000,3121000000,1099000000,1003000000,1561000000,1858000000,3843000000,2990000000,4646000000
100,Free Cash Flow,- -,- -,- -,483200000,383400000,210700000,389400000,279400000,116000000,632600000,99600000,-168800000,-459900000,412300000,386659000,591011000,1166951000,661161000,-475898000,1502360000,614032000,-895000000,-4983000000,3443000000,1077000000,-3587000000,1418000000,4313000000,4068000000,1356000000,593000000,1162000000,-5626000000,-6280000000,-3209000000,5426000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7084/000000708494000015/0000007084-94-000015-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708495000024/0000007084-95-000024-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708496000017/0000007084-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708497000032/0000007084-97-000032-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708498000029/0000007084-98-000029-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708499000022/0000007084-99-000022-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708400000039/0000007084-00-000039-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708401500047/0000007084-01-500047-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708402000017/0000007084-02-000017-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708403000063/adm10k2003.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708404000364/adm10-k04.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708405000350/adm10kfy05.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708406000401/adm10kfy06.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708407000166/0000007084-07-000166-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708408000044/0000007084-08-000044-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708409000051/0000007084-09-000051-index.html,- -,https://www.sec.gov/Archives/edgar/data/7084/000000708411000028/0000007084-11-000028-index.html,- -,https://www.sec.gov/Archives/edgar/data/7084/000000708414000011/adm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708415000005/adm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708416000046/0000007084-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708417000008/0000007084-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708418000012/0000007084-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708419000012/0000007084-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708420000009/0000007084-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/7084/000000708421000008/0000007084-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/7084/000000708422000008/0000007084-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
