,https://roic.ai/company/COP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,219000000,779000000,258000000,180000000,243000000,484000000,469000000,1303000000,959000000,237000000,609000000,1862000000,1661000000,-295000000,4735000000,8129000000,13617000000,15550000000,11891000000,-16998000000,4858000000,11358000000,12436000000,8428000000,9156000000,6869000000,-4428000000,-3615000000,-855000000,6257000000,7189000000,-2701000000,8079000000
74,Depreciation and Amortization,- -,- -,- -,- -,1106000000,808000000,1190000000,820000000,841000000,794000000,871000000,941000000,863000000,1302000000,902000000,1179000000,1405000000,2245000000,3485000000,3798000000,4253000000,7284000000,8298000000,9012000000,- -,9060000000,- -,6580000000,7434000000,8329000000,9113000000,9062000000,6845000000,5956000000,6090000000,5521000000,7208000000
75,Deferred Income Tax,- -,- -,- -,- -,-153000000,-245000000,-193000000,-302000000,-48000000,-40000000,9000000,163000000,283000000,84000000,160000000,412000000,515000000,142000000,401000000,1025000000,1101000000,263000000,-157000000,-428000000,-1109000000,-878000000,1287000000,1397000000,1311000000,709000000,-2772000000,-2221000000,-3681000000,283000000,-444000000,-834000000,1346000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,180800000,242000000,-556000000,-24000000,90000000,102000000,-430000000,575000000,34000000,14000000,36000000,-1139000000,707000000,-1734000000,-906000000,2254000000,-1182000000,382000000,-782000000,1210000000,-1591000000,9769000000,-5091000000,4396000000,-2652000000,-363000000,-3998000000,2167000000,5415000000,-1236000000,3991000000,-3170000000,1271000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-22200000,-120000000,17000000,22000000,80000000,-10000000,25000000,31000000,-33000000,-36000000,16000000,-10000000,-289000000,200000000,-24000000,360000000,-182000000,-828000000,767000000,-1321000000,320000000,-363000000,556000000,210000000,-278000000,-193000000,166000000,44000000,-55000000,86000000,-67000000,-25000000,-160000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612000000,2887000000,1290000000,1103000000,183000000,-783000000,-1647000000,-524000000,265000000,-52000000,-373000000,-249000000,1399000000
81,Other Working Capital,- -,- -,- -,- -,170000000,412000000,-144000000,-168000000,-78000000,24000000,-406000000,169000000,203000000,217000000,253000000,-886000000,-179000000,-1913000000,-2819000000,-565000000,-1747000000,-1365000000,-2147000000,-937000000,-2528000000,7241000000,2150000000,6546000000,3894000000,3531000000,-467000000,1700000000,7115000000,5879000000,9870000000,6700000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,301200000,-480000000,331000000,234000000,182000000,-137000000,677000000,-897000000,106000000,-7000000,234000000,1700000000,-726000000,4611000000,1641000000,-3247000000,-161000000,-1963000000,5300000000,29862000000,10321000000,-12264000000,11014000000,-6879000000,838000000,1191000000,9657000000,-990000000,-647000000,1674000000,-5722000000,5986000000,-908000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1654000000,1104000000,1030000000,908000000,1308000000,1203000000,1596000000,2085000000,2245000000,1630000000,1941000000,4014000000,3562000000,4969000000,9356000000,11959000000,17628000000,21516000000,24550000000,22658000000,12479000000,17045000000,19646000000,13922000000,16087000000,16735000000,7572000000,4403000000,7077000000,12934000000,11104000000,4802000000,16996000000
84,CAPEX,- -,- -,- -,- -,-872000000,-1383000000,-1385000000,-1152000000,-1216000000,-1154000000,-1456000000,-1544000000,-2043000000,-2052000000,-1690000000,-2022000000,-3085000000,-4388000000,-6169000000,-9496000000,-11620000000,-15596000000,-11791000000,-19099000000,-10861000000,-9761000000,-13266000000,-14172000000,-15537000000,-17085000000,-10050000000,-4869000000,-4591000000,-6750000000,-6636000000,-4715000000,-5324000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6443000000,80000000,1180000000,- -,- -,- -,-14285000000,- -,- -,-344000000,36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8290000000
86,Purchases of Investments,- -,- -,- -,- -,-122000000,-47000000,-196000000,-25000000,-10000000,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-982000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,19000000,15000000,56000000,242000000,336000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1431000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,37000000,707000000,192000000,144000000,485000000,266000000,103000000,3000000,-13000000,68000000,208000000,2703000000,235000000,525000000,2435000000,1707000000,604000000,-112000000,3229000000,1483000000,-9591000000,5611000000,-8446000000,-11627000000,-6251000000,-15131000000,-8655000000,-3859000000,7762000000,-3843000000,-6618000000,-4121000000,-254000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-938000000,-708000000,-1333000000,-791000000,-405000000,-908000000,-1353000000,-1541000000,-2056000000,-1984000000,-1482000000,-5762000000,-2770000000,-2683000000,-3734000000,-7789000000,-11016000000,-29993000000,-8562000000,-17616000000,-9935000000,4665000000,-7015000000,-11627000000,-6251000000,-15131000000,-8655000000,-3859000000,7762000000,-3843000000,-6618000000,-4121000000,-8544000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7858000000,-5320000000,-961000000,-2565000000,-946000000,-2014000000,-103000000,-2251000000,-7876000000,-4995000000,-80000000,-254000000,-505000000
91,Common Stock Issued,- -,- -,- -,- -,5000000,406000000,7000000,11000000,19000000,12000000,9000000,25000000,20000000,13000000,24000000,31000000,51000000,44000000,108000000,430000000,402000000,220000000,285000000,198000000,13000000,133000000,96000000,138000000,20000000,35000000,- -,- -,- -,121000000,- -,- -,145000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-37000000,-4000000,-4000000,-4000000,-1000000,- -,- -,-395000000,-523000000,-13000000,- -,- -,-300000000,- -,- -,-1924000000,-925000000,-7001000000,-8249000000,- -,-3866000000,-11123000000,-4960000000,- -,- -,-82000000,-189000000,-3063000000,-2999000000,-3530000000,-897000000,-3623000000
93,Dividends Paid,- -,- -,- -,- -,-229000000,-256000000,-291000000,-291000000,-292000000,-293000000,-313000000,-329000000,-353000000,-353000000,-344000000,-346000000,-403000000,-684000000,-1107000000,-1232000000,-1639000000,-2277000000,-2661000000,-2854000000,-2832000000,-3175000000,-3632000000,-3278000000,-3334000000,-3525000000,-3664000000,-1253000000,-1305000000,-1363000000,-1500000000,-1831000000,-2359000000
94,Other Financing Activites,- -,- -,- -,- -,-863000000,-547000000,35000000,184000000,-638000000,61000000,-65000000,308000000,87000000,1151000000,-85000000,2074000000,-447000000,-1280000000,-4700000000,-2597000000,-2523000000,10047000000,-5963000000,5141000000,7822000000,-591000000,-685000000,6184000000,-2873000000,2930000000,2420000000,4457000000,-112000000,-123000000,-119000000,274000000,7000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1087000000,-434000000,-253000000,-100000000,-915000000,-221000000,-369000000,4000000,-641000000,288000000,-418000000,1759000000,-799000000,-2220000000,-5699000000,-3399000000,-5684000000,7065000000,-15340000000,-5764000000,-2855000000,-12819000000,-16305000000,-4481000000,-7133000000,-2574000000,-1429000000,764000000,-12356000000,-9359000000,-5229000000,-2708000000,-6335000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,125000000,-101000000,15000000,-9000000,21000000,98000000,21000000,- -,24000000,-75000000,-214000000,-182000000,-66000000,232000000,-117000000,-46000000,-20000000,-34000000
97,Net Change In Cash,- -,- -,- -,- -,-1087000000,-434000000,-253000000,-100000000,-915000000,74000000,-126000000,548000000,-452000000,-66000000,41000000,11000000,-7000000,165000000,183000000,897000000,827000000,-1397000000,639000000,-701000000,-213000000,8912000000,-3674000000,-2162000000,2628000000,-1184000000,-2694000000,1242000000,2715000000,-385000000,-789000000,-2047000000,2083000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,193000000,67000000,615000000,163000000,97000000,138000000,149000000,142000000,307000000,490000000,1387000000,2214000000,817000000,1456000000,755000000,542000000,9454000000,5780000000,3618000000,6246000000,5062000000,2368000000,3610000000,6325000000,6151000000,5362000000,3315000000,5398000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1079000000,708000000,670000000,114000000,131000000,119000000,193000000,67000000,615000000,163000000,97000000,138000000,149000000,142000000,307000000,490000000,1387000000,2214000000,817000000,1456000000,755000000,542000000,9454000000,5780000000,3618000000,6246000000,5062000000,2368000000,3610000000,6536000000,6151000000,5362000000,3315000000
100,Free Cash Flow,- -,- -,- -,- -,782000000,-279000000,-355000000,-244000000,92000000,49000000,140000000,541000000,202000000,-422000000,251000000,1992000000,477000000,581000000,3187000000,2463000000,6008000000,5920000000,12759000000,3559000000,1618000000,7284000000,6380000000,-250000000,550000000,-350000000,-2478000000,-466000000,2486000000,6184000000,4468000000,87000000,11672000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1163165/000095012903001563/0000950129-03-001563-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095013404002756/h12939e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012905001641/h22551e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465906012015/a06-2522_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000110465907013338/a07-4741_110k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000095012908001094/h53977e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000136231009002769/0001362310-09-002769-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012310017187/0000950123-10-017187-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000095012311016957/h76276e10vk.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312512070636/0001193125-12-070636-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312513065426/0001193125-13-065426-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312514066358/d665238d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312515059281/d869001d10k.htm,https://www.sec.gov/Archives/edgar/data/1163165/000119312516472901/0001193125-16-472901-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312517050077/0001193125-17-050077-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312518049729/0001193125-18-049729-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312519043841/0001193125-19-043841-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000119312520039954/0001193125-20-039954-index.html,https://www.sec.gov/Archives/edgar/data/1163165/000156276221000027/0001562762-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1163165/000156276222000031/0001562762-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
