,https://roic.ai/company/CECE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1337222,- -,-118000,- -,- -,- -,- -,- -,-1586000,- -,- -,-991000,-456000,-2365000,-973000,- -,-188000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-728000,-2460000,-4337000,-5937000,-7977000,-8995000,-7792000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,100000,- -,1000000,-1100000,59089,-650087,946937,969197,27544116,-1489192,-8577000,-3681000,-3127000,-1220000,-1954000,1821000,-11096000,23556000,13800000,-336000,112000,248000,102000000,34027000,154592000,9933000,-3042000,854000,-1041000,96000000,-15556000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,1000000,-1100000,959089,-622587,971037,969197,27544116,-2795300,-4200000,-3790000,-3107000,-1207000,-1954000,5183000,7900000,21220000,-13647000,-3043000,-1607000,-2668000,81080000,18250000,38920000,-55838000,-22713000,-44900000,-12116000,3724000,-15556000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-486000,-1712000,881000,-1531000,-445000,1943000,-1475000
97,Net Change In Cash,- -,- -,- -,- -,1000000,-1100000,713126,-630837,435653,-483179,770144,-470637,-611000,141000,-58000,203000,-29000,135000,211000,513000,246000,4399000,6932000,10270000,-333000,-3299000,16032000,11630000,-15922000,13779000,-7480000,853000,-5816000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1043011,412174,847827,364648,1134792,664155,53000,194000,136000,339000,310000,445000,656000,1169000,1393000,5792000,12724000,22994000,22661000,19362000,34194000,45824000,29902000,44438000,36958000,37811000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,329885,1043011,412174,847827,364648,1134792,664000,53000,194000,136000,339000,310000,445000,656000,1147000,1393000,5792000,12724000,22994000,22661000,18162000,34194000,45824000,30659000,44438000,36958000,37811000
100,Free Cash Flow,- -,- -,- -,- -,-1000000,1300000,-229093,31438,1850381,-1000063,-1002493,2071113,3589000,3701000,1481000,1410000,1925000,-5048000,2266000,2828000,13893000,2284000,7825000,16556000,22804000,15112000,11874000,68523000,5542000,18862000,4572000,476000,13298000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/0000950137-96-000406-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3197/000119312504052176/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312505077739/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312506068031/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312507071909/0001193125-07-071909-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312508058939/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312509055504/0001193125-09-055504-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312510069639/0001193125-10-069639-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312511067373/d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312512119293/0001193125-12-119293-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312513109153/0001193125-13-109153-index.html,https://www.sec.gov/Archives/edgar/data/3197/000119312514098407/d661608d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000119312515095828/d864880d10k.htm,https://www.sec.gov/Archives/edgar/data/3197/000156459016015157/0001564590-16-015157-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459017004264/0001564590-17-004264-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459018005085/0001564590-18-005085-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459019006619/0001564590-19-006619-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459020008551/0001564590-20-008551-index.html,https://www.sec.gov/Archives/edgar/data/3197/000156459021010416/0001564590-21-010416-index.htm,https://www.sec.gov/Archives/edgar/data/3197/000095017022003502/0000950170-22-003502-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
