,https://roic.ai/company/CCUR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
84,CAPEX,- -,- -,- -,- -,-14200000,-7800000,-8800000,-10600000,-7600000,-5100000,-2500000,-2500000,-2900000,-4200000,-4361000,-3761000,-4522000,-5595000,-4876000,-2031000,-1912000,-2525000,-2310000,-2049000,-3123000,-1956000,-1977000,-1447000,-1900000,-1949000,-2286000,-912000,-271000,-3272000,-326000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1159000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,31043000,30256000,238000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6997000,-2226000,- -,- -,- -,- -,-6856000,-32399000,-22231000,-12009000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,7634000,- -,- -,- -,- -,- -,18769000,12020000,17348000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,5300000,- -,1795000,276000,-7827000,-2529000,3103000,- -,- -,- -,1415000,- -,- -,- -,- -,2750000,- -,664000,-35000,- -,-4405000,-13591000,-988000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-14200000,-7800000,-8800000,-10600000,-7600000,-5100000,-3200000,3300000,5100000,-4200000,-2566000,-3485000,-12349000,-8124000,-1773000,-2031000,-753000,-2525000,-895000,-2049000,-3123000,-7453000,3431000,1303000,-1900000,-1285000,1214000,23275000,11950000,-26836000,4025000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-949000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000
91,Common Stock Issued,- -,- -,- -,- -,1300000,200000,- -,300000,- -,200000,1000000,1300000,1000000,1800000,6940000,3916000,27492000,550000,1184000,88000,5000,12618000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000,- -,- -,- -,-10000,-255000,- -,- -,- -,- -,- -,- -,- -,- -,-4008000,-1437000,-68000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7542000,-4471000,-4501000,-4472000,-4602000,-2652000,-1000,-4711000
94,Other Financing Activites,- -,- -,- -,- -,-6100000,-15700000,-21100000,-7900000,-73400000,-7800000,-4000000,-3200000,-12400000,-1600000,-33000,-71000,-85000,-85000,-93000,2418000,-597000,-506000,-128000,- -,- -,- -,- -,- -,-136000,- -,- -,118000,- -,1600000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-4800000,-15500000,-21100000,-7600000,-18400000,-7600000,-3000000,-1900000,-11400000,200000,6907000,3845000,27407000,465000,1049000,2506000,-592000,12112000,-138000,-255000,-949000,- -,- -,-7542000,-4607000,-4501000,-4472000,-4484000,-6660000,162000,-6379000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1200000,-300000,-1100000,-1500000,-300000,-200000,700000,-1000000,-900000,- -,-616000,-769000,243000,738000,341000,17000,-143000,302000,402000,-245000,-211000,399000,-57000,-371000,-114000,-381000,296000,-162000,-22000,-17000,17000
97,Net Change In Cash,- -,- -,- -,- -,-4800000,-15500000,-21100000,-7600000,-18400000,-7600000,-3000000,-1900000,1700000,1200000,3210000,-622000,21059000,178000,-2769000,-8048000,-5457000,5993000,6943000,1751000,2254000,-3550000,1799000,-1686000,147000,-2623000,-5183000,15625000,-2901000,-24909000,1253000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,6900000,10082000,9460000,30519000,30697000,27928000,19880000,14423000,20416000,27359000,29110000,31364000,27814000,29613000,27927000,28074000,25451000,20268000,35893000,32992000,8083000,9336000
99,Cash at the Beginning of Period,- -,- -,- -,- -,12000000,25700000,23400000,20600000,30400000,9400000,5700000,3600000,4000000,5700000,6872000,10082000,9460000,30519000,30697000,27928000,19880000,14423000,20416000,27359000,29110000,31364000,27814000,29613000,27927000,28074000,25451000,20268000,35893000,32992000,8083000
100,Free Cash Flow,- -,- -,- -,- -,19700000,13500000,19300000,18800000,-2400000,4100000,800000,-2400000,6000000,900000,-4876000,-3974000,1236000,1504000,-7262000,-10571000,-5881000,-6421000,5264000,2251000,3414000,1548000,-3552000,3477000,4868000,1595000,-4507000,-3916000,-8440000,-1490000,3264000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000095011294002605/0000950112-94-002605-index.html,https://www.sec.gov/Archives/edgar/data/749038/000074903895000007/0000749038-95-000007-index.html,https://www.sec.gov/Archives/edgar/data/749038/000095014496006649/0000950144-96-006649-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540297000155/0001015402-97-000155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540298000338/0001015402-98-000338-index.html,- -,https://www.sec.gov/Archives/edgar/data/749038/000101540200002360/0001015402-00-002360-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540201502732/0001015402-01-502732-index.html,https://www.sec.gov/Archives/edgar/data/749038/000101540202003217/0001015402-02-003217-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749038/000114036107017527/0001140361-07-017527-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036108020318/0001140361-08-020318-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036109019931/0001140361-09-019931-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036110035681/0001140361-10-035681-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036111044076/0001140361-11-044076-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036112038661/0001140361-12-038661-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036113036155/0001140361-13-036155-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036114034313/0001140361-14-034313-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114036115033559/0001140361-15-033559-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420416122127/0001144204-16-122127-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000114420417048837/0001144204-17-048837-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420418048540/0001144204-18-048540-index.html,https://www.sec.gov/Archives/edgar/data/749038/000114420419042110/0001144204-19-042110-index.htm,https://www.sec.gov/Archives/edgar/data/749038/000110465920105213/0001104659-20-105213-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
