,https://roic.ai/company/ZBRA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,24400000,- -,- -,- -,- -,- -,- -,-8100000,- -,-55505000,- -,- -,- -,- -,-70421000,-68221000,-112094000,-157582000,-65445000,-102091000,-160200000,-54373000,-63102000,- -,- -,- -,- -,- -,-47000000,-200000000,-57000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-12500000,-4500000,-8100000,-100000,-4000000,- -,-100000,- -,-200000,-200000,-462000,-32000,-74000,-342000,-672000,-171000,1514000,921000,7337000,4985000,9219000,14401000,4939000,18929000,3192234000,16000000,108000000,1308000000,905000000,631000000,385000000,-11000000
95,Cash Used/Provided by Financing Activities,-12500000,19900000,-8100000,200000,-3400000,900000,400000,1000000,-6300000,10000000,-48675000,8863000,13032000,17420000,14859000,-58839000,-56305000,-102798000,-150245000,-60460000,-92872000,-145799000,-49434000,-44173000,3192234000,-149000000,-376000000,-517000000,-661000000,-365000000,-157000000,-371000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,700000,-1400000,-1508000,-774000,932000,1535000,273000,-1780000,1972000,-18000,-14415000,1089000,562000,1835000,-40000,643000,1900000,-16000000,7000000,-4000000,-5000000,1000000,-2000000,- -
97,Net Change In Cash,-12500000,19900000,-8100000,200000,-3400000,900000,- -,- -,- -,27100000,-13686000,12552000,-7910000,-4152000,3717000,7638000,15393000,-1437000,-4944000,5676000,8533000,-9822000,28322000,-1913000,331123000,-202000000,-36000000,-94000000,-18000000,-14000000,138000000,140000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,38500000,24815000,26328000,18418000,14266000,17983000,25621000,41014000,38211000,33267000,38943000,47476000,36353000,64740000,62827000,393950000,192000000,156000000,62000000,44000000,30000000,168000000,332000000
99,Cash at the Beginning of Period,4900000,700000,800000,1000000,2400000,10400000,10000000,5200000,10900000,11400000,38501000,13776000,26328000,18418000,14266000,17983000,25621000,39648000,38211000,33267000,38943000,46175000,36418000,64740000,62827000,394000000,192000000,156000000,62000000,44000000,30000000,192000000
100,Free Cash Flow,8400000,10300000,10500000,7600000,31500000,7400000,-4500000,-10600000,6100000,11700000,124973000,4463000,-21874000,96112000,95013000,78304000,50964000,131250000,96009000,80383000,106241000,51471000,157388000,173055000,209034000,-11000000,295000000,428000000,721000000,624000000,895000000,1010000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/877212/000091205702011604/a2074627z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000110465904005927/a04-2920_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465905009342/a05-1760_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465906012591/a06-1914_110k.htm,https://www.sec.gov/Archives/edgar/data/877212/000110465907015616/a07-5489_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/877212/000119312509040579/0001193125-09-040579-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312510037472/0001193125-10-037472-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312511045274/d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312512075320/0001193125-12-075320-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312513069145/0001193125-13-069145-index.html,https://www.sec.gov/Archives/edgar/data/877212/000119312514060748/d639974d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000119312515095560/d845903d10k.htm,https://www.sec.gov/Archives/edgar/data/877212/000162828016011978/0001628280-16-011978-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721217000009/0000877212-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721218000011/0000877212-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721219000011/0000877212-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721220000006/0000877212-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/877212/000087721221000008/0000877212-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/877212/000087721222000026/0000877212-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
