,https://roic.ai/company/TWI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-100000,-500000,-1100000,-1400000,-1400000,-1300000,-1200000,-1240000,-827000,-416000,-419000,-375000,-358000,-393000,-506000,-585000,-704000,-707000,-809000,-845000,-1046000,-1073000,-1077000,-1081000,-1167000,-1201000,-1204000,-603000,- -
94,Other Financing Activites,2700000,-2000000,13100000,26500000,-57000000,2800000,69900000,57500000,33100000,-40966000,-4408000,4934000,-16354000,-45767000,52164000,86072000,-10789000,32667000,173642000,200285000,27109000,17014000,856897000,15144000,5872000,17285000,447639000,57294000,134227000,88431000,496128000
95,Cash Used/Provided by Financing Activities,2700000,-7000000,45200000,43500000,6800000,-8100000,-8600000,47000000,28300000,-42846000,-5610000,4407000,-17017000,-61142000,53306000,91086000,-4664000,32012000,136105000,-11645000,16380000,-4642000,82680000,-46274000,-726000,-6430000,-24083000,17536000,32122000,-38565000,13946000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-542000,-121000,661000,660000,-216000,- -,- -,- -,- -,- -,- -,-333000,-1688000,-6004000,-3185000,-14530000,295000,2748000,-6314000,141000,-1253000,-6396000
97,Net Change In Cash,- -,- -,- -,-18600000,- -,- -,- -,- -,-5500000,-2938000,3546000,12835000,-15493000,-5426000,-538000,32820000,24913000,3333000,167524000,10318000,-110330000,59944000,246000,12091000,-1263000,-52361000,-4257000,-61885000,-14886000,50632000,-19323000
98,Cash at the End of Period,- -,- -,- -,7200000,- -,- -,- -,- -,8600000,5668000,9214000,22049000,6556000,1130000,592000,33412000,58325000,61658000,229182000,239500000,129170000,189114000,189360000,201451000,200188000,147827000,143570000,81685000,66799000,117431000,98108000
99,Cash at the Beginning of Period,1300000,3800000,200000,25800000,7200000,14200000,27400000,21200000,14100000,8606000,5668000,9214000,22049000,6556000,1130000,592000,33412000,58325000,61658000,229182000,239500000,129170000,189114000,189360000,201451000,200188000,147827000,143570000,81685000,66799000,117431000
100,Free Cash Flow,-200000,3300000,-12200000,-23600000,17400000,17500000,5700000,-46900000,-48200000,-54576000,13898000,7149000,-4182000,13821000,16147000,-13822000,37945000,-28783000,32776000,21857000,-31318000,64428000,36518000,55633000,15501000,1552000,-33915000,-75176000,9028000,35549000,-28076000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/899751/000095012404000565/0000950124-04-000565-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975105000011/0000899751-05-000011-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975106000015/0000899751-06-000015-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975107000020/0000899751-07-000020-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975108000010/0000899751-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975109000007/0000899751-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975110000008/0000899751-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975111000007/0000899751-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975112000018/0000899751-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975113000026/0000899751-13-000026-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975114000017/0000899751-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975115000007/0000899751-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975116000098/0000899751-16-000098-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975117000009/0000899751-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975118000008/0000899751-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975119000016/0000899751-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975120000005/0000899751-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975121000006/0000899751-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/899751/000089975122000010/0000899751-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
