,https://roic.ai/company/AWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,303700000,346800000,243500000,128500000,367800000,244900000,652800000,749900000,851600000,933300000,985800000,1128000000,854800000,1003700000,876100000,974300000,637800000,823200000,635200000,473100000,423400000,444500000,182100000,379000000,203300000,89200000,139500000,-19200000
82,Other Non-Cash Items,-122400000,-150400000,-162700000,-187600000,-141000000,-48200000,227700000,-63500000,-361200000,112300000,157100000,152400000,-92600000,321900000,-366500000,35700000,3135000000,1300000,40900000,-223000000,307100000,63600000,29500000,-236300000,346300000,-273200000,121900000,119800000,19500000,5200000,54400000,-268400000,103400000,-13300000,266100000,-90400000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,300900000,270000000,220900000,246600000,252200000,344200000,41800000,272100000,223500000,165800000,142800000,146700000,70100000,575200000,214200000,260200000,190400000,212200000,220000000,213700000,208800000,203700000,49300000,170400000,203200000,182700000,218800000,187200000
84,CAPEX,-119100000,-156700000,-163200000,-200900000,-160200000,-116900000,-98600000,-87800000,-148300000,-197000000,-228000000,-18800000,-184300000,-195200000,-162100000,-127800000,-125100000,-78100000,-134000000,-135500000,-40300000,-102600000,-95000000,-105100000,-92700000,-150600000,-198800000,-213700000,-222900000,-170700000,-104200000,-89700000,-71900000,-71300000,-55400000,-79800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20700000,- -,-4200000,-1175700000,84500000,323400000,-5600000,- -,- -,- -,- -,- -,53600000,-800000,8000000,-600000,-4200000,88100000,61100000,63800000,64200000,86900000,37900000,379500000,28800000,-109000000,77600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27600000,-15400000,-12400000,-147600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40800000,- -,- -,- -,- -,- -,43600000,- -,- -,19500000,53500000,51000000,- -,- -,- -,2400000,- -,200000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,12800000,342600000,3600000,-117400000,297900000,7900000,18000000,19500000,21000000,20900000,22300000,43400000,25000000,12300000,600000,2600000,1300000,136400000,18800000,6800000,7400000,5000000,100000,-2400000,2000000,1300000,23300000,-11700000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-135500000,97300000,-239800000,-152800000,-1209700000,-62000000,179300000,-113900000,-104100000,-57200000,-111700000,-48500000,-15300000,-36700000,-75700000,-41000000,-41000000,-18400000,-91900000,-145800000,-149300000,-101500000,-17000000,-54200000,309600000,-41200000,-141100000,-13900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-5700000,-20100000,-40000000,-17000000,-278600000,-332400000,-23000000,-17600000,-9000000,- -,- -,- -,- -,- -,-23400000,-25600000,-462100000,-34100000,-22000000,-1115500000,-146700000,-39500000,-524100000,-128000000,-32500000,-895400000,-218100000,-182100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,8400000,7000000,6200000,7900000,7900000,1200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-10600000,-41300000,-101000000,-89200000,-31800000,-1300000,-1600000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261400000,- -,- -,-43800000,-80400000,-306600000,-131300000,-44400000,-80000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-66200000,-70800000,-70100000,-70000000,-75300000,-76900000,-58100000,- -,- -,- -,- -,- -,- -,- -,-256400000,-1300000,-798600000,-300000,-507100000,-1400000,-1300000,-1200000,- -,- -,-8600000,-35600000,-39200000,-41400000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-90400000,2600000,33100000,69700000,1315100000,127500000,4500000,-20000000,-14800000,-14100000,-7000000,-3900000,-8100000,-305400000,2800000,200000,851700000,2000000,255400000,1114600000,151300000,8400000,439000000,105700000,18400000,677400000,315200000,91400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,-164500000,-122600000,-171800000,-98600000,937300000,-281900000,-78100000,-37900000,-23800000,-14100000,-7000000,-3900000,-8100000,-305400000,-277000000,-26700000,-409000000,-32400000,-273700000,-263700000,3300000,-32300000,-128900000,-102700000,-329300000,-384900000,13500000,-212100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,2000000,200000,-800000,-2700000,500000,-2900000,-3700000,-2000000,7000000,9800000,7500000,-8000000,1300000,17400000,-20800000,22000000,5900000,3400000,1400000,-5400000,-12700000,-10400000,-6300000,4200000,-7400000,900000,400000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,2900000,244900000,-191500000,-7500000,-19700000,-2600000,139300000,118300000,102600000,104300000,31600000,86300000,48000000,250500000,-159300000,214500000,-253700000,164800000,-144200000,-201200000,50100000,59500000,-102900000,17700000,176100000,-280400000,91600000,-38800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,12000000,256900000,65400000,57900000,38200000,35600000,156500000,277400000,380000000,484300000,515900000,602200000,263800000,514300000,355000000,569500000,315800000,480600000,336400000,135200000,185300000,244800000,141900000,159600000,335700000,45300000,136900000,98100000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,9100000,12000000,256900000,65400000,57900000,38200000,17200000,159100000,277400000,380000000,484300000,515900000,215800000,263800000,514300000,355000000,569500000,315800000,480600000,336400000,135200000,185300000,244800000,141900000,159600000,325700000,45300000,136900000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,152600000,73000000,-7100000,227800000,67900000,149000000,-120300000,144300000,98400000,87700000,8800000,11200000,29800000,472600000,119200000,155100000,97700000,61600000,21200000,- -,-14100000,33000000,-54900000,80700000,131300000,111400000,163400000,107400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000095010901000791/0000950109-01-000791-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/7431/000119312504034633/0001193125-04-034633-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312505065072/0001193125-05-065072-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312506038254/0001193125-06-038254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312507070590/0001193125-07-070590-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312508042694/0001193125-08-042694-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000136231009002802/0001362310-09-002802-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012310018254/0000950123-10-018254-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095012311019272/0000950123-11-019272-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312512079973/0001193125-12-079973-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312513078379/0001193125-13-078379-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312514063795/0001193125-14-063795-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312515057190/0001193125-15-057190-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000119312516470804/0001193125-16-470804-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459017002497/0001564590-17-002497-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459018003128/0001564590-18-003128-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459019003978/0001564590-19-003978-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459020006193/0001564590-20-006193-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000156459021007297/0001564590-21-007297-index.htm,https://www.sec.gov/Archives/edgar/data/7431/000095017022001531/0000950170-22-001531-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
