,https://roic.ai/company/ROL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,800000,5400000,-7700000,-12200000,-10900000,-168200000,3600000,51300000,21100000,61700000,68200000,-1058000,-24820000,-3107000,-33315000,49745000,8709000,-24543000,-10742000,108046000,-59873000,-28773000,-37297000,-43297000,-72093000,2557000,-43149000,47808000,14632000,-50186000,65043000,17536000,-20394000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,31900000,36300000,32000000,33300000,40000000,39300000,46900000,58100000,6500000,-700000,8200000,11447000,29558000,53694000,62019000,71927000,77389000,85201000,88762000,90744000,110846000,124053000,154647000,141919000,162665000,194146000,196356000,226525000,235370000,286272000,309188000,435785000,401805000
84,CAPEX,- -,- -,- -,- -,-8700000,-7900000,-8400000,-6600000,-7700000,-8300000,-9100000,-10000000,-9000000,-10400000,-79800000,-14411000,-8474000,-10367000,-10597000,-14204000,-25541000,-18729000,-16244000,-14815000,-15740000,-13036000,-18652000,-19040000,-18632000,-28739000,-39495000,-33081000,-24680000,-27179000,-27146000,-23229000,-27194000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7437000,-704000,-1788000,-1543000,-98090000,-27239000,-10087000,-6597000,-152369000,-10966000,-34764000,-11410000,-25030000,-12632000,-63335000,-33462000,-46308000,-130189000,-76769000,-430558000,-147613000,-146098000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-30700000,-20300000,-1900000,- -,-19700000,- -,-35100000,- -,- -,- -,- -,-21866000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-264000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,- -,97100000,13084000,- -,- -,- -,21866000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297000,104000,216000,- -
88,Other Investing Activites,- -,- -,- -,- -,-1800000,-9600000,-1100000,-4000000,-100000,400000,-16600000,-7600000,155100000,-3500000,100000,- -,- -,- -,- -,25726000,754000,835000,87000,467000,144000,155000,908000,1377000,474000,-26136000,-36480000,-30534000,-23722000,-24903000,-24653000,-14998000,47133000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-10500000,-17500000,-9500000,-41300000,-28100000,-9800000,-25700000,-37300000,155900000,-49000000,17400000,-8764000,-9178000,-12155000,-34006000,-64702000,-52026000,-27981000,-22754000,-166717000,-26562000,-47645000,-29154000,-42693000,-30790000,-89471000,-69942000,-76842000,-154175000,-101375000,-455107000,-162395000,-98965000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25829000,-35471000,-4224000,-26038000,- -,- -,- -,- -,- -,- -,- -,-148500000,-223500000,-254500000
91,Common Stock Issued,- -,- -,- -,- -,300000,300000,700000,1000000,1800000,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315000,1086000,1384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,-26200000,-26100000,-56200000,-11800000,-154000,-1610000,-6166000,- -,-937000,-30308000,-19452000,-41971000,-23240000,-29108000,-29692000,-30215000,-19938000,-13723000,-35513000,-7407000,-31068000,-8246000,-9541000,-10009000,-8275000,-10694000
93,Dividends Paid,- -,- -,- -,- -,-12600000,-13200000,-13700000,-14200000,-15700000,-17900000,-20100000,-20700000,-20400000,-16100000,-6100000,-6031000,-6028000,-6004000,-9010000,-10924000,-13714000,-17025000,-20332000,-24969000,-27853000,-35521000,-41110000,-64282000,-65658000,-75750000,-91755000,-109002000,-122017000,-152742000,-153836000,-160487000,-208656000
94,Other Financing Activites,- -,- -,- -,- -,-100000,-100000,-100000,- -,- -,- -,- -,4600000,-2200000,-2700000,-3200000,-1788000,-4491000,296000,2222000,1833000,558000,-998000,1121000,95070000,2679000,3940000,-2064000,3231000,3728000,4744000,1946000,3699000,- -,- -,440000000,110989000,183691000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-12400000,-13000000,-13100000,-13200000,-13900000,-15800000,-19500000,-42300000,-48700000,-75000000,-21100000,-7973000,-12129000,-11874000,-6788000,-10028000,-40149000,-36389000,-59798000,21032000,-89753000,-65497000,-99427000,-80989000,-75653000,-106519000,-97216000,-136371000,-130263000,-162283000,127655000,-281273000,-290159000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1114000,-552000,1726000,-2623000,1257000,498000,-704000,570000,-3088000,-8000000,-2996000,-5101000,13333000,-14179000,-2945000,12084000,-5857000
97,Net Change In Cash,- -,- -,- -,- -,-12400000,-13000000,-13100000,-13200000,-13900000,-15800000,-19500000,-42300000,-48700000,-75000000,4500000,-5290000,8251000,29665000,21225000,-2803000,-13672000,20279000,7936000,-57564000,-4212000,11409000,25362000,18807000,53134000,-9844000,26202000,8211000,-35735000,8435000,-21209000,4201000,6824000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5700000,399000,8650000,38315000,59540000,56737000,43065000,63344000,71280000,13716000,9504000,20913000,46275000,65082000,118216000,108372000,134574000,142785000,107050000,115485000,94276000,98477000,105301000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16900000,26000000,31800000,41200000,20100000,18100000,31900000,33600000,12200000,125800000,1200000,5689000,399000,8650000,38315000,59540000,56737000,43065000,63344000,71280000,13716000,9504000,20913000,46275000,65082000,118216000,108372000,134574000,142785000,107050000,115485000,94276000,98477000
100,Free Cash Flow,- -,- -,- -,- -,23200000,28400000,23600000,26700000,32300000,31000000,37800000,48100000,-2500000,-11100000,-71600000,-2964000,21084000,43327000,51422000,57723000,51848000,66472000,72518000,75929000,95106000,111017000,135995000,122879000,144033000,165407000,156861000,193444000,210690000,259093000,282042000,412556000,374611000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205795001795/0000912057-95-001795-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205702010621/0000912057-02-010621-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84839/000091205706000285/0000912057-06-000285-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746907001460/0001047469-07-001460-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746908002054/0001047469-08-002054-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746909002119/0001047469-09-002119-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746910001320/0001047469-10-001320-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746911001349/0001047469-11-001349-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746912001690/0001047469-12-001690-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000104746913001764/0001047469-13-001764-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278114000153/0001552781-14-000153-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278115000273/0001552781-15-000273-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000155278116001318/0001552781-16-001318-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120017000077/0001171200-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483918000065/0000084839-18-000065-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120019000087/0001171200-19-000087-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120020000103/0001171200-20-000103-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000117120021000076/0001171200-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/84839/000008483922000011/0000084839-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
