,https://roic.ai/company/NDSN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000,130500000,110500000,139100000,121400000,89400000,116200000,6500000,22000000,65700000,167362000,61600000,105979000,-99990000,10317000,190249000,259117000,294796000,242939000,365099000,301815000,420815000,414032000,240626000,533822000,533569000,657523000,36167000
82,Other Non-Cash Items,- -,- -,- -,- -,700000,-1400000,-7700000,-8400000,14400000,-141200000,-29800000,-800000,-51100000,43300000,36200000,-23672000,114616000,62453000,-28146000,-92898000,112248000,-37072000,211175000,-153361000,114149000,-160081000,-42729000,47035000,-141392000,30401000,-147055000,-15344000,123806000,-261941000,-81257000,16726000,-68163000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,13400000,38700000,37500000,46000000,61500000,47000000,42100000,53600000,52200000,70200000,81300000,84976000,73429000,130394000,87547000,109318000,118831000,121276000,124248000,114042000,168677000,140186000,246727000,274398000,268376000,288155000,261951000,331158000,349673000,504638000,382893000,502421000,545927000
84,CAPEX,- -,- -,- -,- -,-20700000,-15200000,-9800000,-18600000,-15800000,-20600000,-25000000,-62500000,-15900000,-15400000,-72300000,-23645000,-23147000,-11397000,-7563000,-11437000,-15389000,-13610000,-31017000,-26386000,-12514000,-15307000,-20239000,-30959000,-47219000,-43574000,-62087000,-60851000,-71558000,-89790000,-64244000,-50535000,-38303000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-280351000,-1223000,544000,-4013000,-557000,5411000,-325245000,-7890000,- -,-18576000,-292980000,-441651000,-177449000,-187274000,-77045000,-42650000,-810413000,-50586000,-13330000,-142414000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-5100000,-6900000,-4100000,-2000000,-100000,- -,-37000000,- -,- -,-32000,- -,-2000,-301000,-105076000,- -,- -,- -,-36000,-7795000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,6600000,1100000,800000,- -,7300000,2800000,7300000,1000000,100000,200000,- -,- -,- -,37000,- -,- -,154265000,206000,- -,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-13900000,-5000000,-5600000,1700000,-100000,-3700000,-3000000,- -,-100000,400000,200000,82000,10000,2113000,228000,423000,322000,798000,8153000,2349000,8611000,354000,7713000,5841000,4123000,323000,597000,1300000,4007000,458000,1285000,-1160000,5134000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-28000000,-19100000,-14600000,-22000000,-15500000,-25600000,-22700000,-61600000,-15900000,-51800000,-72100000,-23563000,-303520000,-10470000,-6793000,-15328000,33565000,-7195000,-348109000,-31924000,-3939000,-41324000,-305506000,-466769000,-220545000,-230525000,-138535000,-102201000,-877964000,-139918000,-76289000,-194109000,-33169000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-179239000,-178093000,-838036000,-341825000,-265414000,-119538000,-459158000,-409893000,-250619000,-860877000,-259332000,-327155000,-305454000
91,Common Stock Issued,- -,- -,- -,- -,7200000,6600000,5400000,10400000,5000000,7100000,1300000,2100000,7000000,21400000,6600000,9768000,16762000,11024000,8907000,56758000,9575000,21535000,9264000,16135000,2986000,13828000,9652000,4934000,6018000,7013000,5372000,11476000,14086000,18811000,26020000,50853000,31780000
92,Common Stock Repurchased,- -,- -,- -,- -,-16400000,-10400000,-8600000,-22800000,-9400000,-33700000,-25300000,-25800000,-59900000,-30000000,-29100000,-17651000,-462000,-300000,-73000,-3115000,-132159000,-22521000,-9090000,-35615000,-7115000,-24935000,-137989000,-88455000,-33402000,-166434000,-383851000,-33421000,-3216000,-24012000,-120510000,-52614000,-60970000
93,Dividends Paid,- -,- -,- -,- -,-6100000,-6800000,-7500000,-8300000,-9000000,-10400000,-11700000,-12900000,-13800000,-14500000,-15900000,-16853000,-18313000,-19011000,-20377000,-22128000,-23378000,-22372000,-23481000,-24645000,-24747000,-26439000,-29838000,-33805000,-40478000,-48391000,-54849000,-56436000,-63840000,-72443000,-82145000,-88347000,-97683000
94,Other Financing Activites,- -,- -,- -,- -,26600000,-4200000,-10000000,-5600000,-23200000,1800000,11200000,54200000,23900000,10400000,38000000,-49541000,239487000,-114128000,-69023000,-73117000,-6078000,-54610000,225531000,-58591000,47097000,136364000,1046914000,655968000,280850000,273892000,781508000,277994000,851418000,584831000,184893000,165734000,9414000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,11300000,-14800000,-20700000,-26300000,-36600000,-35200000,-24500000,17600000,-42800000,-12700000,-400000,-74277000,237474000,-122415000,-80566000,-41602000,-152040000,-77968000,202224000,-102716000,-161018000,-79275000,50703000,196817000,-52426000,-53458000,-110978000,-210280000,547829000,-353690000,-251074000,-251529000,-422913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-300000,-700000,300000,-300000,1400000,200000,900000,-800000,-1300000,-300000,500000,-2381000,-287000,482000,885000,918000,-263000,1428000,3914000,1217000,3306000,3961000,3155000,-615000,5731000,-4233000,-4484000,-1706000,3606000,-5735000,-44000,346000,1834000
97,Net Change In Cash,- -,- -,- -,- -,11300000,-14800000,-20700000,-26300000,-36600000,-35200000,-24500000,17600000,-42800000,-12700000,9200000,-15245000,7096000,-2009000,1073000,53306000,93000,37541000,-17723000,-19381000,7026000,23548000,-4921000,3831000,1136000,-61000,7954000,16971000,23144000,5295000,55486000,57129000,91679000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,785000,7881000,5872000,6945000,60251000,11269000,48859000,31136000,11755000,18781000,42329000,37408000,41239000,42375000,42314000,50268000,67239000,90383000,95678000,151164000,208293000,299972000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7000000,3400000,7500000,10000000,7400000,18100000,4600000,400000,9200000,1500000,6800000,16030000,785000,7881000,5872000,6945000,11176000,11318000,48859000,31136000,11755000,18781000,42329000,37408000,41239000,42375000,42314000,50268000,67239000,90383000,95678000,151164000,208293000
100,Free Cash Flow,- -,- -,- -,- -,-7300000,23500000,27700000,27400000,45700000,26400000,17100000,-8900000,36300000,54800000,9000000,61331000,50282000,118997000,79984000,97881000,103442000,107666000,93231000,87656000,156163000,124879000,226488000,243439000,221157000,244581000,199864000,270307000,278115000,414848000,318649000,451886000,507624000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72331/000095015295000063/0000950152-95-000063-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72331/000095015203000680/l97324ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015204000365/l04976ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015205000245/l10447ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015206000197/l17741ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207000253/l22480ae10vk.htm,https://www.sec.gov/Archives/edgar/data/72331/000095015207009783/0000950152-07-009783-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095015208010466/0000950152-08-010466-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012309071805/0000950123-09-071805-index.html,https://www.sec.gov/Archives/edgar/data/72331/000095012310114569/0000950123-10-114569-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312511343516/0001193125-11-343516-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312512504725/0001193125-12-504725-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312513474384/0001193125-13-474384-index.html,https://www.sec.gov/Archives/edgar/data/72331/000119312514442368/0001193125-14-442368-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459015011507/0001564590-15-011507-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459016030237/0001564590-16-030237-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459017024983/0001564590-17-024983-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459018030928/0001564590-18-030928-index.html,https://www.sec.gov/Archives/edgar/data/72331/000156459019045927/0001564590-19-045927-index.html,https://www.sec.gov/Archives/edgar/data/72331/000007233120000024/0000072331-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/72331/000007233121000079/0000072331-21-000079-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
