,https://roic.ai/company/CW,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1961000,-58982000,-164661000,-71368000,-249502000,-78197000,-39522000,-289348000,-48557000,-68623000,-42200000,-169980000,-410840000,-242798000,117612000,17659000,168000,-226392000,-209669000,-185209000,-487944000,-5340000
86,Purchases of Investments,-13100000,-218100000,-264500000,-633700000,-155800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,362200000,218500000,644000000,140200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,4800000,1100000,1000000,2100000,500000,1300000,3300000,-16500000,3400000,900000,2600000,3765000,45201000,2447000,1132000,1192000,11268000,776000,174000,8143000,3116000,-864000,2475000,796000,1348000,2951000,2277000,3674000,6769000,7570000,14921000,2913000,4045000
89,Cash Used for Investing Activites,-20900000,133600000,-52700000,5600000,-20000000,-3300000,-3700000,-30700000,-7800000,-51400000,-66600000,-7702000,-33135000,-197168000,-103565000,-280762000,-109373000,-80612000,-347329000,-144382000,-141150000,-96044000,-252336000,-492998000,-313692000,53448000,-15576000,-42934000,-272328000,-255516000,-240040000,-532530000,-42403000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-762759000,-581771000,-1112814000,-296145000,-1354181000,-414850000,-78534000,-8430000,-158176000,-422887000,-37934000,-570675000,-462050000
91,Common Stock Issued,100000,600000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1804000,6226000,3868000,7458000,8492000,8616000,9661000,9905000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-5400000,-1489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8178000,-25705000,- -,-65220000,-294130000,-105249000,-52127000,-198592000,-50661000,-200018000,-343129000
93,Dividends Paid,-8000000,-157100000,-5100000,-5100000,- -,-5100000,-5100000,-5100000,-5100000,-5300000,-5300000,-5214000,-5443000,-6141000,-6520000,-7666000,-8458000,-10538000,-12440000,-14381000,-14559000,-14729000,-14893000,-16392000,-18377000,-25013000,-24122000,-23067000,-24740000,-26328000,-28200000,-28175000,-28660000
94,Other Financing Activites,-2200000,-7800000,5400000,-8500000,-9300000,-100000,-4000000,- -,- -,30300000,- -,-7575000,-6478000,128428000,70508000,116081000,24673000,1827000,149530000,-23036000,721994000,524645000,1315689000,592483000,1512696000,412645000,107568000,40605000,21145000,384168000,48650000,880949000,464710000
95,Cash Used/Provided by Financing Activities,-10100000,-164300000,600000,-13600000,-9300000,-5200000,-9100000,-5100000,-5100000,24400000,-10700000,-14278000,-10117000,128513000,67856000,115873000,24707000,-95000,146751000,-27512000,-55324000,-71855000,179804000,254241000,140138000,-92438000,-289218000,-96141000,-213898000,-263639000,-68145000,82081000,-369129000
96,Effect of Forex Changes on Cash,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3004000,-1205000,1915000,3140000,1908000,-2529000,2332000,3445000,-13742000,4200000,-702000,-3562000,3919000,-1002000,-17954000,-19104000,-18971000,18786000,-16172000,1748000,-3516000,-3380000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,-855000,16803000,22222000,50955000,-57634000,17983000,65496000,-57997000,-5815000,4305000,3109000,126268000,-82364000,63271000,274822000,-161419000,265151000,-78728000,-199054000,114967000,-192785000,-27244000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9500000,8692000,25495000,47717000,98672000,41038000,59021000,124517000,66520000,60705000,65010000,68119000,194387000,112023000,175294000,450116000,288697000,553848000,475120000,276066000,391033000,198248000,171004000
99,Cash at the Beginning of Period,2700000,4400000,14300000,3400000,28100000,20300000,4200000,8900000,6300000,6900000,5800000,9547000,8692000,25495000,47717000,98672000,41038000,59021000,124517000,66520000,60705000,65010000,68119000,194387000,112023000,175294000,450116000,288697000,553848000,475120000,276066000,391033000,198248000
100,Free Cash Flow,17800000,28900000,33600000,25800000,16600000,-12200000,10400000,19000000,2300000,-26400000,11900000,14623000,41906000,54008000,50195000,72895000,62734000,102005000,80981000,75853000,120263000,117122000,117509000,67759000,165585000,264651000,126967000,376421000,336007000,281309000,351652000,213681000,346560000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632495000002/0000026324-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632496000001/0000026324-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632497000001/0000026324-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632498000001/0000026324-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632499000001/0000026324-99-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/26324/000002632401500003/0000026324-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000095011702000522/0000950117-02-000522-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/26324/000095011706001076/a41425.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041307001676/c46896_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041308001248/c52417_10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041309001137/0000930413-09-001137-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041310000953/0000930413-10-000953-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041311001217/c64106_10-k.htm,https://www.sec.gov/Archives/edgar/data/26324/000093041312001077/0000930413-12-001077-index.html,https://www.sec.gov/Archives/edgar/data/26324/000093041313000998/0000930413-13-000998-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632414000004/a20131231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632415000004/a20141231-10k.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632416000040/0000026324-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632417000003/0000026324-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632418000003/0000026324-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632419000003/0000026324-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632420000004/0000026324-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/26324/000002632421000007/0000026324-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/26324/000002632422000004/0000026324-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
