,https://roic.ai/company/HSY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31675000,46584000,20329000,-9438000,-50470000,-16529000,-67464000,-24440000,21096000,-6881000,8585000,40252000,-55537000,-14642000
79,Inventory,- -,- -,- -,- -,-1100000,-61400000,-43900000,-20300000,32300000,7700000,28100000,-41000000,-33500000,12300000,-136500000,28029000,94405000,8843000,9095000,-40043000,-51204000,-12461000,45348000,7681000,74000000,-13910000,-115331000,26598000,-26279000,-88497000,52049000,13965000,-71404000,-12746000,-21194000,-151918000,21457000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26435000,37228000,90434000,7860000,21739000,13417000,-13847000,-1017000,-72295000,-52960000,-100252000,41101000,41470000,39732000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,152500000,57900000,168900000,239100000,319200000,567200000,528447000,561097000,716772000,545759000,-102941000,-109283000,-35726000,-192196000,74733000,474806000,706372000,872783000,642375000,1079312000,311400000,-369314000,-92665000,-74633000,-179385000,108309000,1086160000,20822000
82,Other Non-Cash Items,- -,- -,- -,- -,5100000,-69700000,21700000,-64900000,61500000,-126100000,147300000,-76900000,-99300000,-271700000,-535600000,-43145000,325447000,-249635000,86910000,747537000,-314210000,-113509000,534503000,-314722000,52922000,-50459000,-492221000,390000000,-331459000,474825000,1124295000,-331743000,117006000,146498000,-1884000,-936273000,163979000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,265600000,211800000,347300000,296200000,378900000,337300000,494900000,463700000,476900000,389700000,327700000,412209000,706405000,625343000,592943000,797450000,461762000,723193000,778836000,519561000,1065749000,901423000,580867000,1094827000,1188405000,838221000,1214456000,983475000,1249515000,1599993000,1763873000,1699657000,2082884000
84,CAPEX,- -,- -,- -,- -,-162000000,-179400000,-226100000,-249800000,-376400000,-138700000,-153100000,-596600000,-172900000,-161300000,-115400000,-138333000,-160105000,-132736000,-218650000,-195886000,-194305000,-198512000,-203892000,-282979000,-145470000,-201487000,-347567000,-277966000,-350911000,-370789000,-356810000,-269476000,-257675000,-328601000,-318192000,-441626000,-495877000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-135000000,-17079000,- -,- -,-166859000,-47074000,-17000000,-100461000,- -,-15220000,- -,-5750000,-172856000,- -,-396265000,-216966000,-329629000,-78598000,-1224052000,-482390000,-87211000,-1729490000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-179100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97131000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,78000000,- -,- -,259700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95316000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2300000,-107900000,-45600000,6600000,-1900000,-6300000,8700000,158500000,21300000,-33600000,438100000,1520000,53197000,164000,1645000,- -,2713000,- -,- -,-198204000,-135106000,-199286000,-327255000,-300513000,-351580000,-369177000,-355605000,-265825000,-250066000,-278842000,-298090000,-444069000,-493338000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-164300000,-209300000,-271700000,-422300000,-118600000,-145000000,-144400000,-438100000,-151600000,-194900000,322700000,-271813000,-123987000,-132572000,-217005000,-362745000,-238666000,-215512000,-304353000,-198204000,-150326000,-199286000,-333005000,-473369000,-351580000,-862573000,-477255000,-595454000,-328664000,-1502894000,-780480000,-531280000,-2222828000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-376370000,-466299000,-71548000,-256189000,-99381000,-250761000,-1442000,-355446000,-500000000,- -,-910844000,-6151000,-704467000,-439444000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,47900000,- -,- -,- -,15100000,22000000,14400000,19400000,18900000,24376000,30210000,86491000,55120000,79634000,81632000,37111000,50497000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-47900000,- -,-131800000,-39700000,-526100000,-66100000,-507700000,-16200000,-318000000,-99931000,-40322000,-84194000,-329433000,-616977000,-536997000,-621648000,-256285000,-60361000,-9314000,-169099000,-384515000,-510630000,-305564000,-576755000,-582623000,-592550000,-300312000,-247500000,-527211000,-211196000,-457946000
93,Dividends Paid,- -,- -,- -,- -,-65600000,-87800000,-83400000,-91400000,-100500000,-107000000,-110100000,-114800000,-121500000,-129000000,-136700000,-144891000,-154750000,-167821000,-184686000,-205747000,-221235000,-235129000,-252263000,-262949000,-256081000,-273235000,-304083000,-341206000,-393801000,-440414000,-476132000,-499475000,-526272000,-562521000,-610312000,-640732000,-685987000
94,Other Financing Activites,- -,- -,- -,- -,-53300000,59500000,52200000,170500000,-36200000,-34800000,276200000,162300000,282300000,-84200000,-135500000,-6059000,-315378000,-163651000,-99889000,248429000,465850000,341943000,15625000,286228000,32773000,442782000,505969000,364345000,503537000,299309000,659039000,1157582000,-17184000,1836973000,62219000,1057167000,902241000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-118900000,-28300000,-31200000,79100000,-268500000,-181500000,-344900000,3400000,-332500000,-210000000,-571300000,-226505000,-480240000,-329175000,-558888000,-494661000,-210750000,-477723000,-442426000,-413452000,-698921000,-71100000,-438818000,-586872000,-446589000,-719302000,-755162000,-434443000,-843768000,116108000,-1081455000,-499228000,-681136000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10364000,-3140000,6129000,-5388000,3326000,-6990000,-5075000
97,Net Change In Cash,- -,- -,- -,- -,-118900000,-28300000,-31200000,79100000,-268500000,-181500000,-344900000,3400000,-332500000,-210000000,79100000,-86109000,102178000,163596000,-182950000,-59956000,12346000,29958000,32057000,-92095000,216502000,631037000,-190956000,34586000,390236000,-743654000,-28325000,-49562000,83212000,207819000,-94736000,650725000,-814721000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118100000,31969000,134147000,297743000,114793000,54837000,67183000,97141000,129198000,37103000,253605000,884642000,693686000,728272000,1118508000,374854000,346529000,296967000,380179000,587998000,493262000,1143987000,329266000
99,Cash at the Beginning of Period,- -,- -,- -,- -,70100000,52500000,26600000,71100000,24100000,16000000,26700000,32300000,61400000,54200000,39000000,118078000,31969000,134147000,297743000,114793000,54837000,67183000,97141000,129198000,37103000,253605000,884642000,693686000,728272000,1118508000,374854000,346529000,296967000,380179000,587998000,493262000,1143987000
100,Free Cash Flow,- -,- -,- -,- -,103600000,32400000,121200000,46400000,2500000,198600000,341800000,-132900000,304000000,228400000,212300000,273876000,546300000,492607000,374293000,601564000,267457000,524681000,574944000,236582000,920279000,699936000,233300000,816861000,837494000,467432000,857646000,713999000,991840000,1271392000,1445681000,1258031000,1587007000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000004711195000004/0000047111-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711196000010/0000047111-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711197000008/0000047111-97-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000004711101500079/0000047111-01-500079-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711102000069/form10k_2001.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/47111/000119312507037921/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312508033182/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312509033670/0001193125-09-033670-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312510034780/0001193125-10-034780-index.html,https://www.sec.gov/Archives/edgar/data/47111/000119312511039789/d10k.htm,https://www.sec.gov/Archives/edgar/data/47111/000119312512067143/0001193125-12-067143-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711113000007/0000047111-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711114000006/a2013_form10-kxdraftq4.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711115000010/a2014_formx10-k.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711116000095/0000047111-16-000095-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711117000005/0000047111-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711118000011/0000047111-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711119000010/0000047111-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711120000007/0000047111-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/47111/000004711121000007/0000047111-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/47111/000004711122000017/0000047111-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
