,https://roic.ai/company/LCUT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,-1000000,- -,- -,- -,-1600000,- -,- -,- -,- -,-10889000,-88000,- -,- -,- -,- -,-131000,-22672000,- -,- -,- -,- -,- -,-3229000,- -,- -,-86000,-644000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-100000,- -,- -,- -,- -,- -,-800000,-3100000,-3100000,-2746000,-2617000,-2628000,-2650000,-2746000,-2770000,-3332000,-3303000,-2995000,- -,- -,-913000,-1249000,-1515000,-2031000,-2150000,-2413000,-2475000,-3273000,-3571000,-3651000,-3843000
94,Other Financing Activites,- -,- -,6100000,- -,- -,- -,4600000,-3400000,-1000000,-100000,6300000,-5758000,12101000,-8640000,2550000,7421000,-4741000,78989000,41869000,20616000,76000,51150000,42989000,39070000,222050000,330417000,264204000,270906000,240351000,531746000,345227000,128613000,-39950000
95,Cash Used/Provided by Financing Activities,- -,- -,5100000,- -,- -,1900000,3300000,-3300000,-1200000,-2700000,3300000,-19319000,9416000,-10950000,1605000,6048000,27552000,75722000,16139000,17207000,-64848000,-24637000,17898000,-2179000,-29028000,67814000,-39144000,-4165000,-2297000,205288000,-16916000,-18236000,-44027000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180000,-125000,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000,574000,171000,-49000,-275000,-384000,376000,-236000,-64000,98000,161000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7800000,-238000,3696000,-4959000,1113000,566000,-955000,-636000,4022000,-694000,-2796000,2669000,-379000,-1101000,3076000,121000,2063000,752000,-283000,47000,3723000,24593000,-7981000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,1325000,5021000,62000,1175000,1741000,786000,150000,4172000,3478000,682000,3351000,2972000,1871000,4947000,5068000,7131000,7883000,7600000,7647000,11370000,35963000,27982000
99,Cash at the Beginning of Period,- -,- -,300000,6400000,7500000,6800000,2700000,100000,1100000,7800000,9400000,1563000,1325000,5021000,62000,1175000,1741000,786000,150000,4172000,3478000,682000,3351000,2972000,1871000,4947000,5068000,7131000,7883000,7600000,7647000,11370000,35963000
100,Free Cash Flow,- -,- -,1000000,5200000,-4700000,-6000000,-3900000,17000000,4800000,7200000,-6900000,20414000,-5431000,5006000,3472000,1518000,23647000,-32595000,12544000,-1951000,61644000,27236000,7228000,17742000,31922000,-1582000,41344000,26369000,10695000,11273000,20703000,42731000,33002000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068006000214/0000910680-06-000214-index.htm,- -,https://www.sec.gov/Archives/edgar/data/874396/000091068008000184/f10k123107.htm,https://www.sec.gov/Archives/edgar/data/874396/000091068009000143/0000910680-09-000143-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068010000088/0000910680-10-000088-index.html,https://www.sec.gov/Archives/edgar/data/874396/000091068011000103/f10k12312010.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312512107317/0001193125-12-107317-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312513109741/0001193125-13-109741-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312514100576/d667369d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312515094037/d867597d10k.htm,https://www.sec.gov/Archives/edgar/data/874396/000119312516503689/0001193125-16-503689-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312517085508/0001193125-17-085508-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312518086046/0001193125-18-086046-index.html,https://www.sec.gov/Archives/edgar/data/874396/000119312519075025/0001193125-19-075025-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828020003560/0001628280-20-003560-index.html,https://www.sec.gov/Archives/edgar/data/874396/000162828021004467/0001628280-21-004467-index.htm,https://www.sec.gov/Archives/edgar/data/874396/000162828022005583/0001628280-22-005583-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
