,https://roic.ai/company/SMG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1737400000,-1392000000,-1632400000,-1694600000,-1682900000,-1726100000,-1459500000,-2353200000,-1647000000,-2321800000,-1446300000,-1814300000,- -
91,Common Stock Issued,200000,500000,160200000,- -,200000,400000,7500000,- -,- -,3800000,1800000,17000000,19700000,21400000,23500000,32200000,17600000,29200000,9200000,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-700000,- -,-41400000,- -,- -,-9800000,- -,-15300000,-10000000,-23900000,- -,- -,- -,- -,- -,-87900000,-246800000,- -,- -,-25000000,-358700000,-17500000,- -,-120000000,-14800000,-130800000,-246000000,-327700000,-3100000,-53200000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-1100000,-12200000,-9800000,-7300000,-12100000,-6400000,- -,- -,- -,- -,-8600000,-33500000,-543600000,-32500000,-33400000,-42600000,-67900000,-75400000,-87800000,-230800000,-111300000,-116600000,-120300000,-120000000,-124500000,-411200000,- -
94,Other Financing Activites,-1700000,-16100000,-169900000,49500000,148900000,-2000000,-46600000,-36400000,141000000,532200000,-50700000,4400000,-61500000,-80400000,-156500000,-218800000,56900000,602400000,-99700000,1572700000,1243300000,1828300000,1708200000,1490100000,1952600000,1864500000,2478400000,1705700000,2920700000,1077400000,1671600000,- -
95,Cash Used/Provided by Financing Activities,-1500000,-16300000,-9700000,8100000,149100000,-2700000,-61100000,-46200000,118400000,513900000,-79200000,21400000,-41800000,-59000000,-133000000,-195200000,-46900000,-158800000,-123000000,-194000000,-216300000,-230700000,-79300000,-280600000,-124300000,278900000,-122200000,-307600000,151200000,-496500000,-607100000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-500000,1300000,-300000,- -,300000,-800000,-1100000,-400000,11500000,6100000,-8700000,-6000000,6500000,4200000,-2000000,-400000,-3200000,-2100000,2600000,700000,-1500000,-7300000,-2100000,1600000,400000,-600000,- -,- -
97,Net Change In Cash,-1500000,-16300000,-9700000,8100000,149100000,-2700000,-61100000,-46200000,118400000,19700000,2700000,-14300000,81000000,56200000,-40300000,-35400000,-32100000,19800000,16800000,-13100000,17500000,42800000,1000000,-2100000,-40500000,-17900000,-21300000,70400000,-86600000,-15100000,-2200000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,30300000,33000000,18700000,99700000,155900000,115600000,80200000,48100000,67900000,84700000,71600000,89100000,130900000,131900000,129800000,89300000,71400000,50100000,120500000,33900000,18800000,16600000,- -
99,Cash at the Beginning of Period,800000,1100000,2900000,900000,2300000,10700000,7000000,10600000,13000000,10600000,30300000,33000000,18700000,99700000,155900000,115600000,80200000,48100000,67900000,84700000,71600000,88100000,130900000,131900000,129800000,89300000,71400000,50100000,120500000,33900000,18800000,- -
100,Free Cash Flow,2100000,17800000,7500000,9500000,-140600000,-19100000,64100000,92500000,-121700000,-494700000,99000000,2300000,167300000,166200000,179100000,186300000,125400000,192600000,144800000,189200000,212500000,49400000,84000000,281900000,153300000,-114800000,179100000,284400000,274300000,184400000,495300000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000089646394000118/0000896463-94-000118-index.html,https://www.sec.gov/Archives/edgar/data/825542/000089646395000153/0000896463-95-000153-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015200008701/0000950152-00-008701-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015201506415/0000950152-01-506415-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/825542/000095015205009969/l17406ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015206010156/l23626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/825542/000095015207009349/0000950152-07-009349-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095015208009725/0000950152-08-009725-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012309065759/0000950123-09-065759-index.html,https://www.sec.gov/Archives/edgar/data/825542/000095012310108803/0000950123-10-108803-index.html,https://www.sec.gov/Archives/edgar/data/825542/000119312511320616/0001193125-11-320616-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638012000025/0001546380-12-000025-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638013000032/0001546380-13-000032-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638014000035/0001546380-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638015000033/0001546380-15-000033-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638016000078/0001546380-16-000078-index.html,- -,https://www.sec.gov/Archives/edgar/data/825542/000154638018000030/0001546380-18-000030-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638019000034/0001546380-19-000034-index.html,https://www.sec.gov/Archives/edgar/data/825542/000154638020000045/0001546380-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/825542/000154638021000037/0001546380-21-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
