,https://roic.ai/company/BP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313807/0000950123-99-002941-index.html,https://www.sec.gov/Archives/edgar/data/313807/0000313807-00-000032-index.html,https://www.sec.gov/Archives/edgar/data/313807/000031380701000011/0000313807-01-000011-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000031380702000012/0000313807-02-000012-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163803000149/0001191638-03-000149-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163804000237/0001191638-04-000237-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163805000210/0001191638-05-000210-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163806000259/0001191638-06-000259-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163807000340/0001191638-07-000340-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000115697308000263/0001156973-08-000263-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163809000123/0001191638-09-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163810000100/0001191638-10-000100-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163811000097/0001191638-11-000097-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163812000123/0001191638-12-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163813000126/0001191638-13-000126-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163814000138/0001191638-14-000138-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163815000127/0001191638-15-000127-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163816001623/0001191638-16-001623-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495417000800/0001654954-17-000800-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495418001090/0001654954-18-001090-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495419001022/0001654954-19-001022-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495420001087/0001654954-20-001087-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000162828021005241/0001628280-21-005241-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,1688000000,415000000,-458000000,615000000,1577000000,1122000000,2552000000,6263920000,3260000000,4686000000,11870000000,8010000000,6845000000,10267000000,15731000000,22026000000,22315000000,20845000000,21157000000,16578000000,-3719000000,25700000000,11582000000,23451000000,3780000000,-6482000000,115000000,3389000000,9383000000,4026000000,-20305000000,7565000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,2011000000,2079000000,2390000000,2279000000,2011000000,2367000000,2020000000,4605376000,5255000000,4965000000,7449000000,8750000000,10401000000,10940000000,12583000000,8771000000,9128000000,10579000000,10985000000,12106000000,11164000000,11135000000,12481000000,13510000000,15163000000,15219000000,14505000000,15584000000,15457000000,17780000000,14889000000,14972000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000000,416000000,420000000,459000000,450000000,197000000,-88000000,156000000,297000000,379000000,321000000,779000000,661000000,690000000,730000000,723000000,627000000
77,Change in Working Capital,- -,- -,- -,- -,- -,262000000,506000000,415000000,438000000,-50000000,664000000,-1104000000,40576000,-692000000,-2029000000,-2848000000,971000000,-1347000000,-4719000000,-4654000000,-4437000000,380000000,-5994000000,5348000000,-3596000000,1092000000,-19668000000,-6851000000,-6843000000,6925000000,843000000,-3198000000,-3352000000,-4763000000,-2918000000,-85000000,-626000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,-485000000,585000000,30000000,403000000,-225000000,-70000000,-556000000,679648000,-460000000,-1562000000,-1449000000,1490000000,-1521000000,-841000000,-3595000000,-6638000000,995000000,-7255000000,9010000000,-5363000000,-3895000000,-3988000000,-1797000000,-1193000000,10169000000,3375000000,-3681000000,-848000000,672000000,-3406000000,3963000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-997000000,-873000000,-546000000,-595000000,-704000000,-282000000,-516000000,-542704000,199000000,1724000000,-1867000000,-298000000,4000000,243000000,373000000,83000000,-4067000000,-1141000000,146000000,2178000000,4882000000,5075000000,3029000000,-9315000000,6507000000,9232000000,-1510000000,2649000000,2106000000,6152000000,16940000000,1074000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2964000000,2127000000,1801000000,2737000000,2834000000,3871000000,2952000000,10367168000,8022000000,9346000000,14604000000,17433000000,15903000000,16731000000,24033000000,26721000000,28172000000,24709000000,38095000000,27716000000,13616000000,22154000000,20397000000,21100000000,32754000000,19133000000,10691000000,18931000000,22873000000,25770000000,12162000000,23612000000
84,CAPEX,- -,- -,- -,- -,- -,-3604000000,-3793000000,-3466000000,-2800000000,-2405000000,-2646000000,-3114000000,-8888680000,-8745000000,-6457000000,-10220000000,-12142000000,-12049000000,-12368000000,-13035000000,-12281000000,-15125000000,-17830000000,-22658000000,-20650000000,-18421000000,-17845000000,-23078000000,-24520000000,-22546000000,-18648000000,-16701000000,-16562000000,-16707000000,-15418000000,-12306000000,-10887000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-51000000,-440000000,- -,129000000,59000000,44000000,157000000,-1080336000,- -,-102000000,-6265000000,-1210000000,-4324000000,-3727000000,-1503000000,-60000000,62000000,1293000000,-384000000,967000000,6994000000,-11677000000,-245000000,-1628000000,1025000000,172000000,508000000,-800000000,-6470000000,-2302000000,3240000000,3851000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-38000000,- -,- -,- -,- -,- -,- -,- -,-72000000,-67000000,- -,-1648000000,-804000000,-607000000,-615000000,-1090000000,-742000000,-526000000,-912000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,305000000,202000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501000000,301000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,1637000000,971000000,1058000000,1618000000,525000000,159000000,364000000,243456000,2225000000,1417000000,10159000000,1820000000,5457000000,6360000000,4232000000,11416000000,6152000000,2315000000,1365000000,-18358000000,-10929000000,-13577000000,-12717000000,-6227000000,-20599000000,-17472000000,-15261000000,3285000000,-15101000000,746000000,1208000000,-9545000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-2018000000,-3262000000,-2408000000,-786000000,-1619000000,-2443000000,-2593000000,-9725560000,-6520000000,-5142000000,-6326000000,-11604000000,-10983000000,-9735000000,-11954000000,-1729000000,-9518000000,-14837000000,-22767000000,-18133000000,-3960000000,-26633000000,-12962000000,-7855000000,-19574000000,-17300000000,-14753000000,-14077000000,-21571000000,-16974000000,-7858000000,-5694000000
90,Debt Repayment,- -,- -,- -,- -,- -,-1697000000,-1731000000,-1573000000,-2740000000,-2141000000,-1522000000,-1460000000,-2799744000,- -,- -,- -,-5189639000,-8420399000,-8268000000,-2228000000,-6277000000,-3655000000,-3192000000,-5136000000,-10426000000,-8321000000,-9102000000,-7177000000,-5959000000,-6282000000,-6426000000,-6685000000,-6276000000,-7210000000,-7118000000,-89000000,-538000000
91,Common Stock Issued,- -,- -,- -,- -,- -,19000000,91000000,14000000,28000000,47000000,42000000,34000000,111584000,- -,245000000,- -,181000000,- -,173000000,487000000,- -,- -,- -,- -,207000000,169000000,74000000,122000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-400000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2039000000,-1281000000,-750000000,-1999000000,-7695000000,-11315000000,-15151000000,-7113000000,-2567000000,- -,- -,- -,- -,-5358000000,-4589000000,- -,- -,- -,- -,-1511000000,-776000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2408000000,-4286000000,-4439000000,-4827000000,-5264000000,-5654000000,-6041000000,-7359000000,-7686000000,-8106000000,-10342000000,-10899000000,-2627000000,-4072000000,-5294000000,-5441000000,-5850000000,-6659000000,-4611000000,-6153000000,-6699000000,-6946000000,-6340000000,-4304000000
94,Other Financing Activites,- -,- -,- -,- -,- -,1863000000,2694000000,1804000000,834000000,1077000000,216000000,869000000,2109952000,- -,802000000,-1374000000,5528639000,9571399000,9069000000,2527000000,1648000000,7421000000,9376000000,7536000000,11567000000,11619000000,13582000000,10331000000,6358000000,11455000000,8550000000,13273000000,9133000000,9830000000,6758000000,11161000000,-13237000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-215000000,1054000000,245000000,-1878000000,-1017000000,-1264000000,-557000000,-578208000,-2408000000,-3239000000,-7852000000,-5588000000,-4863000000,-6679000000,-12950000000,-23303000000,-19071000000,-9035000000,-10509000000,-9551000000,840000000,482000000,-2018000000,-10400000000,-5266000000,-4535000000,1977000000,-3296000000,-4079000000,-8817000000,3956000000,-18079000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,29000000,9000000,-31000000,-14000000,-15000000,-7000000,391000000,-136944000,- -,-39000000,-50000000,- -,- -,-78000000,- -,-88000000,47000000,135000000,-184000000,110000000,-279000000,-492000000,64000000,40000000,-671000000,-672000000,-820000000,544000000,-330000000,25000000,379000000,-269000000
97,Net Change In Cash,- -,- -,- -,- -,- -,760000000,-72000000,-393000000,59000000,183000000,157000000,193000000,-73544000,-2408000000,926000000,376000000,241000000,57000000,317000000,-871000000,1601000000,-370000000,972000000,4635000000,142000000,10217000000,-4489000000,5481000000,2885000000,7243000000,-3374000000,-2905000000,2102000000,-3107000000,4000000,8639000000,-430000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,199000000,127000000,-266000000,-207000000,-24000000,-5103000000,-963000000,-1175182400,- -,1331000000,1831000000,1358000000,1520000000,1947000000,1156000000,2960000000,2590000000,3562000000,8197000000,8339000000,18556000000,14067000000,19548000000,22520000000,29763000000,26389000000,23484000000,25586000000,22468000000,22472000000,31111000000,30681000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,-561000000,199000000,127000000,-266000000,-207000000,-5260000000,-1156000000,-1101638400,1311000000,405000000,1455000000,1117000000,1463000000,1630000000,2027000000,1359000000,2960000000,2590000000,3562000000,8197000000,8339000000,18556000000,14067000000,19635000000,22520000000,29763000000,26389000000,23484000000,25575000000,22468000000,22472000000,31111000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-640000000,-1666000000,-1665000000,-63000000,429000000,1225000000,-162000000,1478488000,-723000000,2889000000,4384000000,5291000000,3854000000,4363000000,10998000000,14440000000,13047000000,6879000000,15437000000,7066000000,-4805000000,4309000000,-2681000000,-3420000000,10208000000,485000000,-6010000000,2369000000,6166000000,10352000000,-144000000,12725000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313807/0000950123-99-002941-index.html,https://www.sec.gov/Archives/edgar/data/313807/0000313807-00-000032-index.html,https://www.sec.gov/Archives/edgar/data/313807/000031380701000011/0000313807-01-000011-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000031380702000012/0000313807-02-000012-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163803000149/0001191638-03-000149-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163804000237/0001191638-04-000237-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163805000210/0001191638-05-000210-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163806000259/0001191638-06-000259-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163807000340/0001191638-07-000340-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000115697308000263/0001156973-08-000263-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163809000123/0001191638-09-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163810000100/0001191638-10-000100-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163811000097/0001191638-11-000097-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163812000123/0001191638-12-000123-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163813000126/0001191638-13-000126-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163814000138/0001191638-14-000138-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163815000127/0001191638-15-000127-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000119163816001623/0001191638-16-001623-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495417000800/0001654954-17-000800-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495418001090/0001654954-18-001090-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495419001022/0001654954-19-001022-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000165495420001087/0001654954-20-001087-index.htm,https://www.sec.gov/Archives/edgar/data/313807/000162828021005241/0001628280-21-005241-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
