,https://roic.ai/company/VSEC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,9400000,2100000,3100000,1300000,6100000,-400000,-4400000,8100000,3400000,4200000,2020000,1409000,4978000,6387000,-8707000,15626000,1631000,8248000,22925000,24385000,17787000,34260000,59475000,56598000,49715000,37574000,47193000,50420000,18855000,17994000,35761000,-17602000
84,CAPEX,- -,- -,- -,- -,- -,-3800000,-900000,-1400000,-1100000,-700000,-2100000,-2500000,-2200000,-1600000,-1200000,-424000,-2026000,-521000,-720000,-2701000,-1666000,-5618000,-8731000,-10016000,-8634000,-4805000,-6635000,-20863000,-4416000,-3414000,-10562000,-6546000,-3743000,-3117000,-9630000,-4427000,-10520000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11755000,-18753000,-1646000,-30204000,-174945000,-4607000,- -,- -,-195135000,-63000,- -,1700000,-113181000,21771000,-53336000
86,Purchases of Investments,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,500000,6100000,- -,- -,- -,-4500000,-200000,-500000,- -,100000,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1675000,-1341000,- -,- -,- -,507000,143000,732000,122000,4000,2875000,2224000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,1500000,5200000,-1400000,-1100000,-700000,-6600000,-2700000,-2700000,-1600000,-1100000,-1124000,-2026000,-521000,-720000,-2701000,-1666000,-5618000,-20486000,-28769000,-10280000,-36684000,-182921000,-25470000,-4416000,-3414000,-205190000,-6466000,-3011000,-1295000,-122807000,20219000,-61632000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-239269000,-211325000,-157148000,-324848000,-293971000,-341352000,-337451000,-334208000,-341174000,-392572000,-551888000,-642193000,-452338000,-458294000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,900000,100000,20000,169000,244000,315000,518000,715000,318000,2017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52017000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-600000,-100000,- -,- -,- -,- -,- -,-100000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-500000,-400000,-200000,-400000,-300000,-300000,-300000,-300000,-300000,-331000,-341000,-349000,-349000,-401000,-510000,-615000,-741000,-862000,-974000,-1141000,-1360000,-1585000,-1811000,-2034000,-2258000,-2481000,-2816000,-3262000,-3726000,-3970000,-4427000
94,Other Financing Activites,- -,- -,- -,- -,- -,-11300000,-7000000,-800000,-200000,-2900000,4800000,7200000,-5400000,-1600000,-2900000,- -,351000,-351000,- -,1578000,-1578000,312000,2326000,246504000,205580000,174926000,469556000,262601000,289700000,293227000,504559000,302616000,348175000,537128000,751304000,399972000,490078000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-12400000,-7600000,-1200000,- -,-3300000,4600000,6900000,-5800000,-1800000,-3100000,-311000,179000,-456000,-34000,1695000,-1373000,15000,3602000,6373000,-6719000,16637000,143348000,-32955000,-53463000,-46258000,168093000,-41039000,-47213000,-18022000,105385000,-56336000,79374000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000,-438000,4001000,5633000,-9713000,12587000,-3972000,-8636000,529000,7386000,-2260000,-5313000,1050000,-1281000,43000,477000,-312000,196000,-462000,572000,-356000,140000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,647000,209000,4210000,9843000,130000,12717000,8745000,109000,638000,8024000,5764000,451000,1501000,220000,263000,740000,428000,624000,162000,734000,378000,518000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3300000,500000,200000,800000,1000000,3100000,600000,500000,- -,- -,62000,647000,209000,4210000,9843000,130000,12717000,8745000,109000,638000,8024000,5764000,451000,1501000,220000,263000,740000,428000,624000,162000,734000,378000
100,Free Cash Flow,- -,- -,- -,- -,- -,5600000,1200000,1700000,200000,5400000,-2500000,-6900000,5900000,1800000,3000000,1596000,-617000,4457000,5667000,-11408000,13960000,-3987000,-483000,12909000,15751000,12982000,27625000,38612000,52182000,46301000,27012000,40647000,46677000,15738000,8364000,31334000,-28122000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275298000007/0000102752-98-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275203000006/0000102752-03-000006-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275204000005/0000102752-04-000005-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275205000005/0000102752-05-000005-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/102752/000010275208000006/0000102752-08-000006-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275209000018/0000102752-09-000018-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275210000008/0000102752-10-000008-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275211000007/vseform10-k10.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275212000011/0000102752-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275213000009/0000102752-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275214000017/vseform10-k2013.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275215000017/form10k.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275216000074/0000102752-16-000074-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275217000009/0000102752-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275218000010/0000102752-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275219000013/0000102752-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275220000016/0000102752-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/102752/000010275221000039/0000102752-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/102752/000010275222000013/0000102752-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
