,https://roic.ai/company/BTN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,3465249,10025000,1126677,- -,2509000,- -,- -,- -,- -,- -,4531000,- -,- -,- -
88,Other Investing Activites,- -,- -,-1200000,- -,- -,397887,215829,589407,290000,313249,19801,265401,-594640,-547257,-646705,-6786128,-2798000,793000,-524000,-1925000,-222000,-3465000,-2888000,-1915000,-2346000,-878000,-13908000
89,Cash Used for Investing Activites,-200000,-1000000,-4700000,-7500000,-2700000,-1387694,-489726,407190,-116717,-818543,-807501,-2369175,3092719,2814846,9378295,-5659451,-2798000,3302000,-19334000,-1925000,-6205000,-10513000,-5413000,2616000,-2346000,-4878000,-13908000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14000,-200000,-268000,-273000,-3860000,-2102000,-9740000,-728000
91,Common Stock Issued,- -,300000,1900000,200000,300000,69063,15320,23914,102965,- -,- -,361015,138783,34963,27992,36583,25000,8000,4000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-12400000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,-67226,- -,- -,- -,-2756000,- -,- -,-15000,-230000,-102000,- -,- -,- -,- -
93,Dividends Paid,-8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5800000,5600000,-800000,12000000,-1800000,-1567877,-7120000,-1760496,-18740,183519,856089,203802,203112,289257,- -,514511,537000,2000,16000,-7000,12000,180000,2522000,10933000,237000,7126000,4133000
95,Cash Used/Provided by Financing Activities,-2200000,5900000,1100000,-200000,-4500000,-1498814,-7104680,-1736582,84225,183519,856089,564817,341895,256994,27992,551094,562000,-2746000,20000,-21000,-203000,-318000,2147000,7073000,-1865000,-2614000,3405000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4396,-220800,390587,126254,-177000,152000,-567000,-682000,-1995000,-6000,478000,-286000,266000,109000,-48000
97,Net Change In Cash,-2200000,5900000,1100000,-200000,300000,1363894,-52847,4176691,2485557,5270416,5596364,2994306,1597701,7204629,12164041,-1338871,17639000,279000,-11377000,-6300000,-421000,-10266000,-2726000,2178000,-1746000,-515000,4094000
98,Cash at the End of Period,- -,- -,- -,- -,900000,2220983,2168136,6276011,8761568,14031984,19628348,22622654,4220355,11424984,23589025,22250154,39889000,40168000,28791000,22491000,22070000,7596000,4870000,7048000,5302000,4787000,8881000
