,https://roic.ai/company/BHE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-200000,-2800000,-16800000,-9700000,-5100000,-18200000,-38666965,-22943352,23127000,-65674000,-292221000,258583000,31951000,-77861000,-170615000,-192292000,-333264000,15791000,346816000,-11092000,-159967000,28852000,8868000,-115071000,-34672000,-19276000,77210000,90985000,258277000,144011000,69127000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-800000,-500000,1000000,-400000,4600000,-3400000,12336128,19289000,56853000,69869000,-47039000,170291000,221870000,76606000,32174000,-1729000,-80499000,282106000,163537000,123570000,5166000,54784000,151147000,99077000,136661000,146804000,272520000,145842000,76687000,93136000,120438000,-2622000
84,CAPEX,- -,- -,- -,- -,-500000,-3600000,-900000,-2700000,-6300000,-2300000,-8684400,-10352000,-12204000,-23871000,-47984000,-17613000,-7892000,-19540000,-17379000,-46404000,-44618000,-20572000,-36144000,-33696000,-36039000,-71997000,-49035000,-28737000,-45389000,-38062000,-32334000,-54506000,-66732000,-35118000,-39519000,-42177000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30833300,- -,-70679000,-308877000,-38685000,- -,-36165000,- -,- -,- -,- -,3415000,- -,-10552000,- -,- -,- -,-94271000,6262000,-229582000,10750000,- -,-2731000,- -,4714000,- -
86,Purchases of Investments,- -,- -,- -,- -,-3400000,- -,-7100000,-2800000,- -,- -,-9534174,-2265000,- -,- -,- -,- -,- -,- -,-127201000,-303320000,-520380000,-551050000,-162709000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,3400000,- -,5300000,2700000,1500000,- -,- -,11385000,- -,- -,- -,- -,- -,123525000,329866000,635880000,468685000,292050000,3400000,10925000,11150000,15825000,821000,10282000,50000,200000,250000,522000,50000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-200000,200000,-100000,-100000,- -,100000,75281,169000,-7201000,-1018000,1132000,-3190000,258000,455000,6030000,-1733000,454000,2456000,291000,-11090000,-4000,-232000,22594000,11562000,191000,-141000,-1717000,-5585000,-3832000,-2337000,-4513000,302000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4100000,- -,-8100000,-300000,-3600000,-700000,-48976593,-12448000,-78699000,-333766000,-85537000,-20803000,-43799000,-19085000,-15025000,-21591000,71336000,-97066000,93488000,-40533000,-24857000,-60478000,-9492000,-108717000,-27476000,-266801000,-21245000,-56121000,-68849000,-34863000,-34383000,-41875000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254000,-300000,-363000,-419000,-497000,-582000,-20676000,-37301000,-112396000,-108024000,-6794000,-118851000,- -
91,Common Stock Issued,- -,- -,- -,- -,8400000,- -,10200000,100000,100000,200000,28898585,680000,493000,94949000,116250000,1582000,115331000,18055000,9838000,8083000,16070000,9212000,2933000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52969000,-93833000,-27919000,-58855000,-56281000,-47106000,-41168000,-43800000,-68365000,-41929000,-29348000,-211858000,-122110000,-25220000,-40216000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21005000,-23287000,-23041000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18756557,-292000,23400000,154842000,30886000,-113807000,-35793000,-36045000,-21028000,-412000,5197000,-70736000,-321000,3805000,4428000,2557000,3802000,11557000,19501000,248678000,44488000,110392000,49920000,-646000,109586000,-33736000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8400000,- -,10200000,100000,100000,200000,47655142,388000,23893000,249791000,147136000,-112225000,79538000,-17990000,-11190000,7671000,21267000,-114493000,-91221000,-24368000,-54727000,-54087000,-43723000,-30108000,-24881000,159637000,-34742000,-31352000,-290967000,-152837000,-57526000,-73952000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000,-456000,-925000,-4912000,4033000,1593000,1632000,923000,4779000,-5308000,2880000,-480000,-2644000,2727000,724000,-2483000,-1021000,-1095000,2744000,-1315000,418000,3505000,-5792000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11014677,7229000,2048000,-13640000,14104000,36338000,252697000,43564000,7552000,-14017000,13027000,75326000,160496000,61549000,-74898000,-62425000,100659000,-39024000,81821000,38619000,215438000,61113000,-284444000,-94146000,32034000,-124241000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800013,21029000,23077000,9437000,23541000,59879000,312576000,356140000,124862000,110845000,123872000,199198000,359694000,421243000,346345000,283920000,384579000,345555000,427376000,465995000,681433000,742546000,458102000,363956000,395990000,271749000
99,Cash at the Beginning of Period,- -,- -,- -,- -,100000,3600000,3100000,6200000,5600000,6800000,2785336,13800000,21029000,23077000,9437000,23541000,59879000,312576000,117310000,124862000,110845000,123872000,199198000,359694000,421243000,346345000,283920000,384579000,345555000,427376000,465995000,681433000,742546000,458102000,363956000,395990000
100,Free Cash Flow,- -,- -,- -,- -,-1300000,-4100000,100000,-3100000,-1700000,-5700000,3651728,8937000,44649000,45998000,-95023000,152678000,213978000,57066000,14795000,-48133000,-125117000,261534000,127393000,89874000,-30873000,-17213000,102112000,70340000,91272000,108742000,240186000,91336000,9955000,58018000,80919000,-44799000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000089056699000406/0000890566-99-000406-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/863436/000104746903010138/0001047469-03-010138-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000104746904007820/0001047469-04-007820-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465905011357/0001104659-05-011357-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465906016084/0001104659-06-016084-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465907015596/0001104659-07-015596-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000110465908013833/0001104659-08-013833-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420409011400/0001144204-09-011400-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420410010661/0001144204-10-010661-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420411011119/0001144204-11-011119-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420412011728/0001144204-12-011728-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000114420413011827/0001144204-13-011827-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343614000006/0000863436-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343615000005/0000863436-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343616000039/0000863436-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343617000003/0000863436-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343618000005/0000863436-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343619000006/0000863436-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000086343620000009/0000863436-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000156459021009779/0001564590-21-009779-index.htm,https://www.sec.gov/Archives/edgar/data/863436/000095017022002119/0000950170-22-002119-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
