,https://roic.ai/company/SEIC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,-15000000,2300000,2700000,8100000,102578000,121799000,127188000,158939000,192110000,138506000,390346000,464567000,409777000,678348000,556119000,483878000,549399000,639112000,734247000,779241000,788462000,864759000,895104000,1011280000,983702000,1048486000,3543000
82,Other Non-Cash Items,- -,- -,- -,- -,-1000000,-300000,5100000,-400000,2200000,-4200000,18500000,-4600000,7700000,38700000,-82278000,12425000,20452000,-19126000,-18527000,35514000,-269550000,-6708000,118882000,-151339000,145458000,-9314000,-77390000,-109460000,-104174000,-60164000,-32008000,-77521000,-65742000,-141133000,-30749000,-133300000,-6451000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,23900000,28000000,32300000,27600000,33500000,37400000,24400000,33300000,49900000,99900000,92900000,148263000,174379000,175734000,178003000,186510000,214437000,346170000,361457000,284728000,345471000,229326000,256962000,257490000,351224000,374803000,391460000,425236000,459898000,588401000,545122000,488682000,633101000
84,CAPEX,- -,- -,- -,- -,-7300000,-8900000,-18700000,-18000000,-16900000,-15500000,-8600000,-33100000,-13000000,-21800000,-17300000,-27188000,-40342000,-24818000,-23736000,-14236000,-15725000,-106122000,-94319000,-78302000,-63216000,-52340000,-53225000,-54074000,-55851000,-63346000,-73881000,-81789000,-86568000,-73316000,-77171000,-78567000,-52536000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,6000000,- -,- -,- -,-80000000,-6000000,- -,- -,-80159000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,- -,- -,-2600000,-2500000,-17660000,-69647000,-23796000,-57421000,-28532000,-38084000,-80683000,-73364000,-61648000,-322528000,-39085000,-81460000,-37481000,-60164000,-58754000,-53538000,-73193000,-69525000,-203460000,-174997000,-143493000,-216260000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,- -,- -,- -,2495000,24618000,30701000,52367000,61829000,4845000,63926000,68856000,60703000,52832000,87033000,104735000,108182000,47574000,63434000,46312000,69293000,65830000,167876000,171450000,155952000,195096000
88,Other Investing Activites,- -,- -,- -,- -,-14400000,-100000,-200000,7400000,-600000,4100000,-3900000,-15300000,-8900000,-7300000,-2000000,2820000,-216000,-2802000,-11157000,-30596000,-67292000,-137000,2769000,-59028000,-49944000,-75812000,-42954000,-31004000,-39472000,-29596000,-26324000,-44288000,-63082000,-52691000,-31536000,-25507000,-37061000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-21700000,-9000000,-18900000,-10600000,-17500000,-11400000,-17900000,-41900000,-21900000,-31700000,-21800000,-39533000,-85587000,-20715000,-39947000,-11535000,-116256000,-118016000,-96058000,-86299000,-338912000,-41475000,-31950000,16627000,-62413000,-53385000,-78015000,-79585000,-172302000,-123370000,-78180000,-67496000,-164883000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20439000,-31980000,-138000000,-95000000,- -,- -,- -,- -,- -,-10000000,-30000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,2900000,7200000,4300000,5600000,5500000,7200000,5400000,5400000,9100000,30400000,23600000,12269000,18741000,14482000,17301000,11683000,9938000,43169000,44309000,28457000,23664000,28096000,24221000,49439000,66367000,104897000,65543000,48272000,53568000,87982000,60910000,49413000,55231000
92,Common Stock Repurchased,- -,- -,- -,- -,-26200000,-3700000,-22000000,-17200000,-19300000,-28200000,-18400000,-9800000,-43600000,-55200000,-66000000,-24843000,-103349000,-147857000,-95453000,-135509000,-164118000,-107398000,-205084000,-129251000,-53136000,-119775000,-208932000,-157543000,-206577000,-275788000,-291374000,-292258000,-248339000,-407384000,-346352000,-427001000,-408069000
93,Dividends Paid,- -,- -,- -,- -,-1100000,-1000000,-1100000,-1500000,-1900000,-2700000,-3400000,-4100000,-4800000,-5300000,-6400000,-7786000,-9786000,-12050000,-13702000,-19748000,-21283000,-22704000,-25683000,-28946000,-30598000,-54634000,-22041000,-135335000,-34400000,-74294000,-80030000,-84686000,-88862000,-94318000,-100745000,-103914000,-105516000
94,Other Financing Activites,- -,- -,- -,- -,3500000,-4200000,100000,-100000,- -,- -,- -,20100000,15000000,-2000000,-2000000,-2000000,21611000,-7555000,-11973000,-14388000,-9556000,15599000,-4968000,7472000,259725000,1877000,1434000,583000,11825000,20435000,16056000,8984000,40000000,- -,-433000,-633000,36035000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-20900000,-1700000,-18700000,-13200000,-15700000,-23700000,-16400000,11600000,-24300000,-32100000,-50800000,-22360000,-72783000,-152980000,-103827000,-157962000,-185019000,-71334000,-191426000,-142707000,167675000,-282436000,-300318000,-242856000,-162785000,-224750000,-289805000,-319688000,-253633000,-443720000,-386620000,-482135000,-422319000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7495000,-11425000,-9923000,14583000,-11024000,6186000,4129000,-1868000
97,Net Change In Cash,- -,- -,- -,- -,-20900000,-1700000,-18700000,-13200000,-15700000,-23700000,- -,- -,- -,- -,20200000,86370000,16009000,2039000,34229000,17013000,-86838000,156820000,73973000,55722000,174234000,-94585000,-75306000,31261000,126026000,89173000,12215000,16040000,48546000,10287000,86508000,-56820000,44031000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73200000,159576000,163685000,165724000,199953000,216966000,130128000,286948000,360921000,416643000,590877000,496292000,420986000,452247000,578273000,667446000,679661000,695701000,744247000,758039000,844547000,787727000,831758000
99,Cash at the Beginning of Period,- -,- -,- -,- -,20700000,2100000,19000000,13700000,17500000,17900000,20200000,10300000,13200000,16900000,53000000,73206000,147676000,163685000,165724000,199953000,216966000,130128000,286948000,360921000,416643000,590877000,496292000,420986000,452247000,578273000,667446000,679661000,695701000,747752000,758039000,844547000,787727000
100,Free Cash Flow,- -,- -,- -,- -,16600000,19100000,13600000,9600000,16600000,21900000,15800000,200000,36900000,78100000,75600000,121075000,134037000,150916000,154267000,172274000,198712000,240048000,267138000,206426000,282255000,176986000,203737000,203416000,295373000,311457000,317579000,343447000,373330000,515085000,467951000,410115000,580565000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350894/000095010996001878/0000950109-96-001878-index.html,https://www.sec.gov/Archives/edgar/data/350894/000103605097000049/0001036050-97-000049-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350894/000103605001000535/0001036050-01-000535-index.html,https://www.sec.gov/Archives/edgar/data/350894/000093066102000926/0000930661-02-000926-index.html,- -,https://www.sec.gov/Archives/edgar/data/350894/000119312504041807/0001193125-04-041807-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312505049381/0001193125-05-049381-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312506056025/0001193125-06-056025-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312507038332/0001193125-07-038332-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312508038641/0001193125-08-038641-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312509037490/0001193125-09-037490-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312510040123/0001193125-10-040123-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312511045593/0001193125-11-045593-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000119312512081132/0001193125-12-081132-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089413000006/0000350894-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089414000008/0000350894-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089415000009/0000350894-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089416000102/0000350894-16-000102-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089417000010/0000350894-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089418000011/0000350894-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089419000012/0000350894-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089420000012/0000350894-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089421000010/0000350894-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/350894/000035089422000007/0000350894-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
