,https://roic.ai/company/ARCB,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,-900000,-4600000,-5069000,-5079000,-4493000,-4298000,-4298000,-4298000,-4122000,-2487000,- -,-7955000,-12010000,-13704000,-15269000,-15165000,-15344000,-15523000,-3126000,-3180000,-3219000,-3233000,-4102000,-6837000,-8318000,-8264000,-8244000,-8187000,-8157000,-8139000
94,Other Financing Activites,39500000,89300000,35000000,99404000,262246000,268633000,473384000,562049000,425883000,117690000,59520000,60682000,278387000,83586000,-473000,1710000,-2292000,692000,-27665000,1659000,3284000,134358000,10433000,4062000,107970000,-3749000,5291000,-2075000,15835000,229445000,17466000
95,Cash Used/Provided by Financing Activities,-37200000,-50600000,-28900000,36756000,195219000,-82901000,-136149000,-29349000,-52831000,-8015000,-59829000,-15709000,-118451000,-3754000,-23358000,-36919000,-21079000,-12030000,-44152000,-7716000,-15952000,78139000,-35976000,-40480000,-12445000,-73779000,-77916000,-90983000,-60400000,-111405000,-247645000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-37200000,-50600000,-28900000,-3504000,13487000,-15139000,4776000,-2660000,-224000,32423000,-21882000,24784000,-34393000,65622000,-26592000,-758000,88796000,7075000,-61548000,63246000,38717000,-50593000,14652000,51688000,7931000,-50693000,5530000,69414000,11723000,102045000,-227334000
98,Cash at the End of Period,- -,- -,- -,3458000,16945000,1806000,7203000,4543000,4319000,36742000,14860000,39644000,5251000,70873000,5767000,5009000,93805000,100880000,39332000,102578000,141295000,90702000,105354000,157042000,164973000,114280000,120772000,190186000,201909000,303954000,76620000
99,Cash at the Beginning of Period,8400000,7500000,5600000,6962000,3458000,16945000,2427000,7203000,4543000,4319000,36742000,14860000,39644000,5251000,32359000,5767000,5009000,93805000,100880000,39332000,102578000,141295000,90702000,105354000,157042000,164973000,115242000,120772000,190186000,201909000,303954000
100,Free Cash Flow,32900000,38300000,21900000,1455000,-115914000,2449000,64554000,11406000,61810000,30493000,-9823000,33000000,6161000,41529000,25299000,16876000,41864000,41283000,-41430000,10510000,42330000,40038000,59467000,99865000,59082000,31515000,76294000,201258000,67933000,148500000,245042000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/894405/000095013406003732/0000950134-06-003732-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013407003964/0000950134-07-003964-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013408003230/0000950134-08-003230-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095013409003408/0000950134-09-003408-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000095012310016402/0000950123-10-016402-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465911009380/0001104659-11-009380-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465912014180/0001104659-12-014180-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465913015733/0001104659-13-015733-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000144530514000790/0001445305-14-000790-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000110465915015842/0001104659-15-015842-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837016003625/0001558370-16-003625-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837017001164/0001558370-17-001164-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837018001312/0001558370-18-001312-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837019001332/0001558370-19-001332-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837020001796/0001558370-20-001796-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837021002023/0001558370-21-002023-index.htm,https://www.sec.gov/Archives/edgar/data/894405/000155837022002184/0001558370-22-002184-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
