,https://roic.ai/company/MIDD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,-1600000,-2400000,-1400000,-1200000,-2300000,-3200000,-3000000,- -,-5000000,-3800000,-656000,-469000,-1087000,- -,-1003000,-1376000,-2267000,-3311000,- -,-4337000,-5731000,-7840000,-7652000,-19640000,- -,-13143000,-24817000,-54493000,-41439000,-46609000,- -,-41901000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95052000,- -,- -,-19129000,-39645000,-6396000,-68375000,- -,-205757000,-133306000,-181070000,-62243000,-461550000,- -,-219915000,-210921000,-305251000,-1197984000,-281058000,- -,-79003000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,7500000,- -,11000000,17400000,- -,100000,4800000,- -,6300000,-1300000,- -,- -,- -,- -,- -,69000,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,14278000,-5399000,- -,- -,7095000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,5900000,-2400000,9600000,16200000,-2300000,-1800000,1800000,- -,1300000,-5100000,-656000,-95521000,-1087000,- -,-20132000,-40952000,-8663000,-71686000,- -,-210094000,-139037000,-188910000,-69895000,-474190000,- -,-233058000,-235738000,-345466000,-1239423000,-327667000,- -,-106757000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252000,862000,-314171000,-664000,- -,-35000,-29338000,-1097000,-753372000,-560947000,- -,-3345815000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22100000,600000,143000,102000,315000,- -,817000,977000,798000,4548000,- -,270000,- -,224000,2804000,3842000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,-8468000,-313000,-1602000,- -,- -,- -,- -,- -,- -,-12359000,- -,-15663000,-20670000,-4391000,- -,-44283000,-4418000,-239838000,- -,-6144000,- -,-85872000
93,Dividends Paid,- -,- -,- -,- -,- -,-700000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-906000,- -,- -,- -,-2301000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-8400000,-600000,-4800000,-12100000,-2900000,-3200000,-1800000,- -,-14400000,-100000,-20208000,84079000,-14777000,- -,-12900000,-2128000,-42731000,11448000,- -,136166000,39493000,106166000,267096000,331415000,- -,53205000,-7614000,296771000,1609501000,541646000,- -,3179219000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-9100000,-800000,-4800000,-12100000,-2900000,-3200000,-1800000,- -,7700000,-2800000,-29439000,83868000,-16064000,- -,-14384000,-1151000,-41933000,15996000,- -,124077000,39241000,91589000,-64941000,330202000,- -,8887000,-41370000,55836000,856129000,-25445000,- -,-252468000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51000,153000,124000,- -,-651000,1241000,-512000,640000,358000,- -,-2660000,-4045000,6344000,-3573000,-1514000,- -,8043000
97,Net Change In Cash,- -,- -,- -,- -,- -,-9100000,-800000,-4800000,-12100000,-2900000,-3200000,-1800000,- -,7700000,-2800000,-12442000,1701000,2381000,- -,-4726000,105000,-374000,3929000,- -,-1319000,2219000,32560000,-5850000,2528000,- -,7051000,12957000,21169000,-17953000,22799000,- -,173603000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2094000,3795000,8378000,- -,3652000,3908000,3534000,7463000,- -,6144000,8363000,40216000,34366000,36894000,- -,43945000,68485000,89654000,71701000,94500000,- -,268103000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,900000,400000,700000,400000,700000,1000000,- -,1400000,12300000,14536000,2094000,5997000,- -,8378000,3803000,3908000,3534000,- -,7463000,6144000,7656000,40216000,34366000,- -,36894000,55528000,68485000,89654000,71701000,- -,94500000
100,Free Cash Flow,- -,- -,- -,- -,- -,2100000,300000,-5900000,-5500000,3100000,2100000,-2600000,- -,-3100000,-1500000,16997000,12885000,18445000,- -,28787000,40883000,47802000,56184000,- -,81012000,95043000,122553000,120694000,126518000,- -,220739000,269293000,249962000,327475000,330816000,- -,482884000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/769520/000089155401501703/0000891554-01-501703-index.html,https://www.sec.gov/Archives/edgar/data/769520/000089155402001659/0000891554-02-001659-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000116923203002421/0001169232-03-002421-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000115752304002960/0001157523-04-002960-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420406010303/0001144204-06-010303-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420407012915/0001144204-07-012915-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420408012109/0001144204-08-012109-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000114420409012162/0001144204-09-012162-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420410011289/0001144204-10-011289-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000114420412015141/0001144204-12-015141-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000144530513000370/0001445305-13-000370-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000144530514000623/0001445305-14-000623-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000076952015000003/0000769520-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952017000003/0000769520-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952018000003/0000769520-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952019000003/0000769520-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/769520/000076952020000004/0000769520-20-000004-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/769520/000076952021000003/0000769520-21-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
