,https://roic.ai/company/PAYX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3818000,-10190000,23700000,17600000,8300000,-18200000,-28200000,-37500000,-103700000,13600000,-117200000,55100000,-272900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10049000,-15003000,- -,-26900000,-16600000,45100000,51100000,63300000,39100000,42600000,77500000,-4900000,169000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,97500000,137200000,194700000,263100000,360800000,475630000,647431000,791168000,445117000,558544000,747246000,605929000,623849000,428639000,537933000,416939000,469600000,330200000,564400000,572500000,530200000,497700000,546900000,497200000,832700000,1037700000,1231300000
82,Other Non-Cash Items,- -,- -,- -,- -,500000,-1900000,800000,-700000,-4400000,-99400000,-46000000,-50200000,-60100000,-95200000,-89507000,-164282000,-165589000,352089000,-101078000,-191139000,158938000,17262000,240374000,-65547000,146749000,20239000,165600000,-254200000,118900000,128700000,137100000,-85800000,190600000,-330800000,-115300000,-254300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,14500000,15700000,24100000,29400000,34200000,48100000,59900000,101800000,136800000,174100000,249028000,304938000,303821000,373708000,390086000,467857000,569233000,631227000,724669000,688771000,610923000,715300000,706600000,675300000,880900000,895200000,1018200000,960400000,1276400000,1271500000,1440900000,1260300000
84,CAPEX,- -,- -,- -,- -,-15400000,-17400000,-13400000,-8700000,-11300000,-12300000,-17000000,-18000000,-28200000,-22100000,-32888000,-45250000,-54378000,-60212000,-50562000,-70686000,-81143000,-79020000,-82289000,-64709000,-73174000,-100500000,-89600000,-98700000,-84100000,-102800000,-97700000,-94300000,-154000000,-123800000,-127000000,-114600000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-3000000,-33000000,-6000000,13000000,-126000000,-6000000,-21000000,-9000000,-27000000,-296000000,- -,-180000000,-992000000,-6100000,-19500000
86,Purchases of Investments,- -,- -,- -,- -,-13200000,-4100000,-11600000,-32000000,-27400000,-51400000,-134800000,-517200000,-689200000,-811000000,-1301811000,-921138000,-1213325000,-815714000,-1237008000,-3230532000,-91072442000,-109642485000,-80501595000,-16365721000,-1554950000,-6229100000,-10180500000,-28332800000,-29850500000,-34020400000,-12572200000,-50462300000,-50220200000,-35145800000,-25218100000,-6089700000
87,Sales/Maturities of Investments,- -,- -,- -,- -,15400000,8800000,7400000,13700000,19500000,22300000,104400000,187300000,346100000,520200000,730954000,594477000,1054292000,1028577000,1209887000,2886796000,90227659000,108929038000,81568872000,17958518000,1152019000,6049300000,9817400000,27620200000,30080600000,33719500000,11984300000,49903000000,51592900000,34638800000,26132900000,5771900000
88,Other Investing Activites,- -,- -,- -,- -,-300000,-200000,-400000,-100000,- -,-200000,-800000,292800000,253900000,204500000,419571000,174133000,62153000,-351107000,-13644000,191967000,616876000,354567000,-18823000,-1117626000,61783000,-3200000,-785600000,1014000000,-453100000,145700000,918500000,229000000,-1717700000,-5500000,-9800000,-8700000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13500000,-12900000,-18000000,-27100000,-19200000,-41600000,-48200000,-55100000,-117400000,-108400000,-184174000,-197778000,-151258000,-198456000,-91327000,-222455000,-310050000,-440900000,933165000,404462000,-401322000,-409500000,-1244300000,181700000,-316100000,-285000000,-63100000,-424600000,-679000000,-1628300000,771900000,-460600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-346002000,42298000,-34900000,980500000,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,200000,2100000,2200000,1800000,2000000,- -,- -,2000000,5500000,11242000,14600000,21031000,8170000,18270000,9026000,32125000,43198000,58778000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-999999000,- -,- -,- -,- -,- -,-249700000,-182400000,-107900000,-166200000,-143100000,-56900000,-171900000,-155700000
93,Dividends Paid,- -,- -,- -,- -,-2000000,-2500000,-3000000,-4400000,-6600000,-9900000,-15000000,-24100000,-35900000,-54100000,-81583000,-123112000,-157481000,-165448000,-177408000,-192976000,-231554000,-301313000,-442146000,-447732000,-448558000,-448800000,-460500000,-476700000,-510600000,-551800000,-606500000,-662300000,-739700000,-826800000,-889400000,-908700000
94,Other Financing Activites,- -,- -,- -,- -,-600000,-600000,-400000,-400000,-600000,-300000,5000000,7600000,-100000,- -,-69000,- -,- -,- -,- -,- -,- -,9718000,-189583000,9033000,8206000,12600000,7500000,-381800000,240700000,141500000,-279200000,345800000,459000000,-124800000,-426900000,428000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2400000,-2900000,-1300000,-2600000,-5400000,-8200000,-10000000,-16500000,-34000000,-48600000,-70410000,-108512000,-136450000,-157278000,-159138000,-183950000,-199429000,-248397000,-1572950000,-784701000,-398054000,-471100000,527500000,-858500000,-519600000,-592700000,-993600000,-482700000,-423800000,-1008500000,-1488200000,-636400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-2400000,-2900000,-1300000,-2600000,-5400000,- -,- -,- -,- -,- -,-5556000,-1352000,16113000,17974000,139621000,61452000,59754000,-58070000,84884000,308532000,-188453000,-165300000,-10200000,-1500000,45200000,17500000,-38500000,53100000,173600000,-1365300000,724600000,163300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47136000,45784000,61897000,79871000,219492000,280944000,137423000,79353000,164237000,472769000,284316000,119000000,108800000,107300000,152500000,170000000,131500000,184600000,358200000,935200000,1659800000,1823100000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1800000,500000,500000,5200000,5000000,14600000,13700000,20000000,50200000,35600000,52692000,47136000,45784000,61897000,79871000,219492000,77669000,137423000,79353000,164237000,472769000,284300000,119000000,108800000,107300000,152500000,170000000,131500000,184600000,2300500000,935200000,1659800000
100,Free Cash Flow,- -,- -,- -,- -,-900000,-1700000,10700000,20700000,22900000,35800000,42900000,83800000,108600000,152000000,216140000,259688000,249443000,313496000,339524000,397171000,488090000,552207000,642380000,624062000,537749000,614800000,617000000,576600000,796800000,792400000,920500000,866100000,1122400000,1147700000,1313900000,1145700000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/723531/000072353195000026/0000723531-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353196000018/0000723531-96-000018-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353197000030/0000723531-97-000030-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353198000014/0000723531-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353199000020/0000723531-99-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353100000020/0000723531-00-000020-index.html,https://www.sec.gov/Archives/edgar/data/723531/000072353101500014/0000723531-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015202005612/0000950152-02-005612-index.html,https://www.sec.gov/Archives/edgar/data/723531/000095015203007265/0000950152-03-007265-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015204005452/0000950152-04-005452-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015205006110/0000950152-05-006110-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015206005992/0000950152-06-005992-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015207005944/0000950152-07-005944-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095015208005502/0000950152-08-005502-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012309023519/0000950123-09-023519-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012310066009/0000950123-10-066009-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000095012311065947/0000950123-11-065947-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000119312512309041/0001193125-12-309041-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353113000021/0000723531-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353114000014/0000723531-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353115000011/0000723531-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353116000046/0000723531-16-000046-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353117000023/0000723531-17-000023-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353118000026/0000723531-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353119000032/0000723531-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353120000048/0000723531-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/723531/000072353121000035/0000723531-21-000035-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
