,https://roic.ai/company/MCS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3823000,-2217000,871000,-2887000,5733000,748000,2355000,-1978000,15015000,-4232000,9733000,-32131000,21501000
81,Other Working Capital,- -,- -,- -,- -,- -,-2000000,-10300000,-9300000,-3800000,-13300000,-30700000,-19100000,-28500000,-37600000,-32700000,-42100000,-42285000,-35900000,-76000000,-46000000,252400000,-29800000,-67790000,-43400000,-50300000,-65700000,-51000000,-137628000,-55100000,-65300000,-79671000,-94530000,-82962000,-80307000,-95724000,-149575000,-113222000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-200000,13200000,400000,-5100000,14800000,22600000,-37300000,8300000,15400000,-11200000,11443000,-13240000,-7014000,44066000,-10802000,-424374000,269818000,35228000,-20978000,24013000,9675000,-7209000,94903000,-71613000,16131000,24571000,12525000,-15554000,13729000,29968000,69539000,-12409000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,25500000,32000000,33000000,36800000,50100000,56900000,41800000,61100000,71700000,60000000,67325000,52827000,73070000,71568000,91858000,-12992000,39574000,64856000,57770000,69442000,52740000,61502000,69028000,63202000,66440000,80452000,82655000,109036000,137389000,141479000,-68554000,46251000
84,CAPEX,- -,- -,- -,- -,- -,-42400000,-39900000,-27200000,-47200000,-75800000,-77100000,-83700000,-107500000,-115900000,-111800000,-99492000,-96748000,-48899000,-26004000,-50915000,-63431000,-35702000,-111102000,-24437000,-36810000,-25082000,-25186000,-38017000,-22635000,-56673000,-74988000,-83606000,-114804000,-58660000,-64086000,-21363000,-17082000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17220000,-75650000,-40500000,- -,-893000,- -,- -,-1300000,-1366000,-1899000,-62666000,6618000,-294000,-30081000,-28000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-2200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1035000,-55000,- -,- -,- -,- -,- -,- -,- -,-801000,-3080000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,785000,- -,- -,- -,- -,- -,- -,- -,5184000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,2900000,-2700000,2400000,1600000,1000000,9600000,42900000,3000000,9800000,5100000,15478000,26619000,-3769000,6281000,4610000,365867000,32466000,114467000,4751000,-34333000,-20496000,-31828000,-36677000,-21261000,-56342000,-76276000,-65921000,-106857000,-58973000,-63865000,-16428000,-8182000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-41700000,-42600000,-24800000,-45600000,-74800000,-67500000,-40800000,-104500000,-106100000,-106700000,-84014000,-70129000,-52668000,-19723000,-46305000,302436000,-20456000,-72285000,-60186000,-35402000,-21389000,-32863000,-35947000,-22561000,-57708000,-78175000,-128587000,-100239000,-59267000,-93946000,-12073000,10883000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-98343000,-96835000,-73441000,-128029000,-240013000,-147386000,-155676000,-288523000,-370286000,-267989000,-360164000,-316909000,-178500000
91,Common Stock Issued,- -,- -,- -,- -,- -,300000,- -,100000,35000000,400000,200000,500000,400000,1400000,600000,109000,146000,1302000,1349000,3134000,6730000,6488000,2064000,825000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,-1700000,-1100000,- -,-100000,- -,-100000,- -,-2200000,-6800000,-5253000,-3892000,- -,-136000,-264000,-98000,-6072000,-7846000,-14153000,- -,- -,-3988000,-11189000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2000000,-2200000,-2300000,-2700000,-3500000,-4200000,-6300000,-5700000,-6300000,-6400000,-6312000,-6182000,-6239000,-6276000,-6343000,-6451000,-222305000,-9477000,-9937000,-9838000,-9883000,-9810000,-9707000,-35614000,-9203000,-10390000,-12037000,-13504000,-16414000,-19311000,-5145000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,22100000,11700000,-4200000,-15700000,22000000,13400000,11600000,41200000,38200000,58100000,27581000,25794000,-11350000,-46357000,-38490000,-40196000,-21759000,178000,27103000,67497000,77703000,53048000,118284000,239124000,144479000,163732000,343059000,388002000,207461000,335633000,391151000,131332000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,20100000,7800000,-7500000,16600000,18800000,9400000,5700000,35900000,31100000,45500000,16125000,15866000,-16287000,-51420000,-41963000,-40015000,-243648000,-15081000,3838000,-40684000,-29015000,-34191000,-30641000,-36503000,-12110000,-2334000,42499000,4212000,-76942000,-43842000,69097000,-47168000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,20100000,7800000,-7500000,16600000,18800000,9400000,6700000,35900000,31100000,-1200000,-564000,-1436000,4115000,425000,3590000,249429000,-224530000,-22510000,1422000,-6644000,2336000,-5552000,2440000,4138000,-3378000,-57000,-3433000,13009000,1180000,3691000,-11530000,9966000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,- -,- -,3500000,2935000,1499000,5614000,6039000,9629000,259058000,34528000,12018000,13440000,6796000,9132000,3580000,6020000,10158000,6780000,6723000,3239000,16248000,21927000,25618000,14088000,24054000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,6400000,10200000,7400000,8100000,15800000,10000000,8800000,15500000,8000000,4700000,3499000,2935000,1499000,5614000,6039000,9629000,259058000,34528000,12018000,13440000,6796000,9132000,3580000,6020000,10158000,6780000,6672000,3239000,20747000,21927000,25618000,14088000
100,Free Cash Flow,- -,- -,- -,- -,- -,-16900000,-7900000,5800000,-10400000,-25700000,-20200000,-41900000,-46400000,-44200000,-51800000,-32167000,-43921000,24171000,45564000,40943000,-76423000,3872000,-46246000,33333000,32632000,27658000,36316000,31011000,40567000,9767000,5464000,-951000,-5768000,78729000,77393000,-89917000,29169000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706994000090/0000897069-94-000090-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706997000369/0000897069-97-000369-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706900000433/0000897069-00-000433-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706901500402/0000897069-01-500402-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706902000643/0000897069-02-000643-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000089706904001448/cmw848.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706905001970/cmw1617.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706906001850/cmw2293.htm,https://www.sec.gov/Archives/edgar/data/62234/000089706907001668/0000897069-07-001668-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706908001284/0000897069-08-001284-index.html,https://www.sec.gov/Archives/edgar/data/62234/000089706909001281/0000897069-09-001281-index.html,https://www.sec.gov/Archives/edgar/data/62234/000119312510184689/0001193125-10-184689-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420411044975/0001144204-11-044975-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420412045605/0001144204-12-045605-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420413045159/0001144204-13-045159-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420414048883/0001144204-14-048883-index.html,- -,https://www.sec.gov/Archives/edgar/data/62234/000114420417014538/0001144204-17-014538-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420418014385/0001144204-18-014385-index.html,https://www.sec.gov/Archives/edgar/data/62234/000114420419013491/0001144204-19-013491-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465920024194/0001104659-20-024194-index.html,https://www.sec.gov/Archives/edgar/data/62234/000110465921032672/0001104659-21-032672-index.htm,https://www.sec.gov/Archives/edgar/data/62234/000006223422000010/0000062234-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
