,https://roic.ai/company/ATGE,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184854000,- -,46000000,13495000,- -,- -,- -,- -,- -,- -,- -,1841000,113552000,2721000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-16900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1798000,36642000,52571000,-74005000,-131709000,-627000,-129055000,-111775000,-70628000,-82607000,-38324000,-48994000,-66530000,-39045000,271986000,-48664000
89,Cash Used for Investing Activites,- -,-2300000,-2100000,-3900000,-5100000,-6300000,-14600000,-53200000,-28800000,-31800000,-44800000,-79384000,-83124000,-85873000,-339670000,-44301000,-47770000,-25997000,-1916000,-99997000,-389386000,-85788000,-125986000,-380010000,-150903000,-84333000,-155882000,-215407000,-379654000,-75730000,-161934000,382523000,-56688000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-224348000,-195111000,- -,- -,-3822000,-9095000,-5978000,-11500000,-406819000,-414413000,-30295000,-338000000,-3000000
91,Common Stock Issued,- -,- -,22000000,- -,- -,- -,- -,100000,23800000,100000,300000,2067000,982000,1068000,404000,2631000,1090000,3934000,13873000,18724000,2066000,- -,1460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10534000,-24465000,-33684000,-41683000,-132940000,-158093000,-53886000,- -,-25918000,-32634000,-48508000,-137028000,-252852000,-136889000,-100000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3545000,-7840000,-10015000,-12839000,-15529000,-18369000,-31529000,-21903000,-23230000,-22977000,-11414000,- -,- -,- -,- -
94,Other Financing Activites,- -,-9700000,-32300000,-9600000,-21400000,-12500000,-10100000,28500000,-28500000,-23000000,-10000000,- -,- -,- -,290000000,-40000000,-24999000,-99468000,-124028000,2306000,352147000,87793000,6820000,8444000,6676000,11854000,6513000,1490000,555540000,588645000,145614000,218780000,779466000
95,Cash Used/Provided by Financing Activities,- -,-9700000,-10300000,-9600000,-21400000,-12500000,-10100000,28600000,-4700000,-22900000,-9700000,2067000,982000,1068000,290404000,-37369000,-23909000,-95534000,-124234000,-11275000,86166000,-161840000,-140189000,-168018000,-82561000,-19144000,-48613000,-65621000,88799000,37204000,-137533000,-256109000,676466000
96,Effect of Forex Changes on Cash,- -,100000,- -,- -,-200000,-300000,- -,- -,- -,100000,-100000,-14000,286000,-46000,29000,-1000,-283000,-531000,-454000,670000,1697000,-1420000,-2372000,-2463000,-3244000,-1040000,-3778000,4601000,-1360000,-11634000,2573000,-33468000,534000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-5997000,3362000,30472000,49014000,52756000,15596000,-31240000,-1428000,88044000,-51997000,142500000,139443000,-273069000,23068000,161044000,-5166000,-44858000,-64251000,179904000,-143938000,200638000,812511000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,25851000,29213000,59685000,108699000,146227000,161823000,130583000,129155000,217199000,165202000,307702000,447145000,174076000,197144000,358188000,353022000,308164000,251096000,431000000,300467000,501105000,1313616000
99,Cash at the Beginning of Period,- -,14000000,12900000,14200000,16000000,13300000,22700000,26300000,29900000,38900000,31900000,31848000,25851000,29213000,59685000,93471000,146227000,161823000,130583000,129155000,217199000,165202000,307702000,447145000,174076000,197144000,358188000,353022000,315347000,251096000,444405000,300467000,501105000
100,Free Cash Flow,- -,8500000,11500000,11400000,19000000,22100000,13600000,-7900000,13600000,15800000,9800000,30537000,10666000,29450000,54489000,91619000,44649000,65557000,86618000,135840000,175482000,260539000,272264000,148367000,149730000,186206000,114400000,162173000,178970000,172659000,140107000,63555000,143535000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000073046497000006/0000730464-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046498000006/0000730464-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046499000012/0000730464-99-000012-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046400000006/0000730464-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046401500009/0000730464-01-500009-index.html,https://www.sec.gov/Archives/edgar/data/730464/000073046402000007/0000730464-02-000007-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/730464/000114036107017229/0001140361-07-017229-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036108020341/0001140361-08-020341-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114036109019718/0001140361-09-019718-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012310080775/0000950123-10-080775-index.html,https://www.sec.gov/Archives/edgar/data/730464/000095012311080434/0000950123-11-080434-index.html,https://www.sec.gov/Archives/edgar/data/730464/000119312512372041/0001193125-12-372041-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420413048520/0001144204-13-048520-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420414052733/0001144204-14-052733-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420415052225/0001144204-15-052225-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420416121173/0001144204-16-121173-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420417044976/0001144204-17-044976-index.html,https://www.sec.gov/Archives/edgar/data/730464/000114420418046216/0001144204-18-046216-index.html,https://www.sec.gov/Archives/edgar/data/730464/000155837019008351/atge-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837020010728/0001558370-20-010728-index.htm,https://www.sec.gov/Archives/edgar/data/730464/000155837021011957/0001558370-21-011957-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
