,https://roic.ai/company/TREX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069878/000102140803004448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312504035506/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312505052534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312506056524/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312507072292/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312508058823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312509051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312510055209/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312511060587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312512101082/d267044d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312513064375/d444142d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312514064056/d638900d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312515059388/d828432d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312516472797/d101319d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312517049572/d304676d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312518052127/d510466d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312519041150/d671149d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312520046696/d781012d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312521050916/0001193125-21-050916-index.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312522058229/0001193125-22-058229-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,5600000,8500000,11600000,19302000,9050000,16777000,20989000,27155000,2499000,2343000,-75912000,13552000,-16449000,-10066000,-11588000,2720000,34598000,41521000,48098000,67847000,95128000,134572000,144738000,175631000,208737000
74,Depreciation and Amortization,900000,2600000,3200000,4500000,6869000,9326000,13985000,13441000,14658000,17449000,20262000,22491000,25876000,24485000,20788000,18170000,17009000,16255000,15204000,14384000,14498000,16860000,16597000,14031000,17939000,35946000
75,Deferred Income Tax,- -,- -,- -,3200000,2132000,1075000,1792000,3120000,1651000,256000,466000,-11394000,-443000,997000,200000,165000,618000,-12698000,3574000,1024000,5433000,194000,1037000,7706000,13125000,21012000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3528000,3628000,3146000,3469000,3811000,4807000,4861000,4788000,5187000,6344000,6930000,7131000,8438000
77,Change in Working Capital,- -,- -,-7400000,-900000,17796000,-10480000,20918000,25481000,28796000,-38652000,-10200000,27023000,21940000,-17877000,5412000,-84631000,28732000,18836000,6793000,2794000,15683000,32025000,91161000,47084000,-8890000,-70309000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17413000,-21914000,23931000,2660000,-10844000,867000,-10995000,-653000,-10486000,-24281000,12701000,-28286000,-44349000
79,Inventory,- -,- -,-1500000,-2700000,-14349000,-10151000,10739000,-23521000,1593000,-12369000,-54503000,18865000,23172000,23912000,1083000,125000,11376000,-4907000,-1319000,643000,-5442000,-3635000,-23276000,1695000,-12132000,-15515000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1087000,-1407000,-3215000,-731000,3731000,5159000,-2317000,-6966000,-4804000,21131000,-16666000,11353000,-3473000
81,Other Working Capital,4200000,4200000,-3200000,-4100000,13696000,3216000,24134000,49615000,78411000,39759000,29559000,56582000,78522000,60645000,66057000,-18574000,10158000,28994000,35787000,38581000,54264000,86289000,177450000,224534000,215644000,7028000
82,Other Non-Cash Items,200000,-1700000,7900000,3000000,-30692000,-1967000,-508000,-57403000,-26972000,30311000,-16909000,36629000,-27883000,40379000,-968000,108585000,7895000,-15594000,-13257000,-8527000,-22956000,-47529000,-111590000,-64137000,-17642000,54240000
83,Cash Provided by Operating Activities,-200000,6500000,12200000,21400000,15407000,7004000,52964000,5628000,45288000,11863000,-4038000,-1163000,33042000,35063000,18994000,33847000,60443000,45208000,58642000,62634000,85293000,101865000,138121000,156352000,187294000,258064000
84,CAPEX,-30300000,-3300000,-17100000,-29400000,-60114000,-31972000,-6192000,-17058000,-34120000,-49927000,-27702000,-24035000,-8639000,-6919000,-9966000,-7419000,-7593000,-13060000,-12974000,-23333000,-14551000,-15040000,-33816000,-67265000,-172823000,-159394000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2075000,-11000,- -,-44000,-31000,- -,-71804000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-691000,-22253000,20502000,- -,- -,45000,281000,193000,127000,120000,363000,145000,35000,4349000,55000,83000,21000,2165000,-158039000
89,Cash Used for Investing Activites,-30300000,-3300000,-17100000,-29400000,-60114000,-31972000,-6192000,-17749000,-56373000,-29425000,-27743000,-24035000,-8594000,-6638000,-9773000,-9367000,-7484000,-12697000,-12873000,-23329000,-10202000,-86789000,-33733000,-67244000,-170658000,-158039000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31147000,-44545000,-8424000,-180575000,-79500000,-143000000,-218500000,-249700000,-201000000,-172250000,-89500000,-276000000,-494500000
91,Common Stock Issued,- -,- -,- -,41200000,245000,273000,329000,6201000,3291000,1202000,411000,300000,229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,5400000,- -,- -,- -,- -,- -,- -,- -,- -,-743000,-435000,-377000,-74000,-572000,-1089000,-3092000,-5522000,-31277000,-53189000,-53313000,-55216000,-3617000,-30085000,-46545000,-44854000,-82473000
93,Dividends Paid,- -,-400000,-400000,-16700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,28800000,-4600000,4500000,-17700000,44462000,24695000,-32208000,-822000,23568000,-4891000,31082000,24669000,-1480000,-381000,44169000,-35708000,130771000,79879000,156192000,228959000,242494000,201391000,173132000,90071000,277086000,496300000
95,Cash Used/Provided by Financing Activities,34200000,-5000000,4100000,6800000,44707000,24968000,-31879000,5379000,26859000,-4432000,31058000,24592000,-1325000,-32100000,-1465000,-47224000,-55326000,-30898000,-39997000,-42854000,-62422000,-3226000,-29203000,-45974000,-43768000,-80673000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3700000,-1700000,4100000,6800000,44707000,24968000,-31879000,-6742000,15774000,-21994000,-723000,-606000,23123000,-3675000,7756000,-22744000,-2367000,1613000,5772000,-3549000,12669000,11850000,75185000,43134000,-27132000,19352000
98,Cash at the End of Period,109399000,-1700000,- -,- -,- -,- -,14893000,8151000,23925000,1931000,672000,66000,23189000,19514000,27270000,4526000,2159000,3772000,9544000,5995000,18664000,30514000,105699000,148833000,121701000,141053000
99,Cash at the Beginning of Period,105699000,- -,2000000,1200000,- -,- -,- -,14893000,8151000,23925000,1395000,672000,66000,23189000,19514000,27270000,4526000,2159000,3772000,9544000,5995000,18664000,30514000,105699000,148833000,121701000
100,Free Cash Flow,-30500000,3200000,-4900000,-8000000,-44707000,-24968000,46772000,-11430000,11168000,-38064000,-31740000,-25198000,24403000,28144000,9028000,26428000,52850000,32148000,45668000,39301000,70742000,86825000,104305000,89087000,14471000,98670000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069878/000102140803004448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312504035506/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312505052534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312506056524/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312507072292/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312508058823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312509051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312510055209/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312511060587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312512101082/d267044d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312513064375/d444142d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312514064056/d638900d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312515059388/d828432d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312516472797/d101319d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312517049572/d304676d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312518052127/d510466d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312519041150/d671149d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312520046696/d781012d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312521050916/0001193125-21-050916-index.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312522058229/0001193125-22-058229-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
