,https://roic.ai/company/OXM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,-10600000,-7500000,3800000,2600000,5400000,34400000,-6300000,13300000,18900000,-14800000,8300000,-32700000,14629000,4571000,13800000,17700000,-3700000,14500000,-50100000,-20244000,-33056000,33400000,-24100000,400000,39900000,-14973000,-35130000,12335000,876000,26471000,-16532000,-48983000,112105000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-400000,24100000,-15400000,-20600000,-11900000,-55500000,35600000,-13000000,3100000,13900000,-6309000,5867000,62829000,-19793000,15992000,-26682000,22751000,-12809000,-21696000,24025000,44439000,-17920000,-18332000,-5408000,-29488000,-7101000,-8058000,4222000,19504000,-36518000,8187000,29355000,5378000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3026000,-11917000,-5672000,11371000,7377000,-8270000,-1560000,10271000,28429000,- -
81,Other Working Capital,- -,- -,- -,- -,104900000,97400000,101200000,103800000,109200000,143600000,137300000,150600000,169500000,154700000,163000000,130300000,144929000,149500000,163300000,181000000,177300000,191800000,141700000,121456000,88400000,121800000,97700000,98100000,138000000,123027000,87897000,100232000,101108000,127579000,111047000,62064000,174169000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,41400000,-19100000,-30100000,-11900000,-94300000,40600000,-4300000,-36500000,19100000,-5080000,82646000,-24546000,-894000,-9284000,-38765000,12223000,1694000,62237000,370708000,83038000,-115081000,18371000,10414000,-68701000,26092000,68634000,-2775000,1995000,-49129000,24031000,199016000,-97602000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3700000,44700000,3800000,-5000000,19700000,-41400000,43300000,38900000,16200000,39500000,34618000,74393000,12387000,27593000,62902000,51637000,101372000,87922000,44137000,90363000,81569000,15761000,58380000,67452000,52734000,95409000,105373000,118565000,118593000,96377000,121926000,83850000,198006000
84,CAPEX,- -,- -,- -,- -,-5800000,-6400000,-5400000,-8100000,-9400000,-14800000,-19200000,-7600000,-8800000,-28800000,-5927000,-4332000,-1528000,-2051000,-14143000,-23544000,-24953000,-31312000,-21097000,-20735000,-11323000,-13328000,-35310000,-60702000,-43372000,-50355000,-73082000,-49415000,-38748000,-37043000,-37421000,-28924000,1656000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3030000,- -,- -,- -,-222737000,-143727000,-11501000,-13260000,-55628000,-779000,- -,-58303000,-398000,-1813000,-17888000,- -,- -,-95046000,-15529000,-354000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-431000,-9391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-165000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11586000
88,Other Investing Activites,- -,- -,- -,- -,600000,500000,700000,1900000,400000,2700000,3600000,1700000,1000000,1500000,276000,834000,1097000,-204039000,204819000,-508000,37694000,2496000,1907000,275000,11000,102868000,3744000,- -,2130000,- -,59136000,-2030000,- -,- -,- -,-5727000,-6642000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-5200000,-5900000,-4700000,-6200000,-9000000,-12100000,-15600000,-5900000,-7800000,-27300000,-8681000,-3498000,-431000,-206090000,-32061000,-167779000,809000,-51467000,-74818000,-21239000,-11312000,31237000,-31964000,-62515000,-59130000,-50355000,-13946000,-146491000,-54277000,-37397000,-37421000,-34651000,-181572000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-398059000,-419568000,-176207000,-164387000,-304328000,-329695000,-352784000,-345485000,-430995000,-295326000,-290526000,-122241000,-280963000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,300000,300000,1000000,900000,1200000,1400000,1900000,700000,314000,842000,1993000,151000,7181000,3471000,3976000,4595000,2581000,91000,8000,177000,2731000,2538000,7499000,990000,1307000,1257000,1383000,1456000,1639000,1378000,1452000
92,Common Stock Repurchased,- -,- -,- -,- -,-7000000,-3500000,-1000000,-2400000,-1900000,- -,- -,-1500000,-1200000,-25700000,-7348000,-5313000,- -,- -,- -,-8184000,- -,- -,-60058000,- -,- -,- -,-1827000,- -,- -,- -,- -,- -,- -,- -,- -,-18053000,-8359000
93,Dividends Paid,- -,- -,- -,- -,-4800000,-3400000,-4600000,-5500000,-6000000,- -,-7000000,-7000000,-7100000,-6900000,-6533000,-6308000,-6275000,-6313000,-6918000,- -,-9531000,-14387000,-6454000,-14414000,-5889000,-7275000,-8568000,-9924000,-11915000,-13873000,-16640000,-18119000,-18188000,-23054000,-25215000,-16844000,-27536000
94,Other Financing Activites,- -,- -,- -,- -,5600000,-15200000,-4600000,13700000,-3800000,51600000,-23100000,-23600000,4800000,20700000,-14822000,-58556000,-268000,191159000,-7626000,79622000,-92443000,-1034000,72893000,332680000,360423000,172082000,114835000,300766000,341049000,318048000,269352000,475224000,247419000,255359000,104519000,278634000,-3732000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-6200000,-22100000,-9900000,6100000,-10700000,52500000,-28900000,-30700000,-1600000,-11200000,-28389000,-69335000,-4550000,184997000,-7363000,74909000,-97998000,-10826000,8962000,-79702000,-65026000,-11223000,-57216000,-10948000,6938000,-47619000,-91466000,27367000,-64712000,-56765000,-41298000,-35848000,-38175000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000,-203000,774000,-251000,-1044000,-233000,31000,79000,155000,424000,-637000,1081000,568000,407000,-231000,926000,202000,- -
97,Net Change In Cash,- -,- -,- -,- -,-6200000,-22100000,-9900000,6100000,-10700000,52500000,-28900000,-30700000,-1600000,1000000,-2452000,1560000,7406000,6500000,23478000,-41070000,3980000,26403000,-21970000,-11622000,4998000,35806000,-30721000,-5856000,966000,-3202000,1042000,9000,11000,1984000,44133000,13553000,-21154000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,8625000,10185000,17591000,24091000,47569000,6499000,10479000,36882000,14912000,3290000,8288000,44094000,13373000,7517000,8483000,5281000,6323000,6332000,6343000,8327000,52460000,66013000,44859000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10100000,2500000,19200000,8400000,3300000,3200000,2200000,1000000,3300000,10100000,11077000,8625000,10185000,17591000,24091000,47569000,6499000,10479000,36882000,14912000,3290000,8288000,44094000,13373000,7517000,8483000,5281000,6323000,6332000,6343000,8327000,52460000,66013000
100,Free Cash Flow,- -,- -,- -,- -,-2100000,38300000,-1600000,-13100000,10300000,-56200000,24100000,31300000,7400000,10700000,28691000,70061000,10859000,25542000,48759000,28093000,76419000,56610000,23040000,69628000,70246000,2433000,23070000,6750000,9362000,45054000,32291000,69150000,79845000,59334000,84505000,54926000,199662000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528894000012/0000075288-94-000012-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528895000006/0000075288-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528896000007/0000075288-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528897000011/0000075288-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528898000015/0000075288-98-000015-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000007528800000010/0000075288-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528801500015/0000075288-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528802000014/0000075288-02-000014-index.html,- -,https://www.sec.gov/Archives/edgar/data/75288/000095014404008083/g90397e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014405008828/g96912e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014406007947/g02956e10vk.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014407007028/0000950144-07-007028-index.html,https://www.sec.gov/Archives/edgar/data/75288/000095014408002523/g12568e10vkt.htm,https://www.sec.gov/Archives/edgar/data/75288/000095014409002819/0000950144-09-002819-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746910002998/0001047469-10-002998-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746911002966/a2203043z10-k.htm,https://www.sec.gov/Archives/edgar/data/75288/000104746912003586/0001047469-12-003586-index.html,https://www.sec.gov/Archives/edgar/data/75288/000104746913003950/0001047469-13-003950-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528814000013/oxm-2114x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528815000014/oxm-013115x10xk.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528816000080/0000075288-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528817000016/0000075288-17-000016-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528818000018/0000075288-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528819000024/0000075288-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/75288/000155837020003379/0001558370-20-003379-index.html,https://www.sec.gov/Archives/edgar/data/75288/000007528821000004/0000075288-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/75288/000007528822000004/0000075288-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
