,https://roic.ai/company/NRP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1171486/000095012903001690/0000950129-03-001690-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171486/000095012905001752/0000950129-05-001752-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012906001928/0000950129-06-001928-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012907000993/0000950129-07-000993-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095013408003799/0000950134-08-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012909000666/0000950129-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012310017799/0000950123-10-017799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012311019405/0000950123-11-019405-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312512088481/0001193125-12-088481-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312513083594/0001193125-13-083594-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312514077852/0001193125-14-077852-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312515070173/0001193125-15-070173-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148616000028/0001171486-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148617000010/0001171486-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148618000014/0001171486-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148619000011/0001171486-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148620000006/0001171486-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148621000009/0001171486-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148622000021/0001171486-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,14543000,6415000,36907000,58994000,91839000,102090000,102499000,170006000,80565000,154461000,53028000,213355000,172078000,108830000,-571720000,96892000,88667000,139537000,-24458000,-84819000,108902000
74,Depreciation and Amortization,- -,4526000,25365000,30957000,33730000,29695000,51391000,- -,- -,- -,- -,- -,- -,- -,- -,46272000,35993000,21689000,- -,9198000,19075000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1434000,2361000,3570000,4039000
77,Change in Working Capital,- -,13974000,7778000,20904000,10928000,12967000,-8902000,32266000,-32256000,15937000,123726000,-118942000,-66161000,-24032000,-3705000,-68247000,54612000,122950000,-24421000,-13556000,42576000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-4586000,581000,-2627000,-6951000,-802000,6826000,-10693000,19116000,118000,2672000,-6124000,-6035000,12853000,-14415000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-1484000,-133000,- -,- -,1909000,2197000,-4411000,-3261000,846000,984000,1138000,-1234000,207000,570000
81,Other Working Capital,- -,13974000,21752000,42656000,53584000,66551000,57649000,89915000,57659000,73596000,197322000,78380000,12219000,-11813000,-15518000,-83765000,-29153000,93797000,69376000,55820000,98396000
82,Other Non-Cash Items,-1487000,-18177000,-5522000,-20008000,-14822000,-5909000,23165000,27684000,162360000,88296000,128820000,176995000,141157000,125957000,778849000,33044000,-52133000,-96687000,183829000,174881000,-52788000
83,Cash Provided by Operating Activities,13056000,6738000,64528000,90847000,121675000,138843000,168153000,229956000,210669000,258694000,305574000,271408000,247074000,210755000,203424000,107961000,127139000,188923000,137311000,89274000,121804000
84,CAPEX,- -,-57449000,-142541000,-77733000,-105702000,-264765000,-74819000,-16068000,-119911000,-172376000,-120588000,-181215000,-72000000,-358480000,-50854000,-5408000,-7301000,- -,-22000,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-365000000,-174000000,- -,- -,- -,- -,- -,-1000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59009000,-293085000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3633000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,2685000,- -,30000,- -,- -,7051000,-4815000,6240000,-118754000,1580000,5500000,-153043000,355320000,-347682000,20583000,172223000,10844000,190628000,7614000,2680000,2412000
89,Cash Used for Investing Activites,2685000,-57449000,-142511000,-77733000,-105702000,-257714000,-79634000,-9828000,-119911000,-170796000,-115088000,-212733000,-302765000,-520503000,-30271000,166815000,3543000,190628000,7592000,1680000,2412000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-17234000,-168235000,-106234000,-210519000,-30800000,-386230000,-327983000,-190983000,-183141000,-492319000,-175706000,-463082000,-46176000,- -
91,Common Stock Issued,- -,46963000,- -,200355000,- -,- -,- -,- -,- -,110436000,- -,- -,75000000,127202000,- -,- -,242100000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-100121000,- -,- -,- -,- -,-21000,- -,- -,- -,- -,- -,- -,- -,- -,-8844000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-60393000,- -,- -,-147033000,-171307000,-188135000,-209849000,-234828000,-240814000,-249039000,-162042000,-71758000,-22465000,-31311000,-52751000,-63150000,-43253000,- -
94,Other Financing Activites,-15434000,11500000,94550000,-35172000,-10385000,137224000,50811000,- -,258339000,130621000,374277000,147441000,559049000,630134000,91285000,-80572000,140304000,33953000,273564000,- -,- -
95,Cash Used/Provided by Financing Activities,-15434000,58463000,94550000,4669000,-10385000,137224000,-96222000,-188541000,-98052000,-75026000,-71070000,-124173000,-1220000,267311000,-171456000,-286178000,-141226000,-203348000,-252668000,-89429000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-15434000,7752000,16567000,17783000,5588000,18353000,-7703000,31587000,-7294000,12872000,119416000,-65498000,-56911000,-42437000,1697000,-11402000,-10544000,176203000,-107765000,1525000,- -
98,Cash at the End of Period,- -,7753000,24320000,42103000,47691000,66044000,58341000,89928000,82634000,95506000,214922000,149424000,92513000,50076000,51773000,40371000,29827000,206030000,98265000,99790000,- -
99,Cash at the Beginning of Period,- -,1000,7753000,24320000,42103000,47691000,66044000,58341000,89928000,82634000,95506000,214922000,149424000,92513000,50076000,51773000,40371000,29827000,206030000,98265000,99790000
100,Free Cash Flow,13056000,-50711000,-78013000,13114000,15973000,-125922000,93334000,213888000,90758000,86318000,184986000,90193000,175074000,-147725000,152570000,102553000,119838000,188923000,137289000,89274000,121804000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1171486/000095012903001690/0000950129-03-001690-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171486/000095012905001752/0000950129-05-001752-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012906001928/0000950129-06-001928-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012907000993/0000950129-07-000993-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095013408003799/0000950134-08-003799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012909000666/0000950129-09-000666-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012310017799/0000950123-10-017799-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000095012311019405/0000950123-11-019405-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312512088481/0001193125-12-088481-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312513083594/0001193125-13-083594-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312514077852/0001193125-14-077852-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000119312515070173/0001193125-15-070173-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148616000028/0001171486-16-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148617000010/0001171486-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148618000014/0001171486-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148619000011/0001171486-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148620000006/0001171486-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148621000009/0001171486-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1171486/000117148622000021/0001171486-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
