,https://roic.ai/company/GHC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98400000,101000000,-300300000,- -,15800000,-3730000,-37200000,-353100000,-216100000,- -,123605000,131625000,-18500000,257300000,- -,398500000,250069000,327476000,768278000,639911000,1135573000,1052385000,857192000,720180000,621614000,824546000,-3747000
82,Other Non-Cash Items,-139100000,-137400000,- -,-314400000,31900000,6500000,71500000,21000000,-55800000,- -,-41900000,-26600000,331600000,- -,-676400000,-283335000,-161835000,386388000,-246374000,- -,-76295000,88167000,170861000,-89668000,- -,96447000,93364000,40641000,-651421000,-1084207000,-541033000,59472000,184177000,41291000,-345987000,-564522000,-345093000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,301000000,260900000,229900000,242200000,202600000,- -,246500000,287400000,320100000,- -,223100000,368544000,348830000,497466000,337714000,- -,522772000,594750000,581187000,535767000,- -,652993000,393291000,477214000,327864000,372370000,74804000,261256000,268055000,287019000,165164000,210663000,202426000
84,CAPEX,- -,- -,- -,- -,-80700000,-73200000,-55700000,-58900000,-79100000,- -,-121700000,-80000000,-214600000,- -,-244200000,-172383000,-224227000,-152992000,-125588000,- -,-238349000,-284022000,-290007000,-288923000,- -,-257758000,-216381000,-217995000,-224093000,-237292000,-136859000,-66612000,-60358000,-98192000,-93504000,-69591000,-162537000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76389000,-273929000,-90681000,- -,-21749000,-34542000,36524000,228078000,531788000,-142977000,-182165000,-374890000,-128793000,-151535000,193629000,-350118000
86,Purchases of Investments,- -,- -,- -,- -,-106700000,-157300000,-249100000,-533100000,-521700000,- -,-57400000,-147500000,-178900000,- -,-165000000,-42459000,-11675000,-43876000,- -,- -,- -,-42888000,-16003000,-68202000,- -,-10237000,-8165000,-48031000,-28073000,-60281000,-145807000,-48265000,- -,-42659000,-7499000,-20004000,-48036000
87,Sales/Maturities of Investments,- -,- -,- -,- -,57200000,91200000,180200000,465900000,509900000,- -,67500000,12800000,- -,- -,38200000,6332000,145000,19701000,- -,- -,64801000,82910000,538000,114393000,- -,4321000,- -,- -,- -,249795000,- -,- -,- -,66741000,19303000,93775000,65499000
88,Other Investing Activites,- -,- -,- -,- -,-27500000,-51700000,-38200000,-53400000,45400000,- -,33200000,4400000,117000000,- -,50000000,-215018000,-62070000,1484000,-31393000,- -,-133091000,-153659000,-1710000,3314000,- -,4296000,-1640000,1459000,-1313000,-254995000,73000,-14244000,-6771000,-28061000,-3500000,1562000,557000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-157700000,-191000000,-162800000,-179500000,-45500000,- -,-78400000,-210300000,-276500000,- -,-321000000,-423528000,-297827000,-175683000,-156981000,- -,-306639000,-321270000,-581111000,-330099000,- -,-281127000,-260728000,-228043000,-25401000,229015000,-425570000,-311286000,-442019000,-230964000,-236735000,199371000,-494635000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1864000,- -,-550851000,-1285000,- -,-240121000,-1538000,-44815000,- -,-17220000,-422876000,-8887000,-97520000,-60208000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,- -,- -,7000000,7056000,4671000,6739000,5898000,- -,6832000,5905000,8449000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-107200000,-163300000,-7400000,-7500000,-23100000,- -,-89600000,-32300000,-368600000,- -,-20600000,-96000,-445000,-786000,-687000,- -,- -,-56559000,-42031000,-98960000,- -,-60956000,-248055000,-103196000,-4196000,-327718000,-33489000,-108948000,-50770000,-118030000,-2103000,-161829000,-55683000
93,Dividends Paid,- -,- -,- -,- -,-23500000,-48500000,-49900000,-49700000,-49400000,- -,-48900000,-51200000,-52600000,- -,-51400000,-52024000,-54166000,-54256000,-56289000,- -,-71979000,-75903000,-79024000,-82161000,- -,-81772000,-75493000,-147327000,-863000,-68114000,-53721000,-27325000,-28329000,-28617000,-29553000,-29970000,-30136000
94,Other Financing Activites,- -,- -,- -,- -,300000,-2700000,-74900000,-24900000,100000,- -,- -,-50100000,296400000,- -,157000000,44914000,10072000,-276189000,-71726000,- -,-50631000,-22186000,80849000,65330000,- -,400304000,137872000,128678000,1750000,8754000,474176000,93196000,-3787000,377164000,59277000,85317000,177054000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-130400000,-214500000,-132200000,-82100000,-72400000,- -,-138500000,-121700000,-124800000,- -,92000000,-150000,-39868000,-324492000,-122804000,- -,-115778000,-148743000,-31757000,-117655000,- -,-293275000,-186961000,-121845000,-243430000,-388616000,342151000,-43077000,-100106000,-192359000,18734000,-204002000,31027000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,737000,- -,-3894000,7550000,4999000,-18970000,- -,8573000,-2243000,4006000,-1745000,-8502000,-11164000,-11029000,10820000,-7147000,2766000,2978000,-3029000
97,Net Change In Cash,- -,- -,- -,- -,-130400000,-214500000,-132200000,-82100000,-72400000,- -,-138500000,-121700000,-124800000,- -,92000000,-55134000,11135000,-2709000,58666000,- -,96461000,132287000,-26682000,69043000,- -,87164000,-56641000,131332000,57288000,204267000,-19779000,-104136000,-263250000,-143451000,-50071000,209010000,-264211000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20345000,31480000,28771000,87437000,- -,215861000,348148000,321466000,390509000,- -,477673000,381099000,512431000,569719000,773986000,754207000,670816000,407566000,264115000,214044000,423054000,158843000
99,Cash at the Beginning of Period,- -,- -,- -,- -,302600000,315600000,171100000,106100000,86800000,- -,117300000,146900000,102300000,- -,21100000,75479000,20345000,31480000,28771000,- -,119400000,215861000,348148000,321466000,- -,390509000,437740000,381099000,512431000,569719000,773986000,774952000,670816000,407566000,264115000,214044000,423054000
100,Free Cash Flow,- -,- -,- -,- -,220300000,187700000,174200000,183300000,123500000,- -,124800000,207400000,105500000,- -,-21100000,196161000,124603000,344474000,212126000,- -,284423000,310728000,291180000,246844000,- -,395235000,176910000,259219000,103771000,135078000,-62055000,194644000,207697000,188827000,71660000,141072000,39889000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013301001017/0000950133-01-001017-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013302001185/0000950133-02-001185-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013303000792/0000950133-03-000792-index.html,https://www.sec.gov/Archives/edgar/data/104889/000095013304000785/0000950133-04-000785-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/104889/000095013307000873/w30536e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000095013308000866/w48813e10vk.htm,https://www.sec.gov/Archives/edgar/data/104889/000119312509038899/0001193125-09-038899-index.html,undefined,https://www.sec.gov/Archives/edgar/data/104889/000119312510045806/0001193125-10-045806-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488912000006/0000104889-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488913000009/0000104889-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488914000013/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488915000017/d10k.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488916000088/0000104889-16-000088-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488917000010/0000104889-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488918000011/0000104889-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488919000013/0000104889-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488920000007/0000104889-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/104889/000010488921000018/0000104889-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/104889/000010488922000011/0000104889-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
