,https://roic.ai/company/DG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
74,Depreciation and Amortization,- -,- -,- -,- -,-6000000,-6500000,-6700000,-8200000,-3500000,17263000,25245000,30965000,38734000,53112000,63944000,111399000,122967000,134959000,152399000,164478000,186824000,200608000,234130000,247899000,256771000,254927000,275408000,302911000,332837000,342353000,352431000,379931000,404231000,454134000,504804000,574237000,641316000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-400000,-1900000,-2300000,-100000,-1302000,-593000,10878000,14312000,11386000,17948000,-77942000,6777000,82867000,19850000,25751000,8244000,-38218000,-1323000,73434000,9470000,50985000,-22870000,-90357000,-67841000,-29881000,-1572000,12359000,-137648000,52325000,55407000,34976000,114359000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7578000,49260000,9958000,17295000,15956000,15250000,21664000,20961000,37338000,38547000,36967000,34323000,40879000,48589000,68609000,78178000
77,Change in Working Capital,- -,- -,- -,- -,14500000,16900000,8700000,28100000,34390000,61339000,17605000,78866000,65000000,200000000,-37000000,-165000000,237407000,248593000,-3000000,-76000000,81000000,-250000000,135000000,-157000000,365000000,-238000000,173000000,455636000,176501000,-133323000,-381848000,228008000,364189000,-1012855000,569128000,-878950000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,30600000,-14400000,-18000000,-44100000,62500000,-96069000,-132251000,12259000,-155851000,-179768000,-173993000,-59803000,-118788000,7992000,-34110000,-219396000,-97877000,-28057000,95893000,-173014000,-100248000,-251809000,-291492000,-391409000,-144943000,-233559000,-290001000,-171908000,-348363000,-521342000,-578783000,-575827000,-550114000
80,Accounts Payable,- -,- -,- -,- -,-11700000,9400000,6300000,26200000,-30900000,- -,- -,- -,- -,- -,- -,-47336000,25201000,18840000,42488000,22258000,87230000,53544000,-6601000,140356000,106049000,123424000,104442000,194035000,36942000,97166000,105637000,56477000,427911000,375214000,428627000,745596000,98735000
81,Other Working Capital,- -,- -,- -,- -,113100000,130000000,138700000,166800000,201190000,262529000,280134000,359000000,424000000,624000000,587000000,422000000,659407000,908000000,905000000,829000000,910000000,660000000,795000000,638000000,1003000000,765000000,938000000,1393636000,1570137000,1436814000,1054966000,1282974000,1647163000,634308000,1203436000,324486000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,12100000,-800000,-4300000,-10500000,-16790000,-107677000,-147844000,-65718000,-123927000,-227888000,-123535000,276048000,-309523000,-297325000,48305000,-68493000,-70583000,347389000,37483000,292887000,-318893000,112816000,-157308000,-511502000,-274509000,32912000,205350000,-303357000,-401947000,1019595000,-652485000,1422237000,-367274000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,32900000,23800000,17300000,42700000,62600000,43257000,-17769000,170091000,139119000,218610000,140357000,215505000,265628000,434040000,518554000,389736000,555485000,405357000,441550000,575178000,668643000,824684000,1050480000,1131352000,1213065000,1314744000,1377988000,1605041000,1802108000,2143550000,2237998000,3876159000,2865811000
84,CAPEX,- -,- -,- -,- -,-17000000,-8900000,-12800000,-24700000,-9800000,-65777000,-60521000,-84411000,-107700000,-140332000,-152738000,-216584000,-125365000,-134315000,-149362000,-292172000,-284112000,-261515000,-139794000,-205546000,-250747000,-420395000,-514861000,-571596000,-538444000,-373967000,-504806000,-560296000,-646456000,-734380000,-784843000,-1027963000,-1070460000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6738391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-221700000,-149770000,-75431000,-32127000,-9903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,247501000,166850000,51525000,30950000,61547000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33811000,222000,67221000,97612000,1293000,481000,-49313000,3324000,2629000,3457000,-35894000,1266000,2701000,1448000,1026000,1760000,288466000,2268000,1423000,9360000,1428000,2777000,2358000,3053000,4903000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-17000000,-8900000,-12800000,-24700000,-9800000,-65777000,-60521000,-84411000,-73889000,-140110000,-85517000,-118972000,-124072000,-133834000,-198675000,-263047000,-264403000,-281964000,-6915256000,-152636000,-248046000,-418947000,-513835000,-569836000,-249978000,-371699000,-503383000,-550936000,-645028000,-731603000,-782485000,-1024910000,-1065557000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89915000,-108957000,-229248000,-184774000,-296557000,-221047000,-332276000,-11823000,-397094000,-15907000,-207539000,-246510000,-2026818000,-1666045000,-146925000,-785260000,-131180000,-1885051000,-2663155000,-3423791000,-1101467000,-2285501000,-1838138000,-752676000,-577321000,-1465000,-729840000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,8907000,13486000,17729000,30847000,29011000,35786000,- -,- -,- -,- -,- -,- -,- -,2759540000,4228000,443753000,631000,177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200527000,- -,-59788000,-75123000,-73236000,-50753000,-65114000,-269000,- -,-29687000,-209295000,-297602000,-79947000,-541000,-498000,- -,-13723000,-185000000,-671459000,-620052000,-800095000,-1299613000,-990474000,-579712000,-1007494000,-1200376000,-2466434000,-2549669000
93,Dividends Paid,- -,- -,- -,- -,-3700000,-3700000,-4000000,-5500000,-2100000,-10640000,-13393000,-16856000,-22440000,-27611000,-34057000,-42237000,-42517000,-42638000,-46883000,-52682000,-56183000,-62472000,-15710000,- -,- -,- -,- -,- -,- -,- -,-258328000,-281135000,-282931000,-306523000,-327568000,-355926000,-392188000
94,Other Financing Activites,- -,- -,- -,- -,-11400000,-13800000,3600000,4500000,-48500000,312375000,158453000,204702000,186825000,305059000,251726000,450662000,12268000,-681000,49558000,229758000,276992000,2034523000,5656998000,-1561000,-235009000,13905000,1161909000,2787781000,3445513000,1032774000,2546961000,2085610000,537765000,447437000,78729000,1837208000,109855000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-15100000,-17500000,-400000,-1000000,-50600000,20200000,49589000,-83461000,-64665000,-63334000,-18345000,11035000,-42341000,-440413000,-42919000,-239758000,-323303000,-134714000,6734242000,-144756000,-576516000,-130367000,-907965000,-546833000,-598330000,-868788000,-1296481000,-1024137000,-1077554000,-1443901000,-1450680000,-1714992000,-2832002000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-15100000,-17500000,-400000,-1000000,-50600000,-2320000,-28701000,2219000,565000,15166000,36495000,107568000,99215000,-140207000,276960000,-113069000,-32221000,-11321000,260536000,277786000,-155919000,275370000,-371320000,14683000,364757000,74257000,-421876000,29968000,79526000,-31954000,4833000,1136257000,-1031748000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,33045000,4344000,6563000,7128000,22294000,58789000,162310000,261525000,121318000,398278000,232830000,200609000,189288000,449824000,377995000,222076000,497446000,126126000,140809000,505566000,579823000,157947000,187915000,267441000,235487000,240320000,1376577000,344829000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5700000,6500000,3900000,7900000,33200000,35365000,33045000,4344000,6563000,7128000,22294000,54742000,162310000,261525000,121318000,345899000,232830000,200609000,189288000,100209000,377995000,222076000,497446000,126126000,140809000,505566000,579823000,157947000,187915000,267441000,235487000,240320000,1376577000
100,Free Cash Flow,- -,- -,- -,- -,15900000,14900000,4500000,18000000,52800000,-22520000,-78290000,85680000,31419000,78278000,-12381000,-1079000,140263000,299725000,369192000,97564000,271373000,143842000,301756000,369632000,417896000,404289000,535619000,559756000,674621000,940777000,873182000,1044745000,1155652000,1409170000,1453155000,2848196000,1795351000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953495000015/0000029534-95-000015-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953496000021/0000029534-96-000021-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953497000011/0000029534-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/29534/000095014498004835/0000950144-98-004835-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431799000239/0000914317-99-000239-index.html,https://www.sec.gov/Archives/edgar/data/29534/000091431700000307/0000914317-00-000307-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000091431702000353/0000914317-02-000353-index.html,- -,https://www.sec.gov/Archives/edgar/data/29534/000002953404000034/form10k2003final.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953405000046/f0410kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953406000030/f200510kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953407000023/f200610kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000100579408000099/dollargeneral10k2008.htm,https://www.sec.gov/Archives/edgar/data/29534/000002953409000014/0000029534-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746910003012/0001047469-10-003012-index.html,https://www.sec.gov/Archives/edgar/data/29534/000002953411000004/f2010form10_kfinal.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746912003084/0001047469-12-003084-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746913003283/0001047469-13-003283-index.html,https://www.sec.gov/Archives/edgar/data/29534/000104746914002721/a2218572z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746915002540/a2223543z10-k.htm,https://www.sec.gov/Archives/edgar/data/29534/000104746916011420/0001047469-16-011420-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837017002116/0001558370-17-002116-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837018002366/0001558370-18-002366-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837019002383/0001558370-19-002383-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837020002915/0001558370-20-002915-index.html,https://www.sec.gov/Archives/edgar/data/29534/000155837021003245/0001558370-21-003245-index.htm,https://www.sec.gov/Archives/edgar/data/29534/000155837022003921/0001558370-22-003921-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
