,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,21175000,51067000,66719000,98194000,95814000,102536000,118700000,122000000,119900000,130700000,134200000,102600000,97200000,87700000,248800000,276600000,88000000
58,Total Non-Current Liabilities,- -,- -,- -,124500000,161900000,366500000,343800000,450467000,360408000,375752000,509599000,436463000,388258000,1315790000,1275665000,2110252000,1281086000,1330184000,1877500000,1712100000,2883200000,3045900000,2189200000,2576200000,2347400000,2666300000,2241700000,2371100000,2377300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5515000,4956000,4495000,4471000,3845000,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,205100000,221100000
61,Total Liabilities,- -,- -,- -,198600000,270700000,495600000,499700000,594204000,498410000,518676000,712423000,725243000,722077000,1866529000,1875529000,2760417000,1698655000,1838779000,2453900000,2290300000,3456600000,3708700000,3178900000,3232200000,3051100000,3365400000,2917000000,2984100000,3442300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,153100000,139231000,290798000,294503000,303587000,313953000,325010000,701690000,- -,- -,- -,- -,- -,722200000,818300000,819400000,533800000,590300000,594600000,136400000,122200000,100000,100000
64,Retained Earnings,- -,- -,- -,131500000,158400000,193900000,247200000,264116000,294091000,317189000,344962000,508147000,704530000,1046339000,1439598000,1900360000,2020343000,2188725000,2495600000,2837700000,3063000000,3328500000,3480000000,3663200000,4144100000,4637900000,5189500000,5193200000,6155300000
65,Other Comprehensive Income/Loss,- -,- -,- -,-56700000,-64900000,-81000000,-95800000,-112516000,-134451000,-165187000,-196847000,-230626000,-265877000,-2000000,20000000,-32000000,-2000000,10000000,-9000000,-2000000,-7000000,-49000000,-100000000,-105000000,-72000000,-103000000,-105000000,-77000000,-68900000
66,Other Total Stockholders Equity,- -,- -,- -,117800000,219700000,232900000,95800000,112208000,133445000,163349000,195917000,231078000,266202000,369000,646651000,563076000,588089000,625007000,657300000,500000,300000,100000,300000,300000,400000,300000,-100000,-900000,- -
67,Total Stockholders Equity,- -,- -,- -,192600000,313200000,345800000,400300000,403039000,583883000,609854000,647619000,822552000,1029865000,1746398000,2106249000,2431436000,2606432000,2823732000,3143900000,3558400000,3874600000,4099000000,3914100000,4148800000,4667100000,4671600000,5206600000,5115400000,6086500000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,391200000,583900000,841400000,900000000,997243000,1082293000,1128530000,1360042000,1547795000,1751942000,3612927000,3981778000,5191853000,4305087000,4662511000,5597800000,5848700000,7331200000,7807700000,7093000000,7381000000,7718200000,8037000000,8123600000,8099500000,9528800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,10717000,9382000,15536000,17128000,1246000,1699000,3632000,1690000,6382000,8100000,9000000,9800000,28900000,28600000,30300000,32800000,7900000,7500000,7300000,7200000
70,Total Liabilities & Equity,- -,- -,- -,391200000,583900000,841400000,900000000,997243000,1082293000,1139247000,1369424000,1563331000,1769070000,3614173000,3983477000,5195485000,4306777000,4668893000,5605900000,5857700000,7341000000,7836600000,7121600000,7411300000,7751000000,8044900000,8131100000,8106800000,9536000000
