,https://roic.ai/company/HELE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,24400000,17300000,13800000,-100000,3400000,1900000,17600000,11700000,28630000,-185000,52589000,43513000,76213000,45368000,34755000,90406000,109906000,21927000,152099000,87430000,103880000,87558000,154165000,178603000,185261000,228501000,224207000,195303000,271293000,314106000
84,CAPEX,- -,- -,- -,- -,- -,- -,-400000,-16200000,-1900000,-600000,-4600000,-13300000,-3300000,-17700000,-8340000,-3185000,-878000,-42865000,-65119000,-286263000,-52367000,-7395000,-7709000,-5859000,-7715000,-4629000,-16051000,-14688000,-40463000,-6521000,-20603000,-20619000,-13605000,-26385000,-17759000,-98668000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1798000,-2205000,- -,- -,- -,- -,- -,- -,-36500000,-4765000,-60000000,-336240000,-160000000,- -,- -,-195943000,-43150000,-209267000,- -,- -,-255861000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-148625000,-178275000,-786000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92875000,170200000,41175000,1246000,350000,22421000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1100000,4200000,1200000,-1800000,300000,-9800000,-2100000,-18700000,-4589000,-7904000,-4857000,-17664000,1659000,7149000,17103000,666000,4964000,-3246000,-7670000,-4551000,-14445000,-13925000,-40458000,-6521000,-20596000,-20587000,35634000,-25247000,-17756000,-98668000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-1500000,-11800000,-700000,-2400000,-4300000,-23100000,-5400000,-36400000,-14727000,-13294000,-5735000,-60529000,-63460000,-279114000,-35264000,-62479000,-47320000,32378000,-66433000,-340441000,-152024000,-13925000,-40458000,-202464000,-63746000,-229854000,35634000,-25247000,-273617000,-98668000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3157000,-78000000,-26000000,-1322750000,-326750000,-209300000,-528400000,-611900000,-604100000,-718200000,-637350000,-754400000,-930300000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,1300000,700000,1000000,200000,1400000,6700000,1100000,747000,224000,902000,560000,8026000,3122000,2194000,3986000,4854000,- -,- -,- -,- -,- -,- -,- -,- -,75000000,65795000,217493000,10169000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9300000,- -,- -,- -,- -,-4076000,-4623000,- -,- -,-15172000,-11242000,- -,- -,-5731000,-7271000,-419000,-1799000,- -,-1759000,-1311000,-273599000,-100000000,-75000000,-65795000,-217493000,-10169000,-203294000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-14300000,-2900000,-8200000,7500000,13000000,1500000,11000000,1700000,-10000000,9550000,-9400000,- -,- -,210571000,-5117000,-14778000,-39313000,947000,286000,197795000,1365547000,245872000,154089000,768128000,803890000,402740000,456010000,458427000,769320000,938809000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-14200000,-1600000,-7500000,-800000,13200000,2900000,17700000,2800000,-13329000,5151000,-8498000,560000,-7146000,202451000,-2923000,-10792000,-40190000,-9481000,-78133000,169996000,42797000,-82637000,-56522000,-33871000,91990000,-201360000,-262190000,-178923000,14920000,-194785000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-14200000,-1600000,-7500000,-800000,13200000,2900000,17700000,2800000,574000,-8328000,38356000,-16456000,5607000,-31296000,-3432000,17135000,22396000,44824000,7533000,-83015000,-5347000,-9004000,57185000,-57732000,213505000,-202713000,-2349000,-8867000,12596000,-194785000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34265000,25937000,64293000,47837000,53048000,21752000,18320000,35455000,57851000,102675000,110208000,27193000,21846000,12842000,70027000,12295000,225800000,23087000,20738000,11871000,24467000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,17100000,25800000,29700000,35200000,31900000,44200000,25800000,55700000,33691000,34265000,25937000,64293000,47441000,53048000,21752000,18320000,35455000,57851000,102675000,110208000,27193000,21846000,12842000,70027000,12295000,225800000,23087000,20738000,11871000,24467000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,24000000,1100000,11900000,-700000,-1200000,-11400000,14300000,-6000000,20290000,-3370000,51711000,648000,11094000,-240895000,-17612000,83011000,102197000,16068000,144384000,82801000,87829000,72870000,113702000,172082000,164658000,207882000,210602000,168918000,253534000,215438000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916789/000095013403008672/0000950134-03-008672-index.html,https://www.sec.gov/Archives/edgar/data/916789/000095013404007667/0000950134-04-007667-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013405010305/0000950134-05-010305-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013406010002/0000950134-06-010002-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000114420407025150/0001144204-07-025150-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465908032699/0001104659-08-032699-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465909032574/0001104659-09-032574-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465910028183/0001104659-10-028183-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465911029322/0001104659-11-029322-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465912030645/0001104659-12-030645-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465913034243/0001104659-13-034243-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465914031704/0001104659-14-031704-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837015000587/0001558370-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837016005055/0001558370-16-005055-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837017003176/0001558370-17-003176-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837018003549/0001558370-18-003549-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678919000008/0000916789-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678920000024/0000916789-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678921000034/0000916789-21-000034-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
