5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,272400000,396800000,551800000,863900000,975200000,914800000,883300000,961800000,930700000,945900000,946800000,967000000,976700000,1002400000,1159007000,1225290000,1215923000,1329886000,1549702000,1736692000,41118000,67827000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930694000,928333000,946769000,966982000,23976000,24817000,23421000,23254000,27231000,25923000,30672000,32966000,41118000,67827000
42,Investments,- -,- -,- -,- -,- -,5416000000,5712000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3484817000,25312517000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,174000000,179000000,139000000,145000000,160000000,235000000,220000000,228000000,442000000,174000000,18149563000,17364247000,17961528000,17724152000,18980858000,19661122000,19349927000,21110813000,21917284000,24894231000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18149563000,17364247000,17961528000,17724152000,18980858000,19661122000,19349927000,21110813000,21917284000,25055666000,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,7013000000,7796000000,9865000000,12673686000,15061470000,16462030000,17094043000,17984064000,16833286000,17986082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32762896000,38185283000
47,Total Assets,- -,- -,- -,- -,- -,7013000000,7796000000,9865000000,12683000000,15073000000,16475000000,17108000000,17999000000,16847000000,18001000000,18164928000,17380044000,17978104000,17740748000,18998293000,19678794000,19367410000,21129439000,21935717000,25076414000,32788357000,38185283000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294347000,449723000
49,Short-Term Debt,- -,- -,- -,- -,- -,235000000,105000000,70000000,70000000,- -,- -,- -,- -,- -,- -,50000000,- -,- -,- -,- -,- -,- -,- -,396954000,397074000,397194000,2345800000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43002000,- -,- -,- -,- -,31912000,- -,- -,- -,- -,- -,- -,8434000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1412778000,1322525000,1579945000,1728745000,1613390000,1577546000,2000556000,2517612000,3056735000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,4746000000,5522000000,6767000000,8789000000,10115000000,11340000000,11004000000,11136000000,10707000000,10882000000,11256000000,10591222000,10903475000,10772055000,10999595000,10690485000,11035386000,12588609000,13342016000,14103485000,-679171000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,4981000000,5627000000,6837000000,8859000000,10115000000,11340000000,11004000000,11136000000,10707000000,10882000000,11306000000,12004000000,12226000000,12352000000,12728340000,12303875000,12612932000,14589165000,16256582000,17557294000,12370000,2795523000
54,Long-Term Debt,- -,- -,- -,- -,- -,449000000,449000000,659000000,659000000,1245000000,995000000,996000000,1179000000,1179000000,1018000000,818000000,818000000,818000000,488000000,638364000,632958000,633176000,633395000,633613000,633832000,1513198000,742774000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332783000,262024000,146281000,232895000,153383000,152045000,143165000,97140000,169589000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-332783000,-262024000,-146281000,-232895000,-153383000,-152045000,-143165000,-97140000,-169589000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,449000000,449000000,659000000,659000000,1245000000,995000000,996000000,1179000000,1179000000,1018000000,818000000,818000000,818000000,488000000,638364000,632958000,633176000,633395000,633613000,633832000,1513198000,742774000
