,https://roic.ai/company/JBL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4427081000,-4440914000,-7586754000,-8748420000,-5586738000,-6400089000,-5988232000,-6445922000,-7479150000,-9206016000,-12013004000,-12544456000,-1613000000
91,Common Stock Issued,- -,- -,14100000,800000,700000,40100000,3600000,2800000,205300000,542816000,16642000,14681000,17111000,28891000,50262000,131643000,25112000,16475000,7420000,586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200251000,- -,- -,- -,-5505000,-209989000,-70991000,-129262000,-260274000,-85576000,-148340000,-306640000,-450319000,-350323000,-214510000,-428000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14855000,-57604000,-58634000,-59583000,-59869000,-60411000,-65240000,-67181000,-68211000,-63138000,-62436000,-59959000,-57833000,-52004000,-50462000,-50000000
94,Other Financing Activites,-6100000,-9100000,22700000,28200000,41500000,-45400000,-7400000,38500000,-47900000,-30239000,335145000,-8333000,295309000,-347331000,10678000,15557000,747632000,135296000,4283331000,4405422000,7589432000,9202009000,5760188000,6151755000,5974397000,6910210000,7441203000,9667124000,11999559000,12744305000,1678000000
95,Cash Used/Provided by Financing Activities,-6100000,-9100000,36800000,30100000,42200000,-5300000,-3800000,41300000,157400000,512577000,351787000,6348000,312420000,-318440000,60940000,-67906000,715140000,93137000,-195913000,-100280000,-267722000,317358000,-22993000,-576819000,-162549000,253512000,-404546000,-47044000,-415772000,-65123000,-413000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,593000,-5634000,12502000,14692000,45455000,-10984000,28128000,-18816000,10273000,-17069000,-22317000,6171000,-42572000,8358000,5228000,-20392000,554000,-40825000,4000000
97,Net Change In Cash,-6100000,-9100000,36800000,30100000,42200000,67800000,-27800000,-22400000,90500000,211653000,93050000,210083000,59013000,-78426000,174749000,-22508000,-109938000,109298000,103349000,-131943000,144282000,328645000,-205883000,-11124000,-86286000,-1904000,277860000,68030000,-94606000,230214000,173000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,73300000,45500000,23100000,113600000,337602000,430652000,640735000,699748000,621322000,796071000,773563000,663625000,772923000,876272000,744329000,888611000,1217256000,1011373000,1000249000,913963000,912059000,1189919000,1257949000,1163343000,1393557000,1567000000
99,Cash at the Beginning of Period,400000,500000,500000,1300000,1800000,5500000,73300000,45500000,23100000,125949000,337602000,430652000,640735000,699748000,621322000,796071000,773563000,663625000,772923000,876272000,744329000,888611000,1217256000,1011373000,1000249000,913963000,912059000,1189919000,1257949000,1163343000,1394000000
100,Free Cash Flow,6100000,8900000,-36900000,-29800000,-38800000,72800000,-24400000,-1400000,-42800000,35416000,182779000,468648000,146278000,233500000,333152000,168315000,-118301000,74363000,265071000,28985000,369020000,136529000,477031000,-125203000,277137000,-8032000,540158000,-102801000,187586000,274240000,274000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898293/000095014400014452/0000950144-00-014452-index.html,https://www.sec.gov/Archives/edgar/data/898293/000095014401509611/0000950144-01-509611-index.html,- -,https://www.sec.gov/Archives/edgar/data/898293/000095014403012684/0000950144-03-012684-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014404010550/0000950144-04-010550-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014405010851/0000950144-05-010851-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507115671/0001193125-07-115671-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507225859/0001193125-07-225859-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312508219096/0001193125-08-219096-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012309052410/0000950123-09-052410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012310094969/0000950123-10-094969-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312511284229/0001193125-11-284229-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312512435503/0001193125-12-435503-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312513413660/0001193125-13-413660-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/0001193125-14-377410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/0001193125-15-345706-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/0001193125-16-742815-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312517313834/0001193125-17-313834-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312518303041/0001193125-18-303041-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312519271646/0001193125-19-271646-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312520274411/0001193125-20-274411-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312521305429/0001193125-21-305429-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
