,https://roic.ai/company/BKTI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,-3200000,-2500000,-6000000,-3000000,-1900000,-700000,-1400000,-2700000,-1400000,-700000,-251000,-87000,-157000,-170000,-330000,-515000,-224000,-862000,-432000,-1884000,-1614000,-215000,-739000,-678000,-697000,-1089000,-1394000,-628000,-1396000,-2455000,-946000,40000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2016000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-400000,-3100000,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2761000,-481000,- -,-3741000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,400000,1000000,2300000,500000,- -,200000,- -,- -,- -,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2642000,8335000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,14000000,-2600000,1700000,2100000,-100000,6800000,1700000,7600000,500000,1000000,6654000,15000,-114000,7000,15000,- -,- -,- -,- -,-1527000,-1149000,- -,-364000,-340000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,10800000,-7200000,-4400000,-400000,-2000000,6300000,300000,4900000,-900000,1100000,4387000,-72000,-271000,-163000,-315000,-515000,-224000,-862000,-432000,-1884000,-1614000,-215000,-739000,-678000,-697000,-3850000,-1875000,2014000,3198000,-2455000,-946000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,- -,-3500000,- -,- -,- -,- -,- -,- -,- -,-19000,-2273000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,318000,3369000,72000,229000,123000,12000,- -,87000,- -,23000,52000,144000,92000,30000,183000,- -,2000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-700000,-300000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-162000,-648000,-3282000,-1041000,-269000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6698000,- -,- -,- -,- -,- -,- -,- -,- -,-2473000,-3026000,-1083000,-1018000,-1002000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-6300000,400000,2800000,4400000,-3100000,-5600000,-100000,-8500000,1100000,800000,-3753000,-93000,33000,-771000,-3522000,-700000,- -,- -,1500000,- -,2020000,1500000,- -,- -,- -,- -,- -,- -,- -,425000,2196000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-6200000,-300000,2500000,3800000,-3100000,-5500000,-100000,-8500000,1100000,800000,-3753000,-93000,33000,-453000,-153000,-628000,229000,-6575000,1512000,-1500000,2107000,-2000000,23000,52000,144000,92000,-2605000,-3491000,-4365000,-1651000,-1348000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-6200000,-300000,2500000,3800000,-3100000,-5500000,-100000,-8500000,1100000,800000,207000,127000,1296000,-338000,1847000,2143000,7983000,-4814000,-2977000,2185000,-2610000,-2357000,3888000,1364000,3418000,-6694000,6241000,-3763000,4121000,-6592000,2150000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,335000,1631000,1293000,3140000,5283000,13266000,8452000,5475000,7660000,5050000,2693000,6581000,7945000,11363000,4669000,10910000,7147000,11268000,4676000,6826000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,600000,6300000,1000000,600000,- -,200000,100000,600000,200000,500000,1000,208000,335000,1631000,1293000,3140000,5283000,13266000,8452000,5475000,7660000,5050000,2693000,6581000,7945000,11363000,4669000,10910000,7147000,11268000,4676000,6826000
100,Free Cash Flow,- -,- -,- -,- -,- -,-2100000,-200000,-4500000,-7000000,3400000,-1600000,-1200000,500000,-1400000,-3000000,-678000,205000,1377000,108000,1985000,2771000,7754000,1761000,-4489000,3685000,-4717000,-357000,3865000,1312000,3274000,-4025000,9327000,-2914000,3892000,-4941000,3498000,40000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2186/000111650206000549/0001116502-06-000549-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650207000444/0001116502-07-000444-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650208000360/0001116502-08-000360-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650209000348/0001116502-09-000348-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650210000192/0001116502-10-000192-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448811000702/0001354488-11-000702-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448812001013/0001354488-12-001013-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448813000998/0001354488-13-000998-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448814001005/0001354488-14-001005-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448815000960/0001354488-15-000960-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448816006435/0001354488-16-006435-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495417001579/0001654954-17-001579-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495418002205/0001654954-18-002205-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495419002033/0001654954-19-002033-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495420002248/0001654954-20-002248-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495421002287/0001654954-21-002287-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495422003300/0001654954-22-003300-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
