,https://roic.ai/company/COHU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,17000000,18500000,19100000,25300000,38100000,57300000,78000000,106200000,120100000,146100000,160583000,150804000,140539000,144721000,174493000,206295000,225500000,234400000,155600000,139600000,168700000,191945000,184700000,125800000,146339000,171272000,176460000,212171000,324650000,290811000,867000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,100000,1100000,-4100000,-12400000,-6900000,-14700000,-46900000,-6400000,-43700000,-24885000,750000,24715000,-5202000,-13651000,-34049000,-40716000,-1990000,-8144000,77995000,-1645000,-45259000,-12481000,26782000,50244000,-17559000,-19914000,-10692000,-5212000,-93144000,35699000,-61152000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-400000,6400000,4000000,3200000,33000000,30100000,5300000,35600000,-1200000,35679000,15914000,23339000,-8510000,4762000,28510000,12464000,33808000,7821000,2762000,19515000,12238000,13169000,3417000,19678000,21480000,24548000,39750000,34437000,17269000,49734000,97729000
84,CAPEX,- -,- -,- -,- -,- -,- -,-3200000,-1200000,-700000,-1000000,-5300000,-5100000,-4100000,-1700000,-2400000,-24397000,-20126000,-1682000,-1323000,-2701000,-6678000,-4680000,-2400000,-3870000,-2507000,-4579000,-1413000,-4167000,-3908000,-1660000,-6586000,-3452000,-6093000,-4967000,-18000000,-18660000,-12000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1461000,- -,-80823000,- -,- -,- -,- -,-53463000,10258000,4881000,- -,-11716000,-339115000,- -,2975000,120886000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-800000,- -,- -,- -,-28300000,-23800000,-21300000,-22400000,-10207000,-19889000,-71110000,-161899000,-140361000,-130092000,-110330000,-152603000,-122517000,-44562000,-52491000,-75128000,-40461000,- -,-1000000,-656000,-50568000,-37010000,-38700000,-315000,-19703000,-204699000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,38300000,22800000,9000000,22385000,9230000,21259000,135408000,183750000,86654000,87711000,182978000,156196000,56458000,46979000,75657000,84780000,6221000,1045000,155000,20230000,47671000,59469000,- -,- -,135549000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,- -,100000,-3600000,- -,-100000,-100000,100000,- -,-3000,2617000,-3946000,9013000,8488000,-4935000,2120000,-8326000,-102000,42000,314000,78000,114000,-176000,-6000,33240000,874000,104000,1005000,1767000,17025000,157000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-2700000,-2000000,-600000,-4600000,-5300000,-33500000,10300000,-100000,-15800000,-12222000,-28168000,-55479000,-18801000,49176000,-55051000,-26640000,19649000,-51116000,9431000,-9777000,-806000,41166000,-51326000,8637000,31034000,-32916000,-7044000,-322308000,-16548000,-18363000,39893000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1631000,-2323000,-3817000,-41056000,-206069000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,800000,1000000,1700000,2300000,2100000,3756000,2736000,3482000,5982000,2831000,10274000,4659000,3901000,2399000,709000,3617000,1911000,1570000,1316000,1891000,1233000,- -,10353000,- -,- -,2077000,223119000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8978000,- -,- -,-7324000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-600000,-700000,-800000,-1000000,-1400000,-1900000,-2300000,-3100000,-3600000,-4048000,-4091000,-4156000,-4240000,-4305000,-4577000,-5407000,-5478000,-5554000,-5610000,-5679000,-5777000,-7333000,-4468000,-6067000,-6215000,-6351000,-6577000,-6949000,-9827000,-4971000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,3500000,-3400000,- -,1400000,-1400000,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,1210000,481000,87000,- -,234000,2000,- -,- -,- -,- -,-356000,- -,340355000,5461000,5878000,-3014000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,2900000,-4100000,-700000,600000,-2000000,-900000,-600000,-800000,-1400000,-292000,-1355000,-674000,1742000,-1474000,5697000,462000,-1096000,-3068000,-4901000,-1828000,-3864000,-5763000,-3152000,-4176000,-4982000,-6707000,2145000,322105000,-8183000,-38072000,6712000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,-746000,761000,-236000,-227000,974000,-79000,-4922000,-3047000,-4250000,3390000,-3599000,-1529000,129000,-3491000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,2900000,-4100000,-700000,600000,-2000000,-900000,-600000,-800000,-18400000,23165000,-13609000,-32814000,-25569000,52464000,-20844000,-13714000,52452000,-47087000,8053000,7674000,7341000,49546000,-51140000,19217000,44485000,-19325000,38241000,30635000,-8991000,-6572000,140843000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,79119000,65510000,32696000,7127000,59591000,38747000,24829000,77281000,30194000,38247000,45921000,53262000,102808000,51668000,70885000,115370000,96045000,134286000,164921000,155930000,149358000,290201000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,500000,200000,1200000,3900000,3100000,28900000,24700000,39700000,74400000,55954000,79119000,65510000,32696000,7127000,59591000,38543000,24829000,77281000,30194000,38247000,45921000,53262000,102808000,51668000,70885000,115370000,96045000,134286000,164921000,155930000,149358000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-3600000,5200000,3300000,2200000,27700000,25000000,1200000,33900000,-3600000,11282000,-4212000,21657000,-9833000,2061000,21832000,7784000,31408000,3951000,255000,14936000,10825000,9002000,-491000,18018000,14894000,21096000,33657000,29470000,-731000,31074000,85729000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21535/000093639202000182/a79538e10-k405.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639203000213/a88177ore10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013704001367/a96647e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013405003440/a05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639206000155/a17749e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639207000123/a27406e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639208000126/a38169e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639209000087/0000936392-09-000087-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012310015804/0000950123-10-015804-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012311017227/a58777e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312512088296/0001193125-12-088296-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312513084654/0001193125-13-084654-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312514082872/d652591d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312515059529/d838579d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774916025855/0001437749-16-025855-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774917003675/0001437749-17-003675-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774918003809/0001437749-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774919004933/0001437749-19-004933-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774920004691/0001437749-20-004691-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774921004277/0001437749-21-004277-index.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774922003768/0001437749-22-003768-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
