,https://roic.ai/company/PPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,-100000000,-89000000,7000000,-165000000,-83000000,47000000,-15000000,-33000000,28000000,4000000,-82000000,-14000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43300000,-14000000,11000000,-9000000,- -,- -,- -,- -,- -,-52000000,-38000000,-31000000,25000000,-35000000,-21000000,- -,- -,- -,- -,-134000000,- -,- -,40000000,17000000,-26000000,-17000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000000,216000000,-36000000,-29000000,25000000,-4000000,-116000000,57000000,-10000000,78000000,-77000000,10000000,24000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,-74000000,-319000000,-987000000,-566000000,500000000,-776000000,266000000,9000000,-430000000,282000000,286000000,90000000,570000000,974000000,1171000000,-557000000,241000000,-1284000000,-1230000000,-1770000000,-1729000000,-2131000000,-2133000000,-3209000000,-458000000,-15000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,317800000,638000000,684000000,1837000000,-192000000,-666000000,2000000000,-606000000,738000000,1023000000,64000000,914000000,419000000,118000000,466000000,-123000000,943000000,-1270000000,1797000000,-557000000,1103000000,-619000000,-115000000,-557000000,132000000,-3264000000,2520000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692300000,793000000,777000000,637000000,644000000,865000000,908000000,796000000,1340000000,1437000000,1388000000,1758000000,1571000000,1589000000,1852000000,2033000000,2507000000,2764000000,2857000000,3403000000,2615000000,2890000000,2461000000,2821000000,2427000000,2746000000,2270000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402800000,-360000000,-310000000,-304000000,-318000000,-460000000,-565000000,-648000000,-771000000,-734000000,-811000000,-1394000000,-1685000000,-1750000000,-1313000000,-1689000000,-2487000000,-3105000000,-4307000000,-4185000000,-3570000000,-2957000000,-3171000000,-3238000000,-3083000000,-3249000000,-1973000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211000000,- -,- -,- -,110000000,898000000,- -,81000000,-6650000000,-5763000000,-84000000,- -,900000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303000000,-600000000,-72000000,-15000000,- -,-11000000,-312000000,- -,- -,-130000000,-355000000,-923000000,-601000000,- -,- -,-128000000,-169000000,-154000000,-159000000,-290000000,- -,- -,- -,-65000000,-55000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300300000,631000000,187000000,70000000,- -,- -,- -,- -,- -,74000000,341000000,611000000,860000000,- -,154000000,114000000,319000000,159000000,144000000,154000000,136000000,2000000,- -,- -,69000000,9000000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,-103000000,-96000000,-236000000,-861000000,-280000000,175000000,-270000000,42000000,72000000,46000000,-21000000,-86000000,123000000,110000000,32000000,148000000,61000000,-68000000,-3000000,-191000000,- -,-23000000,-58000000,-11000000,-18000000,7957000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-313500000,-432000000,-291000000,-485000000,-1179000000,-751000000,-702000000,-1129000000,-729000000,-718000000,-779000000,-1617000000,-614000000,-1627000000,-880000000,-8229000000,-7952000000,-3123000000,-4295000000,-3329000000,-3588000000,-2918000000,-3156000000,-3361000000,-3080000000,-3258000000,7957000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1068000000,-20000000,-1210000000,-108000000,-747000000,-546000000,-1000000000,-930000000,-168000000,-277000000,-300000000,-1172000000,-5705000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70200000,77000000,76000000,62000000,8000000,35000000,56000000,592000000,426000000,596000000,37000000,266000000,32000000,19000000,60000000,2441000000,2297000000,72000000,1411000000,1074000000,203000000,144000000,453000000,698000000,1167000000,34000000,9000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369000000,-419000000,-416000000,- -,- -,-250000000,-31000000,- -,- -,- -,-712000000,-38000000,- -,-54000000,- -,-250000000,-74000000,- -,- -,- -,- -,- -,- -,- -,-1003000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-289700000,-296000000,-298000000,-278000000,-180000000,-177000000,-201000000,-261000000,-287000000,-299000000,-347000000,-409000000,-459000000,-491000000,-517000000,-566000000,-746000000,-833000000,-878000000,-967000000,-1004000000,-1030000000,-1072000000,-1133000000,-1192000000,-1275000000,-1279000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149500000,-61000000,54000000,628000000,1061000000,375000000,412000000,-438000000,-495000000,-875000000,-366000000,238000000,-187000000,1231000000,254000000,4506000000,5426000000,1167000000,1919000000,1022000000,1869000000,1377000000,1611000000,1402000000,1161000000,2799000000,588000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369000000,-280000000,-537000000,-7000000,473000000,233000000,267000000,-357000000,-387000000,-578000000,-676000000,95000000,-1326000000,721000000,-1271000000,6307000000,5767000000,48000000,1631000000,583000000,68000000,-439000000,824000000,690000000,836000000,386000000,-7390000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,2000000,7000000,9000000,6000000,3000000,5000000,-13000000,- -,13000000,-45000000,10000000,8000000,-8000000,-10000000,-28000000,15000000,-18000000,10000000,17000000,8000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,81000000,-51000000,145000000,-62000000,347000000,470000000,-688000000,231000000,150000000,-61000000,239000000,-364000000,670000000,-299000000,124000000,277000000,-301000000,201000000,649000000,-563000000,-495000000,144000000,132000000,193000000,-109000000,3129000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,101000000,50000000,195000000,133000000,480000000,950000000,245000000,476000000,616000000,555000000,794000000,430000000,1100000000,801000000,925000000,1202000000,901000000,1102000000,1751000000,836000000,341000000,485000000,643000000,836000000,727000000,3572000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,20000000,101000000,50000000,195000000,133000000,480000000,933000000,245000000,466000000,616000000,555000000,794000000,430000000,1100000000,801000000,925000000,1202000000,901000000,1102000000,1399000000,836000000,341000000,511000000,643000000,836000000,443000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289500000,433000000,467000000,333000000,326000000,405000000,343000000,148000000,569000000,703000000,577000000,364000000,-114000000,-161000000,539000000,344000000,20000000,-341000000,-1450000000,-782000000,-955000000,-67000000,-710000000,-417000000,-656000000,-503000000,297000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922224/000092222402000003/ppl10k_2001.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222403000007/0000922224-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/60549/000110465904008852/0001104659-04-008852-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222405000010/ppl10k_2004.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222406000018/ppl10-k2005.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222407000030/ppl10-k2006.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222408000013/ppl10k2007.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222409000020/0000922224-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1161976/000092222410000012/0000922224-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222411000029/form10k.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222412000023/0000922224-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222413000025/0000922224-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222414000024/form10k.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222415000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/317187/000092222416000130/0000922224-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/317187/000092222417000010/0000922224-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222418000023/0000922224-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222419000015/0000922224-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222420000005/0000922224-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222421000006/0000922224-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222422000005/0000922224-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
