,https://roic.ai/company/KOPN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-500000,-700000,-800000,2400000,2400000,-600000,-300000,2200000,-1500000,-2459473,-2250000,- -,- -,- -,- -,-360023,- -,-215506,-862748,-456580,-957122,-628634,-3662400,137813,86047,- -,-791737,-636978,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-500000,15900000,30200000,2600000,28800000,1300000,1500000,21100000,75800000,4198299,40660842,1115307,1477328,-381673,-5446269,-6773476,-1102,-215506,-6162199,-7185087,-5371748,-4084163,-12846700,-1136675,-986338,-510596,23101190,-844993,7993016,3689536,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,100000,- -,-196770,-82418,311845,19805,1181813,276019,1115245,44347,-1539631,159963,456908,-217970,266758,-93300,-34454,-264383,-93479,560513,-268223,-6184,12802,- -
97,Net Change In Cash,-500000,15900000,30200000,2600000,28800000,-8200000,1500000,21100000,35200000,-52648875,61092880,-39128214,-6153061,-11328083,13686150,-3594989,2840404,27201389,-3116705,-4998197,-6739384,-15959776,-10378721,-2120865,5132088,-3945394,9025732,-10521880,-8297100,11083622,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,16500000,- -,- -,66000000,13332973,74425853,35297639,29144578,17816495,31502645,27907656,30748060,57949449,54832744,49834547,43095163,27135387,16756666,14635801,19767889,15822495,24848227,14326347,6029247,17112869,- -
99,Cash at the Beginning of Period,5600000,3400000,4700000,5900000,1900000,24700000,16500000,14400000,30800000,65981848,13332973,74425853,35297639,29144578,17816495,31502645,27907656,30748060,57949449,54832744,49834547,43095163,27135387,16756666,14635801,19767889,15822495,24848227,14326347,6029247,17112869
100,Free Cash Flow,-2300000,-2800000,-7400000,-8700000,-15200000,-16600000,-9100000,-600000,-15400000,-20576521,-9479462,6978862,1156317,-6978876,11316596,-6978428,-11768051,8336853,19672529,-1916482,12119730,-6043766,-19641948,-21094982,-18042357,-26569592,-28707165,-29349040,-21197040,-4960019,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771266/000092701602001521/0000927016-02-001521-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000092701603001089/0000927016-03-001089-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312504042215/0001193125-04-042215-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312505060861/0001193125-05-060861-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312506059889/0001193125-06-059889-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508059105/0001193125-08-059105-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508071379/0001193125-08-071379-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312509049876/0001193125-09-049876-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312510050370/0001193125-10-050370-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312511062417/0001193125-11-062417-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312512117581/0001193125-12-117581-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126613000006/0000771266-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126614000007/0000771266-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126615000006/0000771266-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126616000071/0000771266-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126617000016/0000771266-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126618000012/0000771266-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126619000020/0000771266-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126620000008/0000771266-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315221005466/0001493152-21-005466-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315222006784/0001493152-22-006784-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
