,https://roic.ai/company/OSG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30324000,33453000,46451000,19901000,-16794000,-753000,6531000,2549000,-3876000,-384000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,99400000,99600000,- -,80300000,93000000,91400000,101200000,99500000,89500000,152000000,102300000,99400000,42800000,75800000,88207000,61090000,77140000,43215000,444874000,252680000,617945000,591452000,483351000,634273000,421092000,202046000,316455000,439473000,598382000,469646000,180788000,144764000,54462000,-104035000,-92948000,-42398000,-3101000
82,Other Non-Cash Items,-74300000,-83400000,- -,-76000000,-38400000,-26400000,-24400000,-58100000,-2800000,-108300000,24500000,-21100000,9000000,22900000,-41407000,-855000,-17774000,-3207000,-394241000,63542000,-521137000,-28720000,-72700000,-277611000,170816000,153141000,-167677000,144754000,452470000,-516475000,211309000,628888000,75929000,154760000,517000,-95030000,86215000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,88000000,98100000,109600000,10000000,69100000,9900000,27000000,50200000,59900000,56300000,37000000,100292000,181716000,13173000,223200000,372122000,452046000,445975000,167624000,366677000,218121000,-27714000,-61061000,-32899000,141896000,-727149000,299072000,328860000,43619000,45255000,73449000,52668000,-11832000
84,CAPEX,- -,- -,- -,- -,-85800000,-5900000,-59400000,-81200000,-163500000,-146100000,-196100000,-151200000,-91400000,-19100000,-177300000,-106858000,-112012000,-152640000,-87007000,-59439000,-17423000,-67384000,-560942000,-619080000,-619785000,-424019000,-194246000,-55466000,-38558000,-32901000,-1092000,-666000,-11000,-22193000,-133314000,-62586000,-7793000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10362000,-2292000,-811480000,-444550000,-38471000,- -,- -,-101081000,- -,- -,- -,- -,-153000,- -,- -,- -,- -,-16973000,- -
86,Purchases of Investments,- -,- -,- -,- -,-193000000,-93900000,-61900000,-54900000,-42500000,-35500000,-13500000,-4700000,-118100000,-2600000,-23300000,-38968000,-116969000,- -,- -,-669000,-847000,-660000,-31083000,-52983000,-157690000,-146952000,-15358000,- -,- -,- -,-153000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,165800000,139900000,4100000,107900000,44500000,25400000,34300000,11600000,107200000,31300000,6900000,15148000,96402000,40326000,34674000,10042000,23271000,2292000,196493000,112908000,159000,50253000,23538000,13000000,459000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,3900000,30600000,70300000,-201700000,42100000,41900000,39200000,54400000,127300000,242300000,236800000,9594000,-43147000,-1997000,122583000,-114114000,851738000,253600000,399108000,-136947000,-215235000,182138000,31893000,20057000,3561000,-14437000,157934000,-5261000,16624000,2367000,3404000,1407000,32128000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-109100000,70700000,-46900000,-229900000,-119400000,-114300000,-136100000,-89900000,25000000,251900000,43100000,-121084000,-175726000,-114311000,59888000,-166472000,45259000,-256702000,-34895000,-77022000,-372766000,-439661000,-154173000,-22409000,-34538000,-47338000,156536000,-5927000,16613000,-19826000,-129910000,-78152000,24335000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-220165000,-135136000,-510409000,-104774000,-63990000,-12731000,-2124716000,-338365000,-174569000,-84170000,-455289000,-30033000,-90126000,-314997000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,- -,- -,8400000,- -,- -,4795000,4547000,2627000,20259000,119229000,218000,242000,129822000,970000,580000,159320000,638000,- -,- -,1510000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3200000,-38200000,-2400000,-5000000,-200000,- -,- -,- -,- -,- -,-39200000,- -,- -,- -,- -,- -,- -,-18525000,-551001000,-258747000,-1514000,-1718000,-920000,-307000,-42000,-162000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-17900000,-17200000,-18200000,-19700000,-19600000,-21200000,-21700000,-21700000,-21900000,-22100000,-21400000,-20316000,-20512000,-20636000,-22686000,-27532000,-27615000,-36576000,-38038000,-44856000,-55008000,-51884000,-46875000,- -,- -,- -,- -,-31910000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-1800000,-81800000,-25900000,216300000,94500000,39500000,191300000,10000000,-67300000,-348200000,-13800000,-4633000,24450000,125835000,-243602000,107831000,-760501000,283756000,222150000,74332000,476804000,651025000,168393000,572070000,- -,1176664000,-3633000,-119343000,-1157000,344232000,47530000,143752000,315928000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-22900000,-137200000,-46500000,191600000,74700000,94300000,169600000,-11700000,-80800000,-370300000,-74400000,-20154000,8485000,107826000,-246029000,199528000,-787898000,228897000,-237067000,-448466000,285726000,246334000,16462000,507773000,-12773000,561786000,-341998000,-325822000,-85327000,-111057000,17497000,53626000,931000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-22900000,-137200000,-46500000,-28300000,74700000,-10200000,169600000,-11700000,-80800000,-62200000,5700000,-40946000,14475000,6688000,37059000,405178000,-290593000,418170000,-104338000,-158811000,131081000,-221041000,-198772000,452465000,94585000,-212701000,113610000,-2889000,-25095000,-85628000,-38964000,28142000,13434000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,85700000,- -,100000000,- -,- -,- -,51000000,56700000,15781000,30256000,36944000,74003000,479181000,188588000,606758000,502420000,343609000,474690000,253649000,54877000,507342000,601927000,389226000,502836000,191089000,165994000,80641000,41677000,69819000,83253000
99,Cash at the Beginning of Period,- -,- -,- -,- -,110300000,66200000,97800000,114000000,85700000,110200000,100000000,160600000,109100000,113200000,51000000,56727000,15781000,30256000,36944000,74003000,479181000,188588000,606758000,502420000,343609000,474690000,253649000,54877000,507342000,601927000,389226000,193978000,191089000,166269000,80641000,41677000,69819000
100,Free Cash Flow,- -,- -,- -,- -,2200000,92200000,50200000,-71200000,-94400000,-136200000,-169100000,-101000000,-31500000,37200000,-140300000,-6566000,69704000,-139467000,136193000,312683000,434623000,378591000,-393318000,-252403000,-401664000,-451733000,-255307000,-88365000,103338000,-760050000,297980000,328194000,43608000,23062000,-59865000,-9918000,-19625000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000100547701002119/0001005477-01-002119-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000104746905004917/0001047469-05-004917-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000110465906013267/0001104659-06-013267-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746907001515/0001047469-07-001515-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746908002019/0001047469-08-002019-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746909002054/0001047469-09-002054-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420410010646/0001144204-10-010646-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420411011868/0001144204-11-011868-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420412011875/0001144204-12-011875-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420413047751/0001144204-13-047751-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420414015316/0001144204-14-015316-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420415016383/0001144204-15-016383-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420416085131/0001144204-16-085131-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420417013619/0001144204-17-013619-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520818000021/0000075208-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520819000020/0000075208-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315220003938/0001493152-20-003938-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315221007754/0001493152-21-007754-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315222006400/0001493152-22-006400-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
