,https://roic.ai/company/CBRL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,200000,20700000,-49500000,19500000,-36600000,9400000,16700000,31100000,-50900000,-2900000,79600000,52885000,51353000,54720000,39456000,-21187000,138300000,-45786000,-94649000,-28844000,54503000,59152000,-71572000,-1565000,39340000,-29888000,54974000,14944000,27985000,23227000,115904000,-273137000,-156977000
83,Cash Provided by Operating Activities,- -,- -,- -,17300000,24900000,38900000,48000000,68600000,72300000,92400000,103700000,124200000,150800000,140900000,160247000,147762000,191424000,240586000,200365000,279903000,214846000,63054000,124895000,164124000,212106000,138212000,219822000,208499000,177625000,334055000,271378000,320767000,330620000,362796000,161002000,301903000
84,CAPEX,- -,- -,- -,-25900000,-38400000,-64000000,-71500000,-85000000,-101900000,-121100000,-137600000,-148600000,-182500000,-347100000,-138032000,-91439000,-96692000,-120921000,-144611000,-171447000,-146291000,-96538000,-88027000,-68104000,-70132000,-77962000,-80922000,-74417000,-91646000,-90855000,-114022000,-110591000,-152249000,-138293000,-297328000,-71409000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265986000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89100000,-32971000,-1500000
86,Purchases of Investments,- -,- -,- -,-18800000,- -,-55600000,- -,-54900000,- -,-7200000,-4000000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,15700000,- -,9700000,- -,11300000,39000000,13900000,4200000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,400000,400000,900000,400000,100000,1200000,1100000,2400000,3300000,3100000,3400000,17333000,141283000,5813000,1968000,945000,1381000,9219000,196225000,5321000,59017000,506000,8473000,1375000,1011000,2831000,2241000,1507000,986000,1027000,-14181000,173073000,151239000
89,Cash Used for Investing Activites,- -,- -,- -,-44300000,-22300000,-118700000,-61400000,-139800000,-89400000,-88200000,-125300000,-141700000,-177700000,-343700000,-120699000,49844000,-90879000,-118953000,-143666000,-170066000,-137072000,365673000,-82706000,-9087000,-69626000,-69489000,-79547000,-73406000,-88815000,-88614000,-112515000,-109605000,-151222000,-241574000,-157226000,78330000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-762530000,-414572000,-717263000,-117733000,-125153000,-1000,-406250000,- -,- -,- -,-400000000,-252000000,-924572000
91,Common Stock Issued,- -,- -,- -,23000000,700000,58400000,8600000,100100000,6300000,1400000,7900000,9100000,29600000,1900000,530000,5155000,53103000,59649000,50210000,39341000,27283000,33179000,306000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83500000,-21104000,-36444000,-216834000,-166632000,-69206000,-159328000,-704160000,-405531000,-52380000,- -,-62487000,-33563000,-14923000,-3570000,-12473000,- -,-14653000,- -,-14772000,- -,-55007000,-35000000
93,Dividends Paid,- -,- -,- -,-600000,-700000,-800000,-900000,-1100000,-1200000,-1200000,-1200000,-1500000,-1300000,-1000000,-637000,-1185000,-1163000,-1043000,-16191000,-22764000,-24019000,-15610000,-15743000,-17607000,-18545000,-19846000,-22372000,-45400000,-71484000,-95699000,-255546000,-196867000,-207155000,-193475000,-94544000,-31667000
94,Other Financing Activites,- -,- -,- -,4100000,-1300000,28700000,-1400000,-2200000,-13500000,-3600000,-4200000,45900000,-3800000,241100000,-22734000,-167190000,67616000,-14292000,-7126000,21312000,695511000,-114347000,23358000,624731000,389215000,706523000,114441000,8786000,-7209000,402602000,-3153000,-4260000,-3816000,394481000,797887000,318603000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,26500000,-1300000,86300000,6300000,96800000,-8400000,-3400000,2500000,53500000,24500000,158500000,-43945000,-199664000,-97278000,-122318000,-42313000,-121439000,-5385000,-502309000,-44459000,-155406000,-106389000,-64149000,-40587000,-165337000,-91167000,-99347000,-273352000,-201127000,-225743000,-198994000,396336000,-672636000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,26500000,-1300000,86300000,6300000,96800000,-8400000,-3400000,2500000,53500000,24500000,-44300000,-4397000,-2058000,3267000,-685000,14386000,-11602000,72389000,-73582000,-2270000,-369000,36091000,4574000,99688000,-30244000,-2357000,146094000,-114489000,10035000,-46345000,-77772000,400112000,-292403000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18300000,13865000,11807000,15074000,14389000,28775000,17173000,89562000,14248000,11978000,11609000,47700000,52274000,151962000,121718000,119361000,265455000,150966000,161001000,114656000,36884000,436996000,144593000
99,Cash at the Beginning of Period,- -,- -,- -,1600000,1100000,2300000,8700000,13000000,38600000,47300000,48100000,29000000,64900000,62600000,18262000,13865000,11807000,15074000,14389000,28775000,17173000,87830000,14248000,11978000,11609000,47700000,52274000,151962000,121718000,119361000,265455000,150966000,161001000,114656000,36884000,436996000
100,Free Cash Flow,- -,- -,- -,-8600000,-13500000,-25100000,-23500000,-16400000,-29600000,-28700000,-33900000,-24400000,-31700000,-206200000,22215000,56323000,94732000,119665000,55754000,108456000,68555000,-33484000,36868000,96020000,141974000,60250000,138900000,134082000,85979000,243200000,157356000,210176000,178371000,224503000,-136326000,230494000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000106729402000012/0001067294-02-000012-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729403000048/0001067294-03-000048-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729404000031/0001067294-04-000031-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000100579407000490/0001005794-07-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579408000313/0001005794-08-000313-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579409000182/0001005794-09-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579410000170/0001005794-10-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036111046998/0001140361-11-046998-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036112041343/0001140361-12-041343-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036113037045/0001140361-13-037045-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036114036434/0001140361-14-036434-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036115036053/0001140361-15-036053-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036116080733/0001140361-16-080733-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036117036195/0001140361-17-036195-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036118039529/0001140361-18-039529-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036119017413/0001140361-19-017413-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036120021571/0001140361-20-021571-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036121032472/0001140361-21-032472-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
