,https://roic.ai/company/VFC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,31200000,105400000,34900000,-222200000,-78400000,-592500000,-162100000,- -,111000000,52400000,-96700000,-330108000,265743000,- -,637061000,31900000,-285286000,-495056000,95701000,- -,-244424000,356321000,123763000,-317061000,-628980000,- -,97497000,-160176000,178679000,-504121000,-406189000,-57526000,33003000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,172800000,284400000,287200000,123100000,293800000,479400000,323700000,- -,711500000,454700000,432700000,443314000,685715000,- -,645584000,726936000,561346000,490753000,820576000,- -,678401000,973485000,1081371000,1275000000,1506041000,- -,1697629000,1477919000,1474660000,-243223000,1664223000,874527000,1313225000
84,CAPEX,- -,- -,- -,- -,-125300000,-123800000,-171600000,-341100000,-227100000,-627700000,-167200000,- -,-163000000,-170300000,-489000000,-125224000,-81603000,- -,-64503000,-81410000,-110307000,-136134000,-120230000,- -,-134808000,-95594000,-249128000,-282830000,-325142000,- -,-302020000,-220066000,-234730000,-73663000,-306841000,-333836000,-274200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-308062000,-5057000,- -,-1342000,-655089000,-211838000,-65092000,-699554000,- -,-92840000,-211759000,-2207065000,70769000,- -,- -,- -,115983000,-525573000,- -,109881000,- -,-2009151000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000
88,Other Investing Activites,- -,- -,- -,- -,-22500000,19700000,10500000,8600000,107800000,1100000,4200000,- -,36900000,-13500000,-16900000,-9953000,-7456000,- -,21265000,4296000,7602000,4021000,13722000,- -,11862000,-105117000,-232866000,-291060000,-350273000,- -,-329255000,-228397000,-250678000,-55990000,-330513000,-302047000,-286467000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-147800000,-104100000,-161100000,-332500000,-119300000,-626600000,-163000000,- -,-126100000,-183800000,-505900000,-443239000,-94116000,- -,-44580000,-732203000,-314543000,-197205000,-806062000,- -,-215786000,-316876000,-2460033000,-220291000,-350273000,- -,-329255000,-112414000,-776251000,-55990000,-220632000,-302047000,-2895618000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14261000,248086000,-2776000,-404872000,- -,-4760000,-13276000,-254314000,-1484000,-6264000,-649054000,-1664000
91,Common Stock Issued,- -,- -,- -,- -,2600000,- -,- -,- -,232100000,- -,- -,- -,67800000,65000000,45700000,1317000,44632000,- -,39753000,106613000,99974000,119675000,69539000,- -,64972000,62590000,134012000,62770000,48029000,- -,34869000,48918000,89893000,44017000,199296000,155390000,54438000
92,Common Stock Repurchased,- -,- -,- -,- -,-395200000,-30000000,- -,-69600000,- -,-27900000,-86300000,- -,-61500000,-391700000,-147400000,-105723000,-146592000,- -,-124623000,- -,-229003000,-118582000,-350000000,- -,-149729000,-111974000,-7420000,-307282000,-282024000,- -,-727795000,-1000468000,-1200356000,-250282000,-150676000,-1000007000,- -
93,Dividends Paid,- -,- -,- -,- -,-57300000,-61100000,-62700000,- -,-82800000,-88200000,-92000000,- -,-97000000,-100100000,-101700000,-104920000,-106864000,- -,-108773000,-117731000,-124116000,-216529000,-246634000,- -,-255235000,-261682000,-285722000,-333229000,-402136000,- -,-478933000,-635994000,-684679000,-181373000,-767061000,-748663000,-756784000
94,Other Financing Activites,- -,- -,- -,- -,374400000,-63400000,36900000,203100000,-258500000,171500000,41900000,- -,-308100000,9400000,215700000,250579000,-168959000,- -,-326440000,-23280000,-170348000,-39531000,476443000,- -,-49769000,5984000,823289000,-221998000,57172000,- -,69198000,523941000,686453000,795908000,-866300000,2552066000,1756888000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-75500000,-154500000,-25800000,133500000,-109200000,55400000,-136400000,- -,-398800000,-417400000,12300000,41253000,-377783000,- -,-520083000,-34398000,-423493000,-254967000,-50652000,- -,-389761000,-319343000,912245000,-802515000,-983831000,- -,-1107421000,-1076879000,-1363003000,406786000,-1591005000,309732000,1052878000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2298000,-658000,- -,13498000,10387000,-12260000,8086000,14777000,- -,-12873000,12439000,15406000,4039000,7005000,- -,-65461000,-6369000,2965000,12220000,14811000,-27476000,-30603000
97,Net Change In Cash,- -,- -,- -,- -,-75500000,-154500000,-25800000,133500000,-109200000,55400000,-136400000,- -,-398800000,-417400000,12300000,39030000,213158000,- -,94419000,-29278000,-188950000,46667000,-21361000,- -,59981000,349705000,-451011000,256233000,178942000,- -,195492000,282257000,-661629000,119793000,-132603000,854736000,-560118000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118891000,332049000,- -,496367000,485507000,296557000,343224000,321863000,- -,381844000,731549000,341228000,597461000,776403000,- -,971895000,1227862000,569397000,689190000,556587000,1411323000,851205000
99,Cash at the Beginning of Period,- -,- -,- -,- -,86700000,36200000,62000000,162300000,86300000,151600000,59700000,- -,84100000,270600000,124100000,79861000,118891000,- -,401948000,514785000,485507000,296557000,343224000,- -,321863000,381844000,792239000,341228000,597461000,- -,776403000,945605000,1231026000,569397000,689190000,556587000,1411323000
100,Free Cash Flow,- -,- -,- -,- -,47500000,160600000,115600000,-218000000,66700000,-148300000,156500000,- -,548500000,284400000,-56300000,318090000,604112000,- -,581081000,645526000,451039000,354619000,700346000,- -,543593000,877891000,832243000,992170000,1180899000,- -,1395609000,1257853000,1239930000,-316886000,1357382000,540691000,1039025000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322097000612/0000893220-97-000612-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322099000395/0000893220-99-000395-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322003000363/0000893220-03-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322006000503/w18296e10vk.htm,https://www.sec.gov/Archives/edgar/data/103379/000089322007000491/w30596e10vk.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322009000455/0000893220-09-000455-index.html,https://www.sec.gov/Archives/edgar/data/103379/000095012310020525/0000950123-10-020525-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312512088711/0001193125-12-088711-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312513079974/0001193125-13-079974-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312514069474/d647537d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/103379/000119312515075174/d838659d10k.htm,https://www.sec.gov/Archives/edgar/data/103379/000162828017002027/0001628280-17-002027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/103379/000010337919000006/0000103379-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/103379/000010337920000006/0000103379-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103379/000010337921000006/0000103379-21-000006-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
