,https://roic.ai/company/ARMP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,4631000,6041000,1180000,- -,278000,251000,79000,1227000,- -,- -,- -,- -,- -,244000,245000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,300000,300000,300000,300000,400000,1100000,7847656,2237000,1931000,2968000,1437000,2425000,1907000,2081000,2759000,920000,- -,1510000,465000,- -,1624000,676000,1118000,1390000,1843000,3024000,3476000,3305000
53,Total Current Liabilities,1600000,1800000,3500000,2700000,3300000,4600000,12685985,11628000,11282000,6709000,3995000,4628000,5188000,4657000,3986000,920000,- -,1510000,6050000,2147000,1868000,2385000,3580000,1968000,2572000,4879000,6705000,4814000
54,Long-Term Debt,2300000,2400000,2100000,1500000,900000,2100000,2446074,16403000,20494000,11227000,10182000,8177000,570000,- -,- -,- -,- -,2700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,36480000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3078000,- -,3078000,3005000,2449000,1147000,819000,3077000,3077000,3077000
57,Other Non-Current Liabilities,-100000,- -,- -,- -,- -,- -,9410386,5606000,14290000,5507000,6026000,5422000,6342000,7577000,6934000,- -,- -,120000,- -,50021000,20234000,13389000,2443000,292000,22000,2902000,10877000,- -
58,Total Non-Current Liabilities,2200000,2400000,2100000,1500000,900000,2100000,11856460,22009000,34784000,16734000,16208000,13599000,6912000,7577000,6936000,- -,- -,2820000,3078000,50021000,23312000,16394000,4892000,1439000,841000,5979000,13954000,39557000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2863000,12428000,- -
61,Total Liabilities,3800000,4200000,5600000,4200000,4200000,6700000,24542445,33637000,46066000,23443000,20203000,18227000,12100000,12234000,10922000,920000,- -,4330000,9128000,52168000,25180000,18779000,8472000,3407000,3413000,10858000,20659000,44371000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89000,- -,- -,- -,- -,- -,- -,- -,- -
