,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,- -,- -,- -,11700000,12600000,18200000,15800000,15800000,13700000,12700000,12700000,13400000,15400000,15900000,17600000,17400000,17400000,16900000,15400000,13200000,8293000,8900000,7400000,7100000,7638000,5701000,8969000,7910000,8142000,7345000,-207000,255000,243000,510000
58,Total Non-Current Liabilities,- -,- -,- -,72900000,59100000,50200000,49200000,56200000,52300000,60200000,51100000,46600000,60900000,46100000,40300000,33100000,28800000,25500000,21100000,42500000,38928000,35300000,7400000,7100000,8600000,6400000,8969000,7910000,8142000,7345000,287000,255000,243000,510000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2360000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,104800000,84300000,77700000,73700000,79800000,79900000,95000000,92000000,90900000,99700000,75700000,72800000,61600000,61600000,57700000,53000000,70900000,62763000,57600000,26600000,23600000,23500000,19600000,18662000,15494000,16539000,20085000,443000,435000,306000,510000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,200000,207000,200000,300000,300000,300000,300000,283000,283000,275000,298000,294000,294000,684000,54000
64,Retained Earnings,- -,- -,- -,-18800000,-21400000,-16100000,-13800000,-9900000,-900000,10700000,25200000,44400000,63900000,72200000,84800000,98700000,117000000,132700000,114200000,103000000,102603000,90900000,47100000,42000000,72400000,59800000,26683000,32023000,5129000,-2495000,-3935000,-3765000,-3702000,-941835
65,Other Comprehensive Income/Loss,- -,- -,- -,-9300000,-12700000,-16300000,-20000000,-24200000,-28000000,-32800000,-37600000,-43200000,-49300000,-57000000,-54600000,-59800000,-64700000,-68800000,-5000000,-1000000,-760000,-67900000,-30200000,-26900000,-24100000,-2000000,-3000000,-2000000,-2000000,-2000000,-1000,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,37000000,64000000,79500000,84500000,88700000,90400000,70200000,74700000,78300000,64800000,72000000,69387000,63558000,74865000,68649000,247000,651000,- -,69647000,44595000,41640000,38639000,17541000,17013000,17346000,16578000,16432000,17286000,17370000,29738000,30449835
67,Total Stockholders Equity,- -,- -,- -,8900000,30000000,47200000,50800000,54700000,61600000,48200000,62400000,79600000,79500000,87300000,99687000,102558000,127265000,132749000,109647000,102851000,103108000,92847000,61795000,57040000,87239000,75641000,40979000,47652000,19982000,12235000,13644000,13899000,26720000,29562000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,113700000,114300000,124900000,124500000,134500000,141500000,143200000,154400000,170500000,179200000,163000000,172487000,164158000,188865000,190449000,162647000,173751000,165871000,150447000,88395000,80640000,110739000,95241000,59641000,63146000,36521000,32320000,14087000,14334000,27026000,30072000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,13000,42000,35000,51000,53000,-51000,- -,53000,5000,-40000,-39000,-41000,- -,- -,- -,250000,- -,- -,- -,8793000
70,Total Liabilities & Equity,- -,- -,- -,113700000,114300000,124900000,124500000,134600000,141500000,143200000,154400000,170500000,179200000,163000000,172500000,164200000,188900000,190500000,162700000,173700000,165871000,150500000,88400000,80600000,110700000,95200000,59641000,63146000,36521000,32570000,14087000,14334000,27026000,38865000
