,https://roic.ai/company/MTH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,100000,600000,- -,- -,- -,- -,- -,118591,513572,495161,1797000,2550000,82712000,2545000,4119000,76700000,13535000,1892000,82772000,- -,- -,2613000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1902425,-9114000,-207000,-17150000,-5180000,-35420000,-14405000,-105384000,- -,-11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-16035000,-69592000,-60992000
93,Dividends Paid,- -,-4800000,-22900000,-7900000,- -,-300000,-200000,-300000,-194330,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-27900000,-97600000,-229800000,-11100000,-8200000,-4000000,-7800000,-24995654,9921667,48731756,215000,89519000,86296000,86948000,96011000,130825000,162431000,-635000,-81081000,4753000,194129000,- -,508568000,291746000,113759000,201923000,14276000,295909000,202802000,- -,- -,443898000
95,Cash Used/Provided by Financing Activities,- -,-32600000,-119900000,-237700000,-11100000,-8500000,-4200000,-8100000,-25071393,10435239,47324492,-7102000,91862000,151858000,84313000,64710000,193120000,70582000,1257000,1680000,4753000,-3414000,2613000,193488000,188924000,103312000,178697000,-6998000,143248000,-87953000,-325331000,-85971000,51627000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,-7322526,4141414,1035210,-9025000,-1014000,3217000,-1801000,43077000,17936000,-9102000,-29033000,178246000,43408000,-145378000,69659000,-3155000,103679000,-170803000,158875000,-130506000,39044000,140720000,8000000,426155000,-127286000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,8245392,12386806,13422016,4397000,3383000,6600000,4799000,47876000,65812000,56710000,27677000,205923000,249331000,103953000,173612000,170457000,274136000,103333000,262208000,131702000,170746000,311466000,319466000,745621000,618335000
99,Cash at the Beginning of Period,- -,6300000,4500000,6800000,14200000,16200000,6700000,3300000,15567918,8245392,12386806,13422000,4397000,3383000,6600000,4799000,47876000,65812000,56710000,27677000,205923000,249331000,103953000,173612000,170457000,274136000,103333000,262208000,131702000,170746000,311466000,319466000,745621000
100,Free Cash Flow,- -,12600000,12700000,18700000,-3500000,-1000000,1300000,2400000,6501959,-6764522,-39322392,3235000,-27117000,-14121000,-74027000,45058000,46964000,-47814000,-33962000,190136000,180465000,26162000,-81218000,-231350000,-102059000,-232036000,-19427000,-120064000,-105228000,228785000,322435000,510428000,-177756000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833079/000110465904007433/a04-3129_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465905011520/a05-1786_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465906016783/a06-1993_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465907013817/a07-3960_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465908012616/a07-27708_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465909012899/0001104659-09-012899-index.html,https://www.sec.gov/Archives/edgar/data/833079/000110465910012424/0001104659-10-012424-index.html,https://www.sec.gov/Archives/edgar/data/833079/000095012311019601/c13070e10vk.htm,https://www.sec.gov/Archives/edgar/data/833079/000119312512077617/0001193125-12-077617-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307913000051/0000833079-13-000051-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307914000047/mth-2013_10k.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307915000036/mth-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307916000119/0000833079-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307917000041/0000833079-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307918000007/0000833079-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307919000035/0000833079-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307920000026/0000833079-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307921000019/0000833079-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307922000011/0000833079-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
