,https://roic.ai/company/SNFCA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1500000,7100000,9800000,30436637,16828639,17298497,14662470,24511582,33720103,10941045,16502265,26205721,49427326,76817288,96886343,133899009,128617493,57396793,47430901,47106414,196240366,27601818,61409796,15654697,69199977,28419380,85252266,37087275,29563808,132416709,48015753
88,Other Investing Activites,- -,- -,- -,- -,- -,-19900000,-5300000,-6000000,- -,-26567,- -,- -,- -,524500,625507,195562,58653459,-3534195,501094,5710718,5272794,657486,-33485468,-3266099,-483178,-110891379,55162577,-45597043,-19438258,22614162,-44826904,-25140053,71750508,144381556,-29156555,-87552300
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-22200000,-1200000,-4600000,-12081096,3890040,1158942,-2085354,-9038856,11199164,3716776,14503331,51875157,-7406333,-72071131,-858061,-11042655,-12102428,-28087780,3875154,22176321,-41453196,17449292,-33129059,-44727656,15372609,-55590914,-40197565,63306248,38099531,36144441,-63613606
90,Debt Repayment,- -,- -,- -,- -,- -,-600000,-1500000,-1200000,-1768985,-1554154,-14807047,-3177596,-918065,-1545957,-10339059,-2698272,-1824440,-3695521,-4401500,-2463116,-2572524,-47751447,-11276120,-17605856,-16261539,-1957389,-13326408,-6900241,-2357468,-1967197,-1680678,-14381792,-133840816,-166862391,-84514588,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44994,- -,- -,- -,- -,584880,133000,363141,413965,564201,651423,248624,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,-1000,-38948,- -,-751052,-815121,- -,- -,-437641,-422946,- -,-3901,- -,- -,- -,- -,- -,- -,- -,- -,-181539,- -,-382734,-215521,-1539888,-2967761,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,5300000,2200000,3100000,4863907,19026751,-2497147,-1718893,12631114,-2660239,-4176723,-3539693,5769024,-4624937,-4754183,-4396026,-4875637,44020289,-2577228,16108291,8428798,14071861,-4716579,8086326,8721471,11805297,12345334,16972280,160175569,192703823,158694528,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,4600000,600000,1900000,3094922,17472597,-17305194,-4890443,11713049,-4957248,-15330903,-6237965,4529464,-8625099,-9215488,-6445177,-6887861,-3079735,-13604724,-1497565,-7832741,12114472,-18042987,1186085,6364003,9656561,10664656,2207754,26119232,24301544,71212179,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,4600000,600000,1900000,-4770175,5649279,-4409071,107095,3262817,5751868,-1147834,-2517784,29441795,-18494683,-4370690,1299298,-6256381,-5173525,14711050,19549693,92700,-22472899,21822511,4708880,-7347844,9197922,-1065812,6328231,96434750,-13201000,-22270587,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2060876,7710155,3301084,3408179,6670996,12422864,11275030,8757246,38199041,19704358,15333668,16632966,10376585,5203060,19914110,39463803,39556503,17083604,38906115,38203164,30855320,40053242,38987430,45315661,150936673,137735673,115465086,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,19600000,5600000,6100000,6831051,2060876,7710155,3301084,3408179,6670996,12422864,11275030,8757246,38199041,19704358,15333668,16632966,10376585,5203060,19914110,39463803,39556503,17083604,33494284,38203164,30855320,40053242,38987430,54501923,150936673,137735673,115465086
100,Free Cash Flow,- -,- -,- -,- -,- -,1300000,3400000,3300000,2522995,-16385780,10265786,6634788,-2206980,-1678661,7417826,-12574651,-31464877,-5894219,73817100,1227009,7647537,2365045,55079705,16435894,-15110868,6100192,19393813,33081520,29495366,-19463938,40293935,43407035,5726566,-77441368,-131257941,139418314
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000031867397000002/0000318673-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/318673/000031867398000006/0000318673-98-000006-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000116923207001738/0001169232-07-001738-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690608000537/snf10k123107.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690609000307/0001096906-09-000307-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690610000384/0001096906-10-000384-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690611000630/snfc10k20101231.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690612000774/0001096906-12-000774-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690613000418/0001096906-13-000418-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690614000406/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690615000339/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690616001519/0001096906-16-001519-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690617000214/0001096906-17-000214-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690618000170/0001096906-18-000170-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690619000117/0001096906-19-000117-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690620000127/0001096906-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690621000634/0001096906-21-000634-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000149315222008236/0001493152-22-008236-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
