,https://roic.ai/company/WST,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,-6000000,- -,-25500000,-25700000,-9100000,-6300000,-14100000,-23300000,-39700000,-43800000,-33300000,-46600000,-123500000
79,Inventory,- -,- -,- -,- -,-2600000,3300000,10400000,-4500000,2700000,-700000,-4500000,-2700000,2700000,-2400000,-1200000,-500000,-900000,-4700000,-2800000,-6900000,400000,-22800000,-9000000,-13400000,-6400000,-20700000,-9300000,-8900000,-13900000,-16200000,-11400000,-21200000,-3600000,-7000000,-18600000,-73700000,-86500000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,-700000,-300000,24600000,5800000,4600000,-3500000,17200000,6100000,12600000,400000,25300000,36600000,16800000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,50400000,86600000,91100000,112700000,55500000,80700000,93800000,83200000,73600000,97800000,110000000,112400000,124800000,229400000,207100000,226100000,266900000,228800000,295500000,413800000,406800000,359400000,400900000,464000000,610700000,717100000,870300000,6700000
82,Other Non-Cash Items,- -,- -,- -,- -,1100000,11600000,31600000,-9900000,-9500000,-48300000,-50400000,17500000,-22700000,83300000,-38700000,-3200000,15100000,10600000,-27400000,7000000,-12100000,6700000,-96300000,-3000000,-24700000,-47000000,6300000,-57700000,-118200000,-52800000,53600000,-97400000,-105000000,-185400000,-124000000,-164200000,-900000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,42900000,36000000,44400000,34000000,38500000,49800000,46100000,63400000,67700000,71000000,69400000,48600000,32700000,53900000,69200000,68900000,85600000,143800000,129200000,135000000,137700000,138300000,130700000,187400000,220500000,182900000,212400000,219400000,263300000,288600000,367200000,472500000,584000000
84,CAPEX,- -,- -,- -,- -,-34300000,-33200000,-25500000,-22400000,-33500000,-27100000,-31300000,-31700000,-34400000,-76700000,-63400000,-57300000,-44100000,-37700000,-60800000,-57400000,-54100000,-90300000,-129400000,-139100000,-107800000,-73800000,-96800000,-132000000,-155800000,-112100000,-131600000,-170200000,-130800000,-104700000,-126400000,-174400000,-253400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3400000,-1100000,- -,- -,- -,-174800000,- -,-4700000,-8500000,-16900000,-3700000,- -,- -,- -,- -,- -,- -,-6000000,- -,-104000000,- -,-2200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22700000,- -,- -,-7200000,-41200000,-31200000,-14200000,-9300000,- -,-8400000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -,16800000,2600000,8900000,15600000,45600000,19100000,16800000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-5000000,1600000,1000000,7500000,8000000,-10200000,-69300000,7200000,1400000,2900000,1700000,200000,29800000,5400000,3700000,32900000,1500000,200000,900000,-136500000,-107600000,-72000000,-94900000,-130400000,-154800000,-111500000,-129500000,-167400000,-127600000,-100800000,-124000000,-179500000,-250900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-39300000,-31600000,-24500000,-14900000,-25500000,-37300000,-100600000,-24500000,-33000000,-73800000,-61700000,-60500000,-15400000,-32300000,-57100000,-24500000,-227400000,-89900000,-155900000,-128200000,-121900000,-74000000,-120500000,-116000000,-149900000,-104000000,-129500000,-175800000,-133600000,-100800000,-228000000,-179500000,-253100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12300000,-10200000,-40900000,-200400000,-718400000,-341500000,-285700000,-98800000,-69800000,-34900000,-100000,-136400000,-2300000,-2200000
91,Common Stock Issued,- -,- -,- -,- -,1500000,400000,1600000,5500000,3900000,3400000,2800000,3500000,4000000,2600000,2800000,1500000,700000,3300000,3000000,13500000,14100000,4400000,4400000,6200000,5000000,3700000,5800000,10900000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5300000,-11300000,- -,-3300000,- -,- -,- -,- -,- -,-60400000,-18100000,-10800000,-100000,-100000,- -,-100000,-100000,- -,-43000000,-5200000,-1300000,-2100000,-3500000,-4700000,-5200000,-4100000,-5600000,-55900000,-78200000,-75200000,-83100000,-115500000,-151900000
93,Dividends Paid,- -,- -,- -,- -,-5000000,-6300000,-6200000,-6300000,-7000000,-7200000,-8100000,-10000000,-9400000,-9400000,-10300000,-9800000,-10500000,-11100000,-11800000,-12800000,-14100000,-15900000,-17500000,-18600000,-20100000,-21700000,-23200000,-24900000,-26800000,-29100000,-32400000,-35800000,-39100000,-42100000,-45100000,-48100000,-51100000
94,Other Financing Activites,- -,- -,- -,- -,1800000,12900000,-14800000,-14700000,-7600000,12500000,49200000,-22400000,-1700000,48200000,34200000,30300000,-5900000,-25100000,-3300000,-16000000,120600000,-48700000,140700000,9000000,4000000,27000000,196600000,733700000,368400000,288100000,95300000,47600000,43200000,36700000,227800000,28800000,37100000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-7000000,-4300000,-19400000,-18800000,-10700000,8700000,43900000,-28900000,-7100000,-19000000,8600000,11200000,-15800000,-33000000,-12100000,-15400000,120500000,-60200000,84600000,-20900000,-22600000,-34000000,-24700000,-3400000,-5100000,-30800000,-41500000,-113900000,-109000000,-80700000,-36800000,-137100000,-168100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-100000,400000,- -,- -,-100000,800000,800000,-100000,-2600000,800000,-2300000,-1900000,-2100000,2500000,4600000,2000000,1300000,4600000,3400000,-7100000,2700000,-3200000,-3900000,2100000,2600000,-22800000,-22100000,-1300000,12200000,-5600000,-700000,20500000,-15700000
97,Net Change In Cash,- -,- -,- -,- -,-7000000,-4300000,-19400000,-18800000,-10700000,- -,- -,- -,- -,- -,14000000,-2600000,-600000,-8900000,4600000,31000000,-20000000,-1700000,61300000,-21200000,-4100000,27100000,-18400000,70100000,68100000,25300000,19300000,-71600000,32900000,101500000,101700000,176400000,147100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45300000,42700000,42100000,33200000,37800000,68800000,48800000,47100000,108400000,87200000,83100000,110200000,91800000,161900000,230000000,255300000,274600000,203000000,235900000,337400000,439100000,615500000,762600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5100000,1600000,2200000,2700000,3000000,5200000,27200000,17400000,27300000,52300000,31300000,45300000,42700000,42100000,33200000,37800000,68800000,48800000,47100000,108400000,87200000,83100000,110200000,91800000,161900000,230000000,255300000,274600000,203000000,235900000,337400000,439100000,615500000
100,Free Cash Flow,- -,- -,- -,- -,8600000,2800000,18900000,11600000,5000000,22700000,14800000,31700000,33300000,-5700000,6000000,-8700000,-11400000,16200000,8400000,11500000,31500000,53500000,-200000,-4100000,29900000,64500000,33900000,55400000,64700000,70800000,80800000,49200000,132500000,183900000,240800000,298100000,330600000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105770/000095011595000063/0000950115-95-000063-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577096000012/0000105770-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577097000011/0000105770-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095011598000641/0000950115-98-000641-index.html,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577000000008/0000105770-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577001000008/0000105770-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577002000007/0000105770-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577003000007/0000105770-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095015404000022/0000950154-04-000022-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577005000135/0000105770-05-000135-index.html,https://www.sec.gov/Archives/edgar/data/105770/000110465906014167/0001104659-06-014167-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000110465907015074/0001104659-07-015074-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000104746908002017/0001047469-08-002017-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577010000011/0000105770-10-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577012000011/0000105770-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577013000007/0000105770-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577014000005/0000105770-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577015000007/0000105770-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577016000060/0000105770-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577017000011/0000105770-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577018000006/0000105770-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577019000012/0000105770-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577020000015/0000105770-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577021000008/0000105770-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/0001628280-22-003342-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
