,https://roic.ai/company/MAS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-39000000,-48700000,17600000,-35100000,-38800000,-74500000,-14000000,-1900000,-38800000,-39300000,-68300000,-89810000,47580000,10510000,39000000,-138000000,-57000000,-126000000,157000000,104000000,198000000,2000000,-54000000,-16000000,-24000000,-75000000,17000000,-39000000,-76000000,-11000000,58000000,-89000000,-350000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1290100000,518600000,911400000,1006700000,1016000000,1263400000,1230110000,1390360000,2017320000,1705000000,2255000000,2229000000,1726000000,1900000000,1753000000,1670000000,1977000000,1066000000,1355000000,1686000000,1652000000,822000000,1474000000,1587000000,1082000000,1163000000,1555000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-22200000,-33900000,106800000,-105600000,-67700000,-1257100000,1427300000,-476500000,-223700000,-248400000,-513400000,-78160000,433290000,-275610000,504320000,-317000000,144000000,1021000000,503000000,1003000000,731000000,692000000,1513000000,-219000000,-240000000,-28000000,788000000,-710000000,-103000000,574000000,-359000000,-863000000,587000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,223800000,204700000,250800000,203600000,260900000,311200000,322500000,340100000,405000000,419100000,490600000,733840000,966640000,1224850000,1421000000,1454000000,1374000000,1208000000,1270000000,797000000,705000000,465000000,239000000,281000000,645000000,602000000,699000000,726000000,751000000,1032000000,833000000,953000000,930000000
84,CAPEX,- -,- -,- -,- -,-163700000,-165600000,-113000000,-117700000,-166500000,-190600000,-165100000,-311600000,-354300000,-511900000,-1145900000,-388030000,-274430000,-284670000,-271000000,-310000000,-282000000,-388000000,-248000000,-200000000,-125000000,-137000000,-151000000,-119000000,-126000000,-128000000,-158000000,-180000000,-173000000,-219000000,-162000000,-114000000,-128000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-588780000,-589060000,-735990000,-239000000,-16000000,-25000000,132000000,-158000000,158000000,- -,- -,-10000000,9000000,10000000,-2000000,-41000000,- -,39000000,-549000000,722000000,643000000,-52000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-424780000,-581980000,-377000000,-349000000,-155000000,-142000000,-1047000000,- -,- -,- -,- -,- -,-410000000,-400000000,-254000000,-211000000,-99000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,5300000,3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,422640000,306150000,507000000,679000000,348000000,174000000,1155000000,58000000,11000000,42000000,94000000,40000000,427000000,443000000,289000000,283000000,218000000,113000000,1000000,3000000,171000000
88,Other Investing Activites,- -,- -,- -,- -,-81000000,62400000,-75300000,-90500000,210700000,-142900000,22600000,876400000,40700000,101000000,13900000,-198300000,199060000,310000,252000000,157000000,300000000,-2000000,-49000000,-229000000,-129000000,-151000000,-145000000,-76000000,-104000000,-141000000,-183000000,-196000000,-183000000,-215000000,-141000000,-115000000,-131000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-239400000,-99800000,-188300000,-208200000,44200000,-333500000,-142500000,564800000,-313600000,-410900000,-1132000000,-1175110000,-666570000,-1296180000,-128000000,161000000,186000000,-226000000,-347000000,-13000000,-118000000,-109000000,-61000000,-27000000,-77000000,-100000000,-189000000,-124000000,-25000000,-651000000,582000000,531000000,-12000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000000,-14000000,-6000000,-67000000,-796000000,-205000000,-6000000,-504000000,-1304000000,-540000000,-115000000,-209000000,-402000000,-1329000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,63600000,- -,- -,- -,- -,- -,- -,- -,- -,156040000,- -,598340000,37000000,58000000,33000000,28000000,60000000,- -,- -,- -,- -,- -,- -,1000000,2000000,1000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-109800000,-188100000,- -,- -,- -,-61700000,- -,- -,- -,-90100000,-106400000,-259450000,-115330000,-197500000,-827000000,-943000000,-986000000,-854000000,-857000000,-160000000,-11000000,-45000000,-30000000,-8000000,-35000000,-158000000,-456000000,-459000000,-331000000,-654000000,-896000000,-727000000,-1026000000
93,Dividends Paid,- -,- -,- -,- -,-74800000,-81100000,-85200000,-92700000,-99000000,-109000000,-116400000,-123500000,-131700000,-145300000,-165000000,-218680000,-243810000,-267880000,-286000000,-302000000,-339000000,-349000000,-347000000,-336000000,-182000000,-123000000,-125000000,-107000000,-107000000,-117000000,-126000000,-128000000,-129000000,-134000000,-144000000,-145000000,-211000000
94,Other Financing Activites,- -,- -,- -,- -,161600000,168900000,-29900000,80500000,-131500000,134200000,-39700000,-368200000,7900000,327700000,590500000,702010000,201630000,634410000,-541000000,42000000,407000000,169000000,-862000000,-103000000,10000000,134000000,3000000,335000000,-35000000,-17000000,674000000,844000000,423000000,-117000000,-42000000,388000000,1268000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-23000000,-100300000,-51500000,-12200000,-230500000,-36500000,-156100000,-491700000,-123800000,92300000,319100000,379920000,-157510000,767370000,-1617000000,-1145000000,-885000000,-1006000000,-2006000000,-632000000,-197000000,-40000000,-219000000,-576000000,-382000000,-297000000,-410000000,-1046000000,-577000000,-1020000000,-1291000000,-886000000,-1298000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58540000,52000000,29000000,-5000000,18000000,47000000,-46000000,-5000000,-14000000,-18000000,17000000,-3000000,-45000000,-15000000,-34000000,55000000,4000000,14000000,31000000,-20000000
97,Net Change In Cash,- -,- -,- -,- -,-23000000,-100300000,-51500000,-12200000,-230500000,-36500000,-156100000,-491700000,-123800000,92300000,-322400000,-61350000,142560000,754580000,-272000000,499000000,670000000,-6000000,-1036000000,106000000,385000000,302000000,-59000000,-305000000,183000000,160000000,85000000,-478000000,204000000,-635000000,138000000,629000000,-400000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,230800000,169430000,311990000,1066570000,795000000,1256000000,1964000000,1958000000,922000000,1028000000,1413000000,1715000000,1656000000,1351000000,1223000000,1383000000,1468000000,990000000,1194000000,559000000,697000000,1326000000,926000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,85100000,46500000,51100000,62100000,45400000,120000000,36500000,60500000,473700000,441300000,553200000,230780000,169430000,311990000,1067000000,757000000,1294000000,1964000000,1958000000,922000000,1028000000,1413000000,1715000000,1656000000,1040000000,1223000000,1383000000,1468000000,990000000,1194000000,559000000,697000000,1326000000
100,Free Cash Flow,- -,- -,- -,- -,60100000,39100000,137800000,85900000,94400000,120600000,157400000,28500000,50700000,-92800000,-655300000,345810000,692210000,940180000,1150000000,1144000000,1092000000,820000000,1022000000,597000000,580000000,328000000,88000000,162000000,519000000,474000000,541000000,546000000,578000000,813000000,671000000,839000000,802000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012401001796/0000950124-01-001796-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012407001157/k12528e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095012408000792/k22937e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095015209001494/0000950152-09-001494-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012310013437/0000950123-10-013437-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012311015716/k49882e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000119312512070524/0001193125-12-070524-index.html,https://www.sec.gov/Archives/edgar/data/62996/000119312513062852/0001193125-13-062852-index.html,https://www.sec.gov/Archives/edgar/data/62996/000104746914000923/a2218121z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746915000803/a2222936z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746916010135/0001047469-16-010135-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299617000008/0000062996-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299618000015/0000062996-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/0000062996-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/0000062996-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299621000008/0000062996-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62996/000006299622000011/0000062996-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
