,https://roic.ai/company/ELY,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,17700000,18900000,11500000,19200000,12300000,21600000,10300000,9000000,28233000,50651000,18305000,17994000,20311000,14812000,9606000,48035000,4708000,2562000,2954000,2195000,19000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-5000000,-300000,-14900000,-67000000,- -,-53000000,-900000,- -,-80469000,-104049000,-46457000,-4755000,-6298000,-39000,-52872000,-114795000,-23650000,- -,- -,- -,- -,- -,-1006000,-1960000,-5144000,-16617000,-22456000,-28073000,-22213000,- -
93,Dividends Paid,- -,- -,- -,-1600000,-6900000,-13400000,-16000000,-19100000,-19500000,-19800000,-19538000,-19447000,-18601000,-18536000,-19069000,-19557000,-19212000,-18755000,-17794000,-11590000,-13067000,-13093000,-11019000,-5599000,-3105000,-3391000,-3764000,-3773000,-3788000,-3776000,-1891000,-3000
94,Other Financing Activites,- -,400000,- -,-100000,- -,100000,14200000,-100000,73600000,-35100000,1268000,-1168000,-2374000,-8117000,13000000,-13044000,82549000,-37471000,53800000,134141000,-704000,-2387000,43126000,26939000,1650000,6565000,2657000,89746000,815000,561756000,255849000,76624000
95,Cash Used/Provided by Financing Activities,- -,400000,12700000,16900000,-10300000,-61100000,10500000,-50600000,63500000,-45900000,-70506000,-74013000,-49127000,-13414000,7944000,-17828000,20071000,-122986000,17064000,35113000,-10817000,-13285000,32126000,21340000,-12886000,948000,-9254000,69356000,-75070000,492516000,96066000,-124072000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,600000,100000,-1977000,-1648000,1735000,1488000,2595000,-1750000,1141000,-315000,-8787000,672000,2711000,727000,117000,-5074000,1914000,-952000,-1235000,3237000,-380000,-715000,-5639000,-752000
97,Net Change In Cash,- -,400000,12700000,16900000,-10300000,-61100000,10500000,-50600000,63500000,67000000,-10006000,-18333000,24189000,-61112000,-15683000,17824000,-3119000,3513000,-11538000,39977000,-23271000,-12020000,8980000,-15210000,842000,12166000,76174000,-40301000,-21693000,42685000,259453000,-8431000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,112600000,102596000,84263000,108452000,47340000,31657000,49481000,46362000,49875000,38337000,78314000,55043000,43023000,52003000,36793000,37635000,49801000,125975000,85674000,63981000,106666000,366119000,357688000
99,Cash at the Beginning of Period,- -,1300000,5200000,20000000,49000000,54400000,59200000,108500000,26200000,45600000,112602000,102596000,84263000,108452000,47340000,31657000,49481000,46362000,49875000,38337000,78314000,55043000,43023000,52003000,36793000,37635000,49801000,125975000,85674000,63981000,106666000,366119000
100,Free Cash Flow,- -,3500000,2500000,12100000,15700000,65900000,39300000,97600000,-48200000,107700000,62677000,64879000,65712000,110933000,-17449000,36039000,-15166000,119052000,-9300000,4026000,-12584000,-18833000,-47211000,-21987000,26127000,16212000,61558000,91496000,55457000,31848000,188976000,-44017000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/837465/000093639203000258/a88298ore10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639204000209/a96880e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639205000054/a05839e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312506039141/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312507044062/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312508041974/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312509039469/0001193125-09-039469-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312510043146/0001193125-10-043146-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312511050374/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312512094413/0001193125-12-094413-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312513098448/0001193125-13-098448-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746514000002/ely-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746515000003/ely-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746516000014/0000837465-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746517000002/0000837465-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746518000004/0000837465-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746519000002/0000837465-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746520000002/0000837465-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746521000003/0000837465-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746522000005/0000837465-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
