,https://roic.ai/company/CASY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,100000,12500000,15600000,-6200000,40500000,2100000,-32400000,13400000,27700000,-30100000,77316000,-74939000,13813000,-7996000,-1789000,68033000,55506000,-72586000,-24841000,-11700000,-2738000,90540000,49558000,120453000,-119826000,27436000,6942000,62447000,-24549000,89936000,417181000,-597178000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,25800000,31100000,33600000,30300000,52700000,49500000,48000000,67700000,78600000,74400000,108982000,77996000,83090000,103914000,97902000,132184000,148327000,112124000,175988000,169867000,214068000,261443000,294879000,286328000,314160000,341682000,464709000,459273000,419797000,530614000,504314000,804088000
84,CAPEX,- -,- -,- -,- -,-32000000,-22700000,-34800000,-49400000,-62900000,-52600000,-60400000,-66700000,-85300000,-97700000,-102836000,-81556000,-97569000,-62736000,-72597000,-95447000,-99913000,-87704000,-89315000,-147407000,-129233000,-214573000,-240874000,-305301000,-308633000,-360734000,-392839000,-433392000,-577421000,-394699000,-438977000,-441252000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4536000,-66729000,- -,- -,-45688000,-113567000,-39444000,-29527000,-31584000,-41157000,-7263000,-25473000,-37160000,-68200000,-32706000,-9356000
86,Purchases of Investments,- -,- -,- -,- -,-2700000,-2200000,-3600000,-58700000,-7200000,- -,-17300000,-11800000,-7500000,-15500000,-2746000,-34190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2400000,2600000,2500000,35800000,17500000,14000000,6000000,20300000,10300000,7700000,10230000,24087000,17862000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,- -,100000,100000,-2000000,- -,- -,100000,- -,- -,- -,- -,- -,3742000,3304000,3915000,2764000,1964000,2891000,1769000,2627000,2196000,3544000,3328000,2748000,5134000,4140000,5246000,5069000,5041000,6268000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-32300000,-22400000,-35900000,-72200000,-52500000,-40600000,-71700000,-58200000,-82400000,-105500000,-95352000,-91659000,-79707000,-62726000,-68855000,-92143000,-100534000,-151669000,-87351000,-144516000,-173152000,-325513000,-278122000,-331284000,-336889000,-399143000,-394968000,-454725000,-609335000,-457830000,-466642000,-444340000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21100000,-19231000,-80522000,-1972000,-10757000,-74965000,-553000,-15399000,-15399000,-15688000,-16000000,-17476000,-571661000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,400000,100000,500000,500000,2200000,200000,900000,1100000,384000,374000,1051000,346000,3643000,1893000,2139000,2941000,2104000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2800000,- -,- -,- -,- -,- -,- -,- -,- -,-29970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-501026000,- -,- -,- -,- -,- -,-47893000,-214683000,-37479000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-800000,-1300000,-1300000,-1600000,-2100000,-2500000,-2600000,-3000000,-3200000,-3146000,-3710000,-4211000,-4963000,-6479000,-9771000,-9060000,-10098000,-13180000,-15246000,-17308000,-20467000,-22849000,-24685000,-27095000,-30175000,-33527000,-36758000,-38780000,-41430000,-45951000,-47971000
94,Other Financing Activites,- -,- -,- -,- -,6900000,-3700000,2000000,43700000,1900000,-5000000,31200000,-16700000,6800000,35100000,29084000,24040000,-4235000,-14973000,-20868000,-28999000,-20018000,77186000,-31364000,1858000,1604000,573981000,4411000,65750000,205159000,15089000,6419000,96444000,435651000,31742000,40734000,518154000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,6900000,-7300000,1100000,42500000,800000,-6600000,30900000,-19100000,4700000,33000000,-3648000,20704000,-7395000,-19590000,-23704000,-36877000,-26939000,70029000,-42440000,-34488000,-34935000,-28034000,-20410000,30308000,103099000,-15639000,-42507000,-3606000,166500000,-63167000,-22693000,-101478000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9982000,7041000,-4012000,21598000,5343000,3164000,26318000,31698000,47456000,-8828000,5981000,-92104000,-3653000,-14648000,80370000,-73100000,27234000,942000,-23038000,9617000,14979000,258270000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15917000,22958000,18946000,40544000,45887000,49051000,75369000,107067000,154523000,145695000,151676000,59572000,55919000,41271000,121641000,48541000,75775000,76717000,53679000,63296000,78275000,336545000
99,Cash at the Beginning of Period,- -,- -,- -,- -,900000,1300000,2800000,1500000,2100000,3200000,5500000,12700000,3100000,4000000,5935000,15917000,22958000,18946000,40544000,45887000,49051000,75369000,107067000,154523000,145695000,151676000,59572000,55919000,41271000,121641000,48541000,75775000,76717000,53679000,63296000,78275000
100,Free Cash Flow,- -,- -,- -,- -,-6200000,8400000,-1200000,-19100000,-10200000,-3100000,-12400000,1000000,-6700000,-23300000,6146000,-3560000,-14479000,41178000,25305000,36737000,48414000,24420000,86673000,22460000,84835000,46870000,54005000,-18973000,5527000,-19052000,71870000,25881000,-157624000,135915000,65337000,362836000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095012494001250/0000950124-94-001250-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012495002249/0000950124-95-002249-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012496003247/0000950124-96-003247-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095013102002825/0000950131-02-002825-index.html,- -,https://www.sec.gov/Archives/edgar/data/726958/000119312504117913/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312505141692/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312506146200/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312507147153/0001193125-07-147153-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312508141469/0001193125-08-141469-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312509140503/0001193125-09-140503-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312510148944/0001193125-10-148944-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312511175866/0001193125-11-175866-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/d372825d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/0001193125-13-274177-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312514253245/0001193125-14-253245-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/0000726958-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695816000258/0000726958-16-000258-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695817000055/0000726958-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695818000097/0000726958-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695819000078/0000726958-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695820000085/0000726958-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/726958/000072695821000078/0000726958-21-000078-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
