,https://roic.ai/company/LRCX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,-10100000,-13200000,-8100000,-4200000,-36500000,-51300000,-55832000,-150965000,60930000,4467000,33727000,-44804000,-73118000,96511000,63454000,5136000,-2588000,-59038000,-56336000,19684000,46052000,-79701000,-77461000,73987000,76351000,-190058000,-207462000,-66371000,-307875000,-701008000,281355000,-411608000,-792591000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39381000,71600000,42320000,12145000,-58081000,18704000,76617000,41645000,126819000,35655000,-131472000,208478000,184615000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,337386000,470192000,337386000,470192000,416932000,603580000,494875000,733000000,1077000000,757880000,656000000,519000000,866000000,1138000000,743000000,1280000000,855000000,1198000000,2592000000,2988000000,2389354000,3202000000,3639488000,6795109000,6192383000,5999603000,6188759000,7691093000,8124520000
82,Other Non-Cash Items,- -,- -,- -,100000,11400000,-15200000,-17100000,-375786000,-169406000,51688000,-259523000,138388000,-27383000,136987000,-387856000,-186413000,400796000,142795000,164914000,-337088000,-298722000,478065000,-413724000,492867000,-474869000,-1382797000,-290802000,871409000,-1131088000,-726387000,-3103766000,372429000,-33811000,303892000,-2067581000,-1129560000
83,Cash Provided by Operating Activities,- -,- -,- -,-3700000,4000000,-400000,2600000,-9600000,6300000,19096000,26611000,80166000,51245000,-37215000,119850000,261287000,21797000,69242000,157149000,425930000,360687000,823559000,590319000,-78129000,350713000,881028000,499028000,719933000,717049000,785503000,1350277000,2029282000,2655747000,3176013000,2126451000,3588163000
84,CAPEX,- -,- -,- -,-6400000,-9900000,-13000000,-8900000,-14200000,-19000000,-63405000,-66588000,-39548000,-50207000,-33183000,-50360000,-64395000,-10619000,-12264000,-24026000,-22849000,-42080000,-59968000,-76803000,-44282000,-35590000,-127495000,-107272000,-160795000,-145503000,-198265000,-175330000,-157419000,-273469000,-303491000,-203239000,-349096000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181108000,-482574000,-19457000,- -,- -,418681000,-9916000,-30227000,40075000,- -,- -,-115697000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6600000,- -,- -,- -,- -,-24100000,-348204000,-405819000,-589223000,-8248736000,-3771267000,-4304863000,-1359095000,-2745248000,-718553000,-463476000,-247392000,-129464000,-1058081000,-310873000,-212737000,-194939000,-564902000,-894169000,-1097956000,-1312244000,-3089308000,-874998000,-4581851000,-2532829000,-2930049000,-2897627000,-3389388000
87,Sales/Maturities of Investments,- -,- -,- -,11300000,- -,- -,- -,- -,- -,289968000,432610000,618308000,7919910000,3881078000,4277033000,1017861000,2669349000,1026558000,530406000,184083000,312252000,1106311000,329695000,383062000,127973000,210962000,841440000,1039551000,1028278000,2137068000,1673826000,2697965000,5685715000,1603841000,2882627000,3853910000
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,-200000,-2700000,-7900000,-3026000,-7947000,-11695000,-59600000,-6667000,-13551000,-21915000,-1609000,617000,5602000,27430000,-385000000,110000000,44750000,-144863000,-36390000,1522000,-96226000,-170316000,48979000,-193931000,-206345000,-174727000,-288749000,-310846000,-229084000,-391251000
89,Cash Used for Investing Activites,- -,- -,- -,-1700000,-9800000,-13000000,-9100000,-16900000,-51000000,-124667000,-47744000,-22158000,-438633000,69961000,-91741000,-427544000,-88127000,296358000,48506000,-58728000,-244292000,-82846000,-495805000,6005000,-103356000,-479913000,269726000,-238637000,-265214000,-1106096000,592483000,-2058613000,2748440000,-1637054000,-244084000,73271000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-256047000,-21040000,-185655000,-5265000,-2234000,-1658000,-1515000,-451497000,-1688313000,-1505694000,-479407000,-1917537000,-862060000
91,Common Stock Issued,- -,- -,- -,900000,6100000,500000,35300000,2400000,2700000,122092000,7451000,13446000,20206000,18403000,60365000,31195000,35675000,27182000,77394000,114762000,194571000,60591000,21257000,31811000,30838000,33595000,82495000,70644000,77717000,66323000,59397000,72576000,84882000,84774000,8084000,24123000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18896000,-31584000,-45070000,-10678000,-39122000,- -,-167081000,-251211000,-1083745000,-14552000,-30946000,-93032000,-211316000,-772663000,-955661000,-244859000,-573240000,-158389000,-811672000,-2653249000,-3780611000,-1369649000,-2697704000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-116059000,-190402000,-243495000,-307609000,-678348000,-656838000,-726992000
94,Other Financing Activites,- -,- -,- -,12000000,800000,9400000,-15000000,65500000,-1100000,3062000,32886000,-8608000,239819000,-7797000,-20396000,335728000,-8693000,-361407000,-289142000,- -,367325000,-55181000,59105000,-5648000,10570000,890362000,2686000,-539000,6065000,1002963000,2336636000,38510000,1109613000,2463512000,3312010000,95651000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,12900000,6900000,9900000,20300000,67900000,1600000,125154000,40337000,4838000,260025000,-8290000,8385000,321853000,16304000,-373347000,-211748000,-52319000,310685000,-1078335000,65810000,-260830000,-72664000,526986000,-692747000,-887790000,-162735000,378472000,1595745000,-2632394000,-3272057000,-2390080000,-623930000,-4166982000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4403000,-3993000,798000,2659000,2153000,3964000,1485000,774000,-1754000,-25416000,-3093000,18264000,-3387000,4215000,1104000,-9017000,-722000,-63000,2593000,-4041000,-2750000,7215000
97,Net Change In Cash,- -,- -,- -,12900000,6900000,9900000,20300000,67900000,-43200000,19583000,19204000,62846000,-127363000,24456000,32091000,151603000,-49228000,-5088000,-3940000,318847000,428565000,-336848000,158570000,-358370000,171600000,946365000,72620000,-402279000,290204000,48862000,3537783000,-2661788000,2134723000,-855162000,1255687000,-498333000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,24100000,43675000,62879000,125725000,13509000,37965000,70056000,221659000,172431000,167343000,163403000,482250000,910815000,573967000,732537000,374167000,545767000,1492132000,1564752000,1162473000,1452677000,1501539000,5039322000,2377534000,4512257000,3913396000,5169083000,4670750000
99,Cash at the Beginning of Period,- -,- -,- -,7200000,14600000,15600000,12100000,25800000,67300000,24092000,43675000,62879000,140872000,13509000,37965000,70056000,221659000,172431000,167343000,163403000,482250000,910815000,573967000,732537000,374167000,545767000,1492132000,1564752000,1162473000,1452677000,1501539000,5039322000,2377534000,4768558000,3913396000,5169083000
100,Free Cash Flow,- -,- -,- -,-10100000,-5900000,-13400000,-6300000,-23800000,-12700000,-44309000,-39977000,40618000,1038000,-70398000,69490000,196892000,11178000,56978000,133123000,403081000,318607000,763591000,513516000,-122411000,315123000,753533000,391756000,559138000,571546000,587238000,1174947000,1871863000,2382278000,2872522000,1923212000,3239067000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707549/000091205795008038/0000912057-95-008038-index.html,https://www.sec.gov/Archives/edgar/data/707549/000091205796020899/0000912057-96-020899-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707549/000070754902000010/0000707549-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/707549/000089161803004913/0000891618-03-004913-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013404013455/0000950134-04-013455-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000089161805000627/0000891618-05-000627-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013406016366/0000950134-06-016366-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000089161808000189/0000891618-08-000189-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013408015947/0000950134-08-015947-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312509182356/0001193125-09-182356-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312510194304/0001193125-10-194304-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312511227691/0001193125-11-227691-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312512365446/0001193125-12-365446-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312513348269/0001193125-13-348269-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312514321759/0001193125-14-321759-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312515290023/0001193125-15-290023-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754916000050/0000707549-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754917000100/0000707549-17-000100-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754918000115/0000707549-18-000115-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/0000707549-19-000124-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754920000138/0000707549-20-000138-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754921000136/0000707549-21-000136-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
