,https://roic.ai/company/USM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3479000,52622000,-14660000,28410000,-4977000,85199000,-95587000,4931000,48000000,-14000000,3000000,-69000000,145000000,-57000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-33800000,-25300000,-17900000,-28800000,-15500000,221800000,11036000,-173183000,-525751000,-157791000,32085000,-110610000,-1792000,229510000,213164000,361023000,443629000,570563000,441477000,395018000,422281000,923704000,840000000,750000000,1121000000,823000000,1752000000,57000000
82,Other Non-Cash Items,- -,- -,- -,-3700000,-3300000,-14900000,-32900000,14800000,35300000,-91500000,-171700000,-35000000,-234100000,-569000000,249877000,108072000,647525000,-290023000,-344079000,77030000,-137026000,-238724000,974132000,456140000,-7117000,-111117000,238028000,-546959000,-498093000,-874165000,-113296000,267000000,-486000000,156000000,-766000000,112000000
83,Cash Provided by Operating Activities,- -,- -,- -,-7300000,-5500000,-18900000,3500000,35300000,84300000,115900000,137500000,222100000,311100000,333200000,521330000,440348000,620080000,621655000,518408000,642170000,693448000,863078000,922777000,881808000,874289000,987862000,899291000,290897000,172342000,555114000,501000000,469000000,709000000,724000000,1237000000,802000000
84,CAPEX,- -,- -,- -,-7600000,-14500000,-56400000,-53300000,-84900000,-158200000,-208700000,-219400000,-277800000,-391700000,-278500000,-295308000,-487813000,-698636000,-616359000,-642081000,-586575000,-579785000,-565495000,-585590000,-546758000,-583134000,-771798000,-949090000,-734402000,-643233000,-866400000,-496000000,-654000000,-520000000,-916000000,-1190000000,-2046000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57569000,-186269000,-452936000,-5125000,-40786000,-188020000,-44325000,-17201000,-334856000,-15977000,-17101000,-23773000,49932000,811120000,179842000,316729000,21000000,21000000,24000000,41000000,26000000,3000000
86,Purchases of Investments,- -,- -,- -,-13600000,-15400000,-25900000,-700000,-21700000,-31700000,-24400000,-22300000,-20100000,-2800000,- -,- -,- -,- -,65370000,- -,- -,- -,- -,- -,- -,-250250000,-110000000,-120000000,- -,- -,- -,- -,-50000000,-17000000,-11000000,-3000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,4800000,800000,7300000,6800000,- -,- -,- -,- -,500000,200000,357000,- -,- -,- -,- -,- -,28650000,4301000,18025000,- -,60330000,145250000,125000000,100000000,50000000,- -,- -,- -,50000000,29000000,1000000,3000000
88,Other Investing Activites,- -,- -,- -,-19800000,-11900000,-2600000,-22900000,1200000,9500000,130500000,91400000,-60600000,123800000,87900000,30852000,2257000,51931000,- -,210161000,-4210000,-729000,-1086000,-1606000,1284000,-953000,718000,-125143000,-20509000,-95531000,-284804000,-196000000,-189000000,-9000000,-273000000,-198000000,-1318000000
89,Cash Used for Investing Activites,- -,- -,- -,-41000000,-37000000,-84100000,-69600000,-98600000,-180400000,-102600000,-150300000,-358500000,-270200000,-190400000,-321668000,-671825000,-1099641000,-556114000,-472706000,-778805000,-596189000,-579481000,-904027000,-561451000,-791108000,-759603000,-896611000,172749000,-470772000,-548668000,-618000000,-683000000,-464000000,-864000000,-1163000000,-2036000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-140236000,-316000,-330338000,-145000,-414000,-150000000,- -,-11000000,-14000000,-19000000,-116000000,-108000000,-1118000000
91,Common Stock Issued,- -,- -,- -,1000000,- -,40400000,400000,36800000,1100000,1600000,10500000,2500000,2600000,9300000,4033000,4103000,787000,7231000,7218000,23345000,23529000,10073000,- -,- -,509000,1935000,- -,5784000,830000,2167000,6000000,1000000,18000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-223847000,-40862000,- -,- -,-3908000,- -,- -,-87902000,-30654000,-33667000,-52827000,-62294000,-22250000,-18544000,-18943000,-6188000,-5000000,- -,- -,-30000000,-23000000,-31000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6100000,- -,-4141000,-7776000,-7632000,-5446000,- -,- -,- -,-19676000,-18426000,-19631000,-21094000,- -,-482270000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,45500000,49500000,65800000,57100000,28600000,94500000,17700000,-21700000,133400000,-5300000,-300000,-53242000,177037000,472473000,-70156000,-12492000,101231000,-116879000,-34147000,98043000,-4613000,-10901000,330772000,-26082000,-4495000,335991000,501438000,-2000000,-7000000,-13000000,-6000000,1057000000,1291000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,46500000,49500000,106200000,57500000,65400000,95600000,19300000,-11200000,135900000,-2700000,2900000,-273056000,136137000,465484000,-70557000,-14628000,124576000,-93350000,-111976000,-52287000,-196942000,-83166000,-81019000,-48477000,-499939000,167878000,497417000,-12000000,-20000000,-14000000,-152000000,926000000,142000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,46500000,49500000,106200000,57500000,65400000,95600000,19300000,-11200000,135900000,-2700000,145700000,-73394000,-95340000,-14077000,-5016000,31074000,-12059000,3909000,171621000,-33537000,123415000,15000,147240000,-45797000,-36293000,-130552000,503863000,-129000000,-234000000,231000000,-292000000,1000000000,-1092000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197700000,124281000,28941000,14864000,9848000,40922000,29003000,32912000,204533000,170996000,294411000,294426000,424155000,378358000,342065000,211513000,715376000,586000000,352000000,583000000,291000000,1291000000,199000000
99,Cash at the Beginning of Period,- -,- -,- -,4300000,2500000,9500000,12800000,4100000,6300000,5800000,38400000,14400000,13900000,52000000,197675000,124281000,28941000,14864000,9848000,41062000,29003000,32912000,204533000,170996000,294411000,276915000,424155000,378358000,342065000,211513000,715000000,586000000,352000000,583000000,291000000,1291000000
100,Free Cash Flow,- -,- -,- -,-14900000,-20000000,-75300000,-49800000,-49600000,-73900000,-92800000,-81900000,-55700000,-80600000,54700000,226022000,-47465000,-78556000,5296000,-123673000,55595000,113663000,297583000,337187000,335050000,291155000,216064000,-49799000,-443505000,-470891000,-311286000,5000000,-185000000,189000000,-192000000,47000000,-1244000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821130/000104746903009441/a2103341z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746904007559/a2129465z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746905006191/a2152923z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465906049535/a06-12109_210k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465907030334/a07-10583_110k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746908002060/a2182849z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746909001882/0001047469-09-001882-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746910001341/0001047469-10-001341-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746911001405/a2202099z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746912001493/0001047469-12-001493-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746913001702/0001047469-13-001702-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113014000009/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113015000010/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113016000050/0000821130-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113017000010/0000821130-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113018000008/0000821130-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113019000014/0000821130-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113020000018/0000821130-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113021000008/0000821130-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113022000009/0000821130-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
