,https://roic.ai/company/TR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,33500000,55300000,80500000,107200000,61000000,92600000,109600000,153300000,153400000,175100000,168400000,145765000,188250000,161852000,180818000,110376000,132940000,128706000,141754000,128727000,155812000,179086000,153846000,136476000,179990000,200162000,221744000,235739000,207132000,242655000,1944000,-16744000,-594000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,-24800000,-21100000,-27800000,35400000,-39500000,-17200000,-26300000,-5400000,-24300000,-1700000,18465000,-43367000,18859000,-11893000,68931000,-33634000,-22754000,9011000,14256000,-23141000,-12462000,12463000,47360000,-14604000,-15459000,-17241000,-2781000,-25938000,-12219000,1659000,1404000,3837000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,16200000,26700000,35800000,37000000,33400000,40500000,50900000,76700000,68200000,77700000,72900000,84881000,81505000,71203000,83466000,76228000,82524000,55656000,90064000,57042000,75281000,82805000,50390000,101919000,109809000,88769000,91073000,98550000,42973000,100929000,100221000,74710000,85298000
84,CAPEX,- -,- -,- -,- -,-3100000,-5200000,-4000000,-12500000,-109300000,-8200000,-4600000,-9800000,-8600000,-14900000,-20300000,-16189000,-14148000,-10308000,-12150000,-17948000,-14690000,-39207000,-14767000,-34355000,-20831000,-12813000,-16351000,-8886000,-15752000,-10704000,-15534000,-16090000,-16673000,-27612000,-20258000,-17970000,-31426000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74293000,- -,- -,- -,-218229000,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-5300000,-15900000,- -,-86400000,-22900000,-72400000,-45300000,-83100000,-373900000,-476900000,-356600000,-235315000,-308170000,-297446000,-115401000,-106036000,-16772000,-35663000,-59132000,-33977000,-11331000,-12203000,-42486000,-42010000,-71824000,-58449000,-66046000,-86404000,-94453000,-82755000,-71157000,-112999000,-111244000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,41000000,52800000,61100000,81700000,35400000,40500000,350800000,457000000,349900000,259330000,302563000,282450000,77168000,178174000,46350000,62223000,28914000,61258000,17511000,8208000,7680000,10461000,39613000,38309000,71908000,50610000,101806000,65857000,76406000,116943000,48257000
88,Other Investing Activites,- -,- -,- -,- -,300000,100000,-68400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6984000,23673000,1640000,-34355000,-20831000,-12813000,-16351000,-8886000,-15752000,-10480000,-14385000,-16090000,-16696000,-27612000,-20258000,5557000,-28912000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8100000,-21000000,-31400000,-46100000,-71100000,1100000,-14500000,-52400000,-31700000,-34800000,-27000000,-66467000,-19755000,-25304000,-50383000,-164039000,21872000,11026000,-43345000,-7074000,-14651000,-16808000,-51157000,-40435000,-47963000,-30459000,-8523000,-51884000,-9343000,-44510000,-15009000,9501000,-91899000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-403000,-133000,-2788000,-2289000,-2549000,-3193000,-3883000,-3618000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14400000,-13500000,-26900000,-32945000,-1932000,-32314000,-40096000,-16407000,-17248000,-30694000,-27300000,-21109000,-20723000,-22881000,-18190000,-23803000,-23143000,-25020000,-33004000,-29093000,-34133000,-19317000,-34116000,-32055000,-30184000
93,Dividends Paid,- -,- -,- -,- -,-2200000,-2300000,-2500000,-3000000,-3700000,-4500000,-5300000,-6200000,-7300000,-9200000,-11300000,-13091000,-14168000,-14610000,-14410000,-14877000,-15132000,-17264000,-17542000,-17557000,-17825000,-18130000,-18407000,-52431000,-14282000,-19241000,-20775000,-22266000,-22621000,-22978000,-23460000,-23810000,-24136000
94,Other Financing Activites,- -,- -,- -,- -,-9400000,-1000000,-800000,7700000,42400000,-22500000,100000,-20000000,- -,100000,- -,- -,- -,- -,- -,92000000,-59999000,-32001000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2760000,2162000,2491000,3582000,3902000,3792000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-11600000,-3300000,-3300000,4700000,38700000,-27000000,-5200000,-26200000,-21700000,-22600000,-38200000,-46036000,-16100000,-46924000,-54506000,60716000,-92379000,-79959000,-44842000,-38666000,-38548000,-41011000,-36597000,-76234000,-37425000,-44664000,-53912000,-51387000,-56881000,-42353000,-57187000,-55846000,-54146000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1821000,-2601000,-2279000,420000,501000,28000,-449000,-283000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,-27622000,45650000,-1025000,-21423000,-27095000,12017000,-13277000,1877000,11302000,22082000,24986000,-37364000,-14750000,24421000,11825000,26037000,-7000000,-22831000,14567000,28053000,27916000,-61030000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88500000,60882000,106532000,105507000,84084000,56989000,69006000,55729000,57606000,68908000,90990000,115976000,78612000,63862000,88283000,100108000,126145000,119145000,96314000,111287000,139340000,167256000,106226000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5400000,1800000,4200000,5400000,1000000,2000000,16500000,47500000,45700000,60400000,80700000,88504000,60882000,106532000,105507000,84084000,56989000,69006000,55729000,57606000,68908000,90990000,115976000,78612000,63862000,88283000,100108000,126145000,119145000,96720000,111287000,139340000,167256000
100,Free Cash Flow,- -,- -,- -,- -,13100000,21500000,31800000,24500000,-75900000,32300000,46300000,66900000,59600000,62800000,52600000,68692000,67357000,60895000,71316000,58280000,67834000,16449000,75297000,22687000,54450000,69992000,34039000,93033000,94057000,78065000,75539000,82460000,26300000,73317000,79963000,56740000,53872000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/0000912057-96-005445-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/000104746903010353/0001047469-03-010353-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746904007970/0001047469-04-007970-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746905006676/0001047469-05-006676-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746906003397/0001047469-06-003397-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465907014891/0001104659-07-014891-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465908013904/0001104659-08-013904-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465909013455/0001104659-09-013455-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465910010655/0001104659-10-010655-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465911011443/0001104659-11-011443-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465912014416/0001104659-12-014416-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465913016402/0001104659-13-016402-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465914014392/0001104659-14-014392-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837015000212/0001558370-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837016003574/0001558370-16-003574-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837017001046/0001558370-17-001046-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837018001364/0001558370-18-001364-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837019001395/0001558370-19-001395-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837020001773/0001558370-20-001773-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837021002125/0001558370-21-002125-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837022002480/0001558370-22-002480-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
