,https://roic.ai/company/CTG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,16900000,4200000,11000000,6100000,-900000,22200000,33600000,21000000,34000000,21800000,18146000,-1010000,4554000,9491000,-2013000,-16186000,28788000,5195000,16607000,3945000,9165000,8605000,21156000,18991000,6708000,-4685000,2055000,9230000,-303000,8530000,30738000,7411000
84,CAPEX,- -,- -,- -,- -,- -,-5800000,-7600000,-4300000,-5400000,-4200000,-5400000,-3600000,-4800000,-5000000,-91200000,-5052000,-4204000,-1849000,-1689000,-1841000,-3422000,-1830000,-2142000,-3148000,-3079000,-2016000,-1948000,-1872000,-3952000,-3093000,-1901000,-2187000,-2509000,-2245000,-2442000,-2885000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2488000,- -,- -,- -,- -,-13782000,-8461000,-4324000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-400000,-5900000,-5200000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-141000,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2600000,- -,4400000,4800000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-22700000,-3200000,-600000,-600000,16700000,- -,1500000,- -,- -,- -,30000,88000,22000,2283000,15000,92000,6000,193000,19000,18000,65000,-91000,-108000,-1955000,-1574000,-107000,-928000,-1629000,3148000,-1287000,1121000,-2471000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-25900000,-11200000,-6400000,-6400000,18700000,-5400000,-2100000,-4800000,-5000000,-91200000,-5022000,-4116000,-1827000,594000,-1826000,-3330000,-1824000,-1140000,-3270000,-3131000,-1951000,-1675000,-1980000,-6709000,-2984000,-1367000,-2593000,-3186000,-12645000,-11521000,-4983000,-2471000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-687000,- -,-321000,- -,- -,- -,- -,-22827000,- -,-60910000,-135181000,-169270000,-46135000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,4100000,4000000,3500000,3000000,1400000,6700000,2800000,5400000,6900000,3400000,1986000,634000,355000,266000,322000,372000,661000,574000,121000,832000,178000,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-12000000,- -,-1000000,-700000,-19900000,-4900000,-3100000,-37000000,-2500000,-9900000,-125000,-6000,-6000,- -,- -,- -,-2185000,-4415000,-5713000,-4045000,-2993000,-3601000,-4591000,-7343000,-7432000,-1406000,-1244000,-6159000,-14945000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-500000,-500000,-500000,-1100000,-900000,-800000,-900000,-800000,-800000,-800000,-810000,- -,- -,- -,- -,-1395000,- -,- -,- -,- -,- -,- -,- -,-2274000,-3422000,-3624000,-2890000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,14700000,-600000,-5200000,-3000000,1400000,-7000000,-5800000,-200000,- -,31300000,-21680000,5812000,-7015000,-8497000,2556000,19158000,-23423000,-1065000,933000,1124000,1023000,4347000,3276000,2554000,3104000,4890000,3637000,61579000,164738000,171064000,40450000,-1074000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,6300000,2900000,-3200000,-1800000,-18000000,-6000000,-7000000,-32600000,3600000,24000000,-20629000,6440000,-6666000,-8231000,2878000,18135000,-24947000,-4906000,-5346000,-2089000,-2113000,1020000,-1315000,-7063000,-7750000,-22967000,-497000,-5490000,14612000,1794000,-5685000,-1074000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,300000,-300000,-200000,-100000,-100000,600000,400000,-200000,200000,-1600000,-617000,-514000,646000,611000,252000,-551000,493000,383000,-1308000,725000,-687000,-373000,339000,394000,-1339000,-1042000,-359000,1209000,-403000,-453000,2014000,-1147000
97,Net Change In Cash,- -,- -,- -,- -,- -,6300000,2900000,-3200000,-1800000,-18000000,-6000000,-7000000,-32600000,3600000,-47000000,-8122000,800000,-3293000,2465000,-709000,-1932000,2510000,-468000,6683000,-550000,4414000,7577000,18200000,5613000,-5365000,-30061000,-1394000,1763000,1261000,-1650000,22084000,2719000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,2562000,3362000,69000,2534000,4488000,2556000,4758000,4290000,10973000,10423000,14837000,22414000,40614000,46227000,40862000,10801000,9407000,11170000,12431000,10781000,32865000,35584000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,13400000,10900000,6300000,7600000,5400000,5100000,16500000,41500000,25000000,57700000,10684000,2562000,3362000,69000,5197000,4488000,2248000,4758000,4290000,10973000,10423000,14837000,22414000,40614000,46227000,40862000,10801000,9407000,11170000,12431000,10781000,32865000
100,Free Cash Flow,- -,- -,- -,- -,- -,11100000,-3400000,6700000,700000,-5100000,16800000,30000000,16200000,29000000,-69400000,13094000,-5214000,2705000,7802000,-3854000,-19608000,26958000,3053000,13459000,866000,7149000,6657000,19284000,15039000,3615000,-6586000,-132000,6721000,-2548000,6088000,27853000,7411000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015296001180/0000950152-96-001180-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015299002907/0000950152-99-002907-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000119312507048465/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312508051447/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312509037577/0001193125-09-037577-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312510040960/0001193125-10-040960-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312511047412/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312512078045/0001193125-12-078045-index.html,https://www.sec.gov/Archives/edgar/data/23111/000144530513000296/0001445305-13-000296-index.html,https://www.sec.gov/Archives/edgar/data/23111/000002311114000003/ctg201310-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311115000002/ctg201410-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311116000014/0000023111-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459017002360/0001564590-17-002360-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459018005661/0001564590-18-005661-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459019008025/0001564590-19-008025-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459020010768/0001564590-20-010768-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459021012830/0001564590-21-012830-index.htm,https://www.sec.gov/Archives/edgar/data/23111/000156459022010168/0001564590-22-010168-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
