,https://roic.ai/company/XRAY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128500000,113500000,107700000,128100000,138500000,157316000,125726000,175256000,389768000,651802000,288809000,406758000,669611000,589900000,773240000,954954000,288830000,183316000,347397000,553378000,720700000,1111600000,1048000000,874700000,1004400000,474000000,17000000
82,Other Non-Cash Items,- -,- -,-1200000,- -,- -,-1000000,-1700000,-200000,-1100000,-47600000,-134800000,5900000,-5100000,23100000,-24500000,-19818000,60377000,-62339000,-208775000,-265294000,591566000,-170946000,-210667000,44233000,-176755000,-171627000,797493000,88136000,-180867000,-138330000,-85422000,-447600000,1994900000,1394300000,-111400000,931400000,20000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2600000,4600000,6800000,29000000,63800000,67500000,83200000,94300000,93700000,121300000,145622000,211068000,172983000,257992000,306259000,232769000,271855000,387697000,335981000,362489000,362324000,393469000,369685000,417846000,560401000,497400000,563400000,601900000,499800000,632800000,635000000,657000000
84,CAPEX,- -,- -,- -,- -,- -,-300000,-900000,-1300000,-10800000,-13800000,-17600000,-23800000,-108900000,-139900000,-36700000,-28425000,-49337000,-57454000,-78993000,-56257000,-45293000,-52614000,-65828000,-78917000,-56495000,-45842000,-74254000,-95401000,-101421000,-105767000,-72000000,-126100000,-151000000,-188000000,-122900000,-87000000,-142000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14995000,-812523000,-49805000,-15038000,-17165000,-18097000,-32083000,-101492000,-117300000,-2986000,-35556000,-1787516000,-4861000,-66247000,-2041000,-54000000,-335700000,-145900000,-130500000,8400000,-1077000000,-220000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-285412000,-138471000,-166208000,- -,- -,- -,-14221000,-104880000,-98743000,-6300000,-23900000,-2500000,-6100000,- -,-1000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23506000,- -,- -,285638000,73000,314025000,222000,- -,6000,- -,10784000,68343000,30700000,20100000,6500000,62100000,41300000,58000000,2000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-10700000,-40800000,-800000,-2900000,43800000,-68300000,-74900000,-2300000,-2500000,1200000,-1208000,645000,22757000,2959000,99180000,20918000,8180000,6327000,-78321000,-50635000,-93934000,-99332000,-95939000,-99888000,-106252000,-25300000,399500000,-144500000,-178800000,-118100000,-87000000,-140000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-9500000,-41700000,-2100000,-13700000,30000000,-85900000,-98700000,-111200000,-142400000,-35500000,-44628000,-861215000,-84502000,-67566000,25758000,-42472000,-76291000,-299391000,-47804000,-53399000,-129490000,-1886842000,-115021000,-260231000,-138693000,-54900000,60000000,-286400000,-253300000,-68400000,-1106000000,-358000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226147000,-65868000,-242137000,-251932000,-228912000,-251383000,-301030000,-269700000,-921600000,-16700000,-9400000,-319700000,-701000000,-297000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,12500000,22500000,123000000,4300000,10500000,1500000,7700000,6200000,4900000,7425000,8017000,9053000,16871000,45318000,31776000,53611000,45594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,-1300000,-2700000,-42700000,-3800000,-900000,-42000000,-3900000,-40092000,-875000,- -,- -,-37703000,-164760000,-293772000,-125422000,-112634000,-78718000,-223993000,-79500000,-38837000,-118024000,-163192000,-112700000,-813900000,-401400000,-250200000,-260000000,-140000000,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-8100000,-8900000,-10200000,-11000000,-11900000,-13004000,-14228000,-14358000,-14999000,-15823000,-19141000,-21863000,-25134000,-26952000,-29836000,-29077000,-28632000,-31425000,-34874000,-37387000,-40000000,-64600000,-78300000,-78600000,-80900000,-88000000,-92000000
94,Other Financing Activites,- -,- -,- -,- -,- -,5700000,24700000,-20900000,-120400000,-102600000,54300000,30500000,27100000,98200000,-72100000,-53438000,631986000,-94064000,-62645000,-7863000,-60246000,-350545000,108205000,136647000,103002000,393806000,1362445000,43565000,242596000,165426000,119500000,1273900000,95600000,88400000,194500000,1419000000,210000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,5700000,37100000,1600000,1300000,-103100000,14000000,19300000,23700000,51400000,-83000000,-99109000,624900000,-99369000,-60773000,-16071000,-212371000,-612569000,3243000,-229086000,-71420000,-101401000,1002381000,-255609000,-161685000,-336183000,-302900000,-526200000,-400800000,-249800000,-466100000,490000000,-379000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-1500000,1100000,-2100000,-2600000,-3900000,-4200000,2130000,-3005000,2830000,10261000,26816000,-49770000,48085000,12771000,-24484000,8687000,-41743000,28082000,3949000,-1108000,-8840000,-6600000,2100000,22000000,-7700000,-3000000,14000000,-19000000
97,Net Change In Cash,- -,- -,- -,- -,- -,5700000,37100000,1600000,1300000,-103100000,- -,- -,- -,- -,-1400000,4015000,18277000,-8058000,138103000,342614000,-71844000,-368920000,104320000,34607000,246357000,89690000,-462910000,3004000,-5178000,76685000,133000000,99300000,-63300000,-11000000,95300000,33000000,-99000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,15433000,33710000,25652000,163755000,506369000,434525000,65064000,169384000,203991000,450348000,540038000,77128000,80132000,74954000,151639000,284600000,383900000,320600000,309600000,404900000,438000000,339000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1200000,100000,- -,3500000,18000000,7300000,4000000,5600000,9800000,8700000,11418000,15433000,33710000,25652000,163755000,506369000,433984000,65064000,169384000,203991000,450348000,540038000,77128000,80132000,74954000,151600000,284600000,383900000,320600000,309600000,405000000,438000000
100,Free Cash Flow,- -,- -,- -,- -,- -,2300000,3700000,5500000,18200000,50000000,49900000,59400000,-14600000,-46200000,84600000,117197000,161731000,115529000,178999000,250002000,187476000,219241000,321869000,257064000,305994000,316482000,319215000,274284000,316425000,454634000,425400000,437300000,450900000,311800000,509900000,548000000,515000000
101,SEC Link,undefined,undefined,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847905000019/0000818479-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847907000017/0000818479-07-000017-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847908000032/0000818479-08-000032-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847909000034/0000818479-09-000034-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420410009164/0001144204-10-009164-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420411009910/0001144204-11-009910-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000144530512000446/0001445305-12-000446-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847913000008/0000818479-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847914000004/0000818479-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847915000005/0000818479-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847916000056/0000818479-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847917000007/0000818479-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847918000014/0000818479-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847919000010/0000818479-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847920000006/0000818479-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847921000007/0000818479-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847922000015/0000818479-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
