,https://roic.ai/company/CNMD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,200000,-18800000,-4400000,12200000,-3900000,-30000000,-29200000,17400000,-29500000,-40600000,-25080000,83076000,-113242000,-23200000,-3424000,-63976000,78222000,-50870000,-56520000,-59985000,29130000,14904000,-8636000,-52856000,-26123000,-58634000,33954000,-7140000,-46683000,-7148000,-33665000,14842000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,5200000,1400000,3600000,5700000,8300000,5100000,25900000,31800000,21000000,37000000,35950000,77149000,44923000,58010000,74840000,42434000,64572000,65894000,61149000,25028000,38243000,102993000,95199000,80949000,65176000,48068000,38222000,65566000,74701000,95133000,64531000,111770000
84,CAPEX,- -,- -,- -,- -,-3300000,-1700000,-5100000,-1500000,-2200000,-5200000,-4900000,-8200000,-44800000,-49900000,-14050000,-14443000,-13384000,-9309000,-12419000,-16242000,-21895000,-20910000,-35879000,-21444000,-14732000,-17552000,-21532000,-18445000,-15411000,-15009000,-14753000,-12842000,-16507000,-20066000,-13013000,-14866000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6042000,- -,-17375000,-55079000,-81645000,-372000,-2466000,-5933000,-22023000,-330000,-5289000,-4191000,-86253000,- -,-5265000,-9353000,-256450000,-16212000,- -,-367596000,-3852000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-3200000,100000,-21800000,-2000000,-9500000,-31700000,-395300000,- -,- -,- -,- -,- -,-4085000,- -,- -,- -,- -,- -,- -,- -,- -,1836000,- -,- -,- -,5178000,- -,- -,- -,3227000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-3300000,-8900000,-900000,-23300000,-4200000,-14700000,-36600000,-403500000,-44800000,-49900000,-20092000,-14443000,-30759000,-68473000,-94064000,-16614000,-23156000,-26843000,-57902000,-21774000,-20021000,-21743000,-105949000,-18445000,-20676000,-24362000,-266025000,-29054000,-16507000,-387662000,-13638000,-14866000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22707000,-11771000,-5107000,-114010000,-54657000,-1277000,-1140000,-1234000,-172436000,-167202000,-182699000,-639148000,-225250000,-460407000
91,Common Stock Issued,- -,- -,- -,- -,100000,16900000,600000,13500000,100000,3300000,66000000,700000,1100000,1600000,449000,1830000,71140000,3200000,15200000,16998000,2731000,11355000,7347000,1198000,2452000,6117000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,-2000000,- -,-29989000,-45374000,-7848000,- -,- -,- -,-22977000,-15021000,-3923000,-50556000,-16862000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12862000,-16696000,-21959000,-22105000,-22213000,-22307000,-22443000,-22600000,-22818000,-23256000
94,Other Financing Activites,- -,- -,- -,- -,-2100000,-5100000,-100000,-1500000,-2500000,4300000,-36700000,364700000,15200000,9100000,-15921000,-65423000,-80055000,5254000,30292000,6042000,-38982000,-46760000,10008000,6886000,10026000,56215000,82795000,37233000,13571000,13566000,378851000,154628000,132877000,962629000,196009000,382115000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2000000,11800000,500000,12000000,-2400000,7600000,29300000,365000000,16300000,10700000,-15472000,-63593000,-10915000,8454000,15503000,-22334000,-44099000,-35405000,-5352000,-3687000,-15606000,-66699000,11353000,-31296000,-26390000,-9773000,184202000,-34881000,-72265000,300881000,-52059000,-101548000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-663000,-1181000,975000,2369000,1924000,-4221000,3060000,4218000,2221000,-1280000,-297000,-920000,-2931000,-485000,-6221000,-7761000,-1475000,3563000,-1040000,-7000,2666000,-1865000
97,Net Change In Cash,- -,- -,- -,- -,-2000000,11800000,500000,12000000,-2400000,7600000,29300000,365000000,16300000,-2200000,-277000,-2068000,4224000,360000,-1797000,-735000,377000,7864000,116000,-1713000,2319000,13631000,-2328000,30723000,11889000,6172000,-45076000,5194000,-15111000,8345000,1500000,-6509000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3700000,3470000,1402000,5626000,5986000,4189000,3454000,3831000,11695000,11811000,10098000,12417000,26048000,23720000,54443000,66332000,72504000,27428000,32622000,17511000,25856000,27356000,20847000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,200000,4500000,7600000,2000000,3600000,1500000,20200000,13500000,5900000,3747000,3470000,1402000,5626000,5986000,4189000,3454000,3831000,11695000,11811000,10098000,12417000,26048000,23720000,54443000,66332000,72504000,27428000,32622000,17511000,25856000,27356000
100,Free Cash Flow,- -,- -,- -,- -,1900000,-300000,-1500000,4200000,6100000,-100000,21000000,23600000,-23800000,-12900000,21900000,62706000,31539000,48701000,62421000,26192000,42677000,44984000,25270000,3584000,23511000,85441000,73667000,62504000,49765000,33059000,23469000,52724000,58194000,75067000,51518000,96904000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/0000914317-95-000125-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431796000058/0000914317-96-000058-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/000091431705000930/0000914317-05-000930-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431706000770/form10k-74773_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431707000529/form10k-82160_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431708000611/form10k.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431709000511/0000914317-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431710000357/0000914317-10-000357-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431711000319/form10k-113048_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695612000007/0000816956-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695613000003/0000816956-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695614000003/cnmd10k2013.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695615000003/cnmd10k2014.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695616000013/0000816956-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695617000002/0000816956-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695618000003/0000816956-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695619000003/0000816956-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695620000003/0000816956-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695621000003/0000816956-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695622000004/0000816956-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
