,https://roic.ai/company/JCS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,-4900000,-4000000,- -,-4500000,2300000,- -,-1200000,-2200000,-4200000,-1400000,-40300000,400000,-19200000,14900000,1400000,-21792529,989795,1059174,-7653823,1024544,-3842691,-3128096,41788,502315,15736758,-10690684,-1000543,39307,22044,19841436,14519216,7465845,19461641,5455072,-5049464,5408194,21429027
83,Cash Provided by Operating Activities,- -,- -,- -,- -,4000000,3900000,4600000,5300000,4200000,7100000,7000000,10600000,7500000,14000000,11200000,162302,11633657,7451783,4572268,14630525,4660158,6641434,10592053,10222717,17637121,9725826,14066513,200170,773323,12172077,840292,1215361,3649920,-4722732,10231136,-4683529,- -
84,CAPEX,- -,- -,- -,- -,-800000,-1600000,-1100000,-2000000,-2500000,-3900000,-3000000,-2000000,-2900000,-3400000,-2200000,-2276790,-984369,-1740220,-714591,-1976748,-3202701,-2474650,-4670255,-2462145,-3237558,-1794422,-2755991,-2607958,-2699347,-5577039,-2394261,-2286027,-773367,-763627,-424988,-249727,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8127751,- -,-2801683,- -,- -,- -,- -,- -,- -,-3138367,- -,- -,- -,-917363,- -,- -,- -,- -,-4797919,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-100000,-2300000,- -,-5400000,- -,-100000,-1400000,-100000,- -,-5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34841042,-20339715,-20884014,-15010778,-4401321,-12682351,- -,- -,-6043715,-6580917,-18673530,-18665534,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2200000,300000,- -,- -,900000,1100000,7300000,1000000,- -,- -,- -,- -,104057,- -,- -,- -,- -,16099000,12808642,23635385,20456039,12794000,6160000,4648965,5746633,6303681,12122722,8972087,18506198,- -
88,Other Investing Activites,- -,- -,- -,- -,600000,-300000,100000,600000,-1700000,500000,400000,3400000,-4500000,-8500000,-3400000,924806,6076174,2944214,-493145,53396,632492,1045881,2185898,396857,-3130886,-1766639,-2733436,-2409849,-2617269,-5525966,-2336337,-1311167,-553479,-729864,4479468,8887486,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-200000,-2000000,-3300000,800000,-9300000,-3400000,-2700000,900000,-6400000,-4600000,-10400000,-1351984,5091805,-6923757,-1207736,-4620978,-2570209,-1428769,-2484357,-2065288,-21872928,-9297712,-3120432,3035412,5775410,-12048317,1395265,4435466,-293513,4811941,-5221975,3930231,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348373,-372926,-399209,-427345,-457464,-489706,-4424220,-4997649,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,600000,1300000,1000000,600000,700000,500000,2000000,600000,2200000,800000,500000,3944143,83146,202288,135392,2407970,991269,731804,995565,376218,170626,307810,257255,297664,310857,246119,145516,132747,97045,75700,715410,118914,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-300000,-800000,-200000,- -,- -,- -,-200000,-3300000,- -,-13300000,-3400000,-2746281,-3224897,-1192872,-97948,-8480,-133202,-756236,-4041719,-3222497,-53117,- -,- -,-757951,- -,- -,- -,- -,- -,- -,-1422248,-354900,- -
93,Dividends Paid,- -,- -,- -,- -,-1000000,-1000000,-1200000,-1500000,-1700000,-2000000,-2400000,-2800000,-3100000,-3500000,-3500000,-3490761,-2553858,- -,-1306550,-1398434,-2307164,-2971062,-3685673,-4132815,-4332666,-4858484,-5064811,-6734466,-4099087,-5571672,-5621665,-4628402,-1458298,-1492871,-743276,-563882,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-1100000,300000,-500000,-100000,- -,-300000,- -,- -,9000000,- -,58403,-101438,-2000000,-7000000,- -,- -,72663,-852252,-282925,467,34981,21920,-302261,-144776,-485245,3894288,4594046,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-700000,-1600000,-100000,-1400000,-1100000,-1500000,-900000,-5500000,-900000,-7000000,-6400000,-2234496,-5797047,-2990584,-8269106,1001056,-1449097,-2922831,-7584079,-7262019,-4563063,-4888619,-5184845,-7924359,-4390470,-6300504,-6006081,-4899258,-1361253,-1417171,-1450114,-799868,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,100000,-100000,100000,-100000,-92103,-9906,39003,29500,-109277,177101,-199195,153090,-371728,140757,-45385,-33084,42779,31145,-145519,-153596,-121032,15235,-69275,-7963,38140,- -
97,Net Change In Cash,- -,- -,- -,- -,-700000,-1600000,-100000,-1400000,-1100000,-1500000,-900000,-5500000,-900000,-7000000,-5600000,-3516281,10918509,-2423555,-4875074,10901326,817953,2090639,676707,523682,-8658113,-4505890,5728152,-4645998,2189408,-6322263,-3924120,630537,2010389,-1397237,3551084,-1515026,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800000,11321374,22239883,19816328,14941254,25842580,26660533,28751172,29427879,29951561,21293448,16787558,22515710,17869712,20059120,13736857,9812737,10443274,12453663,11056426,14607510,13092484,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,3800000,6900000,7100000,8300000,12800000,6600000,8800000,11700000,17900000,17900000,20400000,14837655,11321374,22239883,19816328,14941254,25842580,26660533,28751172,29427879,29951561,21293448,16787558,22515710,17869712,20059120,13736857,9812737,10443274,12453663,11056426,14607510,13092484
100,Free Cash Flow,- -,- -,- -,- -,3200000,2300000,3500000,3300000,1700000,3200000,4000000,8600000,4600000,10600000,9000000,-2114488,10649288,5711563,3857677,12653777,1457457,4166784,5921798,7760572,14399563,7931404,11310522,-2407788,-1926024,6595038,-1553969,-1070666,2876553,-5486359,9806148,-4933256,- -
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22701/000002270196000002/0000022701-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270197000001/0000022701-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270198000001/0000022701-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270199000002/0000022701-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000002270101000001/0000022701-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270102000001/0000022701-02-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465904008711/a04-3963_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465906020685/a06-8005_110k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710107001115/comsys072122_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710108000744/csi081443_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710109000596/0000897101-09-000596-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710110000581/0000897101-10-000581-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710111000407/csi111322_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710112000451/0000897101-12-000451-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710113000372/0000897101-13-000372-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710114000329/csi140930_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710115000326/csi150952_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710116002004/0000897101-16-002004-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710117000402/0000897101-17-000402-index.html,https://www.sec.gov/Archives/edgar/data/22701/000138713118001457/csi180866_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710119000179/0000897101-19-000179-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710120000165/0000897101-20-000165-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710121000260/0000897101-21-000260-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000002270122000004/0000022701-22-000004-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
