,https://roic.ai/company/VMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-13300000,200000,6300000,6900000,-10000000,11300000,-9700000,-16300000,-7700000,4100000,-8500000,-40894000,35714000,-10172000,8999000,-48889000,24892000,-28621000,-13644000,-83408000,107245000,22321000,-118866000,-13613000,13431000,21458000,3296000,-11461000,-57442000,-13774000,12313000,-21888000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9989000,-19718000,-872000,42637000,-6249000,12448000,-34321000,-6805000,104000,39405000,-1486000,-21410000,33044000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,80900000,81000000,81400000,94400000,99400000,98600000,145600000,145600000,154100000,169600000,277444000,229161000,277800000,350600000,475200000,458600000,747300000,844873000,1013500000,1161200000,995727000,860298000,903368000,1069567000,931605000,918445000,881322000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,2700000,-15300000,21100000,-300000,-17400000,-62000000,-8700000,-16600000,-43600000,-10400000,16400000,-96686000,46815000,-6589000,-15816000,-162521000,105120000,-76523000,-90807000,-244256000,156811000,-302714000,-171739000,-285397000,-103566000,54284000,264333000,-65797000,-272141000,105059000,69214000,116355000,62470000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,43100000,10700000,23900000,25000000,-2100000,45400000,28600000,19800000,23300000,42000000,63900000,10984000,109839000,69453000,59781000,6147000,133777000,59130000,110249000,52575000,349520000,152220000,149671000,197097000,396442000,174096000,272267000,219168000,145716000,153008000,307614000,316294000,65938000
84,CAPEX,- -,- -,- -,- -,-18400000,-23600000,-11400000,-10300000,-16300000,-25000000,-34800000,-36900000,-39100000,-59100000,-40600000,-46456000,-25652000,-13942000,-17679000,-17182000,-35119000,-27898000,-56610000,-50879000,-44129000,-36092000,-83069000,-97074000,-106753000,-73023000,-45468000,-57920000,-55266000,-71985000,-97425000,-106700000,-107790000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63173000,-34079000,- -,- -,-125446000,- -,-3861000,-22637000,-142884000,- -,-237670000,2167000,-45687000,-63152000,-185710000,-12778000,- -,-5362000,-143020000,-88010000,-17145000,-312500000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4824000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,- -,- -,8300000,319000,63000,- -,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-10800000,-8500000,-6400000,1800000,49300000,2600000,2100000,-500000,29100000,2300000,200000,-483000,-2052000,216000,-3513000,-8045000,4765000,-152000,8207000,-852000,534000,11049000,-3161000,6069000,38184000,1870000,10075000,4871000,11013000,59560000,17285000,19816000,2982000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-29200000,-32100000,-17800000,-8500000,33000000,-22400000,-31000000,-37400000,-10000000,-56800000,-32100000,-109793000,-61720000,-13726000,-21116000,-150673000,-30354000,-36735000,-71040000,-194615000,-43595000,-262713000,-84063000,-136692000,-131721000,-256863000,-48171000,-53049000,-49615000,-155445000,-168150000,-104029000,-417308000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75474000,-195621000,-183285000,-271245000,-39564000,-591000,-357858000,-69098000,-2006000,-887000,-262191000,-10768000,-129611000,-111554000
91,Common Stock Issued,- -,- -,- -,- -,1000000,1100000,300000,400000,1400000,700000,1200000,2100000,3100000,3300000,600000,2573000,1256000,8591000,1192000,6305000,14099000,29230000,10046000,7530000,4942000,4464000,20008000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2500000,- -,-100000,-900000,-1000000,-500000,-1700000,-3300000,-56300000,-22800000,-3969000,-1559000,-21148000,-3966000,-2701000,-9912000,-34583000,-9887000,-8504000,-4067000,-4136000,-24892000,- -,- -,-395045000,-168983000,-53800000,- -,-114805000,-62915000,-56491000,-26100000
93,Dividends Paid,- -,- -,- -,- -,-2200000,-2900000,-2900000,-3000000,-3200000,-3500000,-3600000,-4800000,-5800000,-6600000,-6300000,-6056000,-6308000,-6758000,-7414000,-7654000,-8040000,-9088000,-10305000,-12251000,-14695000,-29659000,-23185000,-21520000,-25414000,-32443000,-35357000,-34053000,-33862000,-33726000,-32642000,-36930000,-41412000
94,Other Financing Activites,- -,- -,- -,- -,600000,18000000,-7000000,-8300000,-26900000,-3600000,-7900000,14400000,-5300000,70400000,4900000,115360000,-38918000,-39992000,-16254000,143791000,-89976000,7495000,9936000,197990000,11041000,482301000,253403000,44729000,-11375000,645590000,53433000,-5299000,2739000,248612000,7375000,49276000,312566000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-600000,13700000,-9600000,-11000000,-29600000,-7400000,-10800000,10000000,-11300000,10800000,-23600000,107908000,-45529000,-59307000,-26442000,139741000,-93829000,-6946000,-210000,109291000,-198400000,269685000,-45911000,-16355000,-37380000,-139756000,-220005000,-95158000,-32010000,-162110000,-98950000,-173756000,133500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-859000,-1244000,-1428000,1608000,1650000,-180000,1188000,4029000,-5216000,4694000,6926000,-3707000,7185000,-27764000,-19604000,-26596000,-20087000,28766000,-15048000,-182000,8675000,-5624000
97,Net Change In Cash,- -,- -,- -,- -,-600000,13700000,-9600000,-11000000,-29600000,-7400000,-10800000,10000000,-11300000,10800000,7300000,8240000,1346000,-5008000,13831000,-3135000,9414000,16637000,43028000,-37965000,112219000,166118000,15990000,51235000,199577000,-242127000,-22505000,50874000,92857000,-179595000,40332000,47184000,-223494000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,23176000,24522000,19514000,33345000,30210000,46867000,63504000,106532000,68567000,180786000,346904000,362894000,414129000,613706000,371579000,349074000,399948000,492805000,313210000,353542000,400726000,177232000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7100000,20500000,10900000,7300000,12700000,14000000,30100000,17000000,9500000,11500000,7600000,14936000,23176000,24522000,19514000,33345000,37453000,46867000,63504000,106532000,68567000,180786000,346904000,362894000,414129000,613706000,371579000,349074000,399948000,492805000,313210000,353542000,400726000
100,Free Cash Flow,- -,- -,- -,- -,24700000,-12900000,12500000,14700000,-18400000,20400000,-6200000,-17100000,-15800000,-17100000,23300000,-35472000,84187000,55511000,42102000,-11035000,98658000,31232000,53639000,1696000,305391000,116128000,66602000,100023000,289689000,101073000,226799000,161248000,90450000,81023000,210189000,209594000,-41852000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102729/000010272995000005/0000102729-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272996000020/0000102729-96-000020-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272997000007/0000102729-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272998000004/0000102729-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746999011029/0001047469-99-011029-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102729/000104746903010763/0001047469-03-010763-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746904007232/0001047469-04-007232-index.html,- -,https://www.sec.gov/Archives/edgar/data/102729/000110465906016322/a06-1899_110k.htm,https://www.sec.gov/Archives/edgar/data/102729/000110465907014217/a07-4532_110k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746908001722/a2182782z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746909001743/0001047469-09-001743-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746910001156/0001047469-10-001156-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746911001183/a2202005z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746912001703/0001047469-12-001703-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746913001680/0001047469-13-001680-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746914001292/a2218400z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746915001179/a2223109z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000010272916000009/0000102729-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/102729/000162828017002033/0001628280-17-002033-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272918000008/0000102729-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272919000003/0000102729-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272920000004/0000102729-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272921000012/0000102729-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/102729/000010272922000008/0000102729-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
