,https://roic.ai/company/ALCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3727000,1253000,2029000,3720000,-2895000,2987000,-1113000,-1530000,3429000
81,Other Working Capital,- -,- -,- -,- -,13100000,18500000,17800000,20700000,22600000,26000000,29800000,32900000,36800000,36500000,44232106,53654239,56724317,79482000,115789000,111158000,92835000,109697000,-20456000,38691000,29529000,17354000,34319000,48304000,96376000,47047000,54377000,50506000,50742000,33026000,30741000,32607000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,1100000,-8600000,-1400000,-2800000,-5400000,-9800000,-15700000,-7000000,-17700000,-7900000,-12932106,-25498218,-17928171,-29003046,-45015000,-6453000,14121000,-23109000,409000,68675000,22097000,12596000,-15620000,-23732000,-64277000,68320000,-2705000,21033000,39739000,23063000,9193000,-33388000,-18415000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,10900000,5800000,8800000,9400000,3900000,6700000,4100000,4000000,1300000,4000000,3700000,2540288,9332853,9535123,11256000,13710000,12054000,9492000,-52925000,13772000,16407000,7113000,16747000,23634000,13426000,27452000,33866000,30357000,28229000,19055000,48832000,1049000,16504000
84,CAPEX,- -,- -,- -,- -,-9700000,-11600000,-12900000,-8000000,-7600000,-7600000,-8300000,-7100000,-5800000,-12200000,-27900000,-9995159,-9427334,-19055110,-7325000,-7280000,-12877000,-33172000,-9138000,-6130000,-6705000,-8203000,-12265000,-15921000,-21424000,-13108000,-11948000,-14305000,2184000,1811000,-20000000,-22163000,-41238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25560000,1770000,-282042000,171000,324000,25000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-100000,-200000,-700000,-1600000,-2900000,-2100000,-1900000,-3800000,-4700000,-5300000,-3500000,-2902598,-3224949,-8173465,-20257000,-21392000,-28351000,-92583000,-55760000,-46863000,-9017000,-12149000,-32000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,100000,300000,400000,2200000,2900000,1600000,1600000,3800000,4400000,3900000,2100000,1967397,2039159,3672516,4958000,5643000,16897000,109992000,58823000,64986000,27142000,6723000,450000,732000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,-100000,400000,500000,400000,2000000,9100000,1300000,13700000,2900000,5200000,16905219,6088453,16495587,18035000,24257000,7944000,13297000,5447000,4441000,2352000,6960000,3754000,22867000,2535000,10000,105591000,1100000,2944000,38774000,15040000,31194000,37970000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9800000,-11600000,-12800000,-6900000,-7200000,-6100000,500000,-5800000,7600000,-10700000,-24100000,5974859,-4524671,-7060472,-4589000,1228000,-16387000,-2466000,-628000,16434000,13772000,-6669000,-8093000,7678000,6671000,-11328000,-188399000,-13034000,-10085000,22447000,-4960000,9489000,-3268000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-99709000,-136329000,-31385000,-144577000,-9561000,-2303000,-136325000,-64920000,-82093000,-37735000,-100131000,-129779000,-72692000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243950,529028,555000,3156000,1024000,134000,16000,31000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3000000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-763000,-1484000,-1196000,-934000,-628000,-1205000,-298000,-2894000,-4844000,-4013000,-3141000,-3064000,-2215000,-25576000,-238000,- -
93,Dividends Paid,- -,- -,- -,- -,-1400000,-1400000,-1100000,-1100000,-1100000,-1100000,-1800000,-2500000,-1100000,-4200000,-3500000,-2108348,-7027827,-7059040,-2482000,-4284000,-7369000,-7370000,-8106000,-8144000,-6095000,-1014000,-737000,-1764000,-2048000,-2781000,-1879000,-1993000,-1987000,-1972000,-1833000,-2466000,-7138000
94,Other Financing Activites,- -,- -,- -,- -,2100000,7700000,5100000,-1200000,4000000,1000000,-2600000,4600000,-7700000,10400000,23700000,-5351200,6404355,7969932,1472000,-5863000,-237000,12654000,72887000,1874000,40983000,129659000,15083000,127319000,5661000,- -,273090000,53882000,65770000,29285000,75246000,117794000,47793000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2300000,5700000,4000000,-2300000,2900000,-100000,-4400000,2100000,-8800000,6200000,20200000,-7459548,-379522,1439920,-455000,-6991000,-6582000,4655000,63313000,-7435000,-65755000,-8312000,-18244000,-19320000,-8842000,-9928000,130873000,-16172000,-21374000,-12637000,-52294000,-14689000,-32037000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,300000,- -,-600000,-200000,1055599,4428660,3914571,6212000,7947000,-10915000,11681000,9760000,22771000,-35576000,-7868000,-9590000,11992000,11255000,6196000,-23660000,1151000,-3230000,28865000,-8422000,-4151000,-18801000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1200000,1400000,1400000,900000,700000,1796428,6225088,10139659,16352000,24299000,13384000,25065000,34825000,54370000,18794000,10926000,1336000,13328000,24583000,30779000,7360000,6625000,3395000,32260000,23838000,19687000,886000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2000000,900000,700000,600000,900000,500000,1000000,1100000,1400000,1500000,900000,740829,1796428,6225088,10140000,16352000,24299000,13384000,25065000,31599000,54370000,18794000,10926000,1336000,13328000,24583000,31020000,5474000,6625000,3395000,32260000,23838000,19687000
100,Free Cash Flow,- -,- -,- -,- -,1200000,-5800000,-4100000,1400000,-3700000,-900000,-4200000,-3100000,-4500000,-8200000,-24200000,-7454871,-94481,-9519987,3931000,6430000,-823000,-23680000,-62063000,7642000,9702000,-1090000,4482000,7713000,-7998000,14344000,21918000,16052000,14876000,2703000,28832000,-21114000,-24734000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000000354595000006/0000003545-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354596000007/0000003545-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354597000006/0000003545-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354598000007/0000003545-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354599000010/0000003545-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354500000007/0000003545-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354501500022/0000003545-01-500022-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354502000031/0000003545-02-000031-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000136231008008222/0001362310-08-008222-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000095012309070551/0000950123-09-070551-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312510280251/0001193125-10-280251-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312511341017/0001193125-11-341017-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109212007249/0000891092-12-007249-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109213009936/0000891092-13-009936-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109214009303/0000891092-14-009303-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354515000102/0000003545-15-000102-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354516000188/0000003545-16-000188-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354517000091/0000003545-17-000091-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354518000108/0000003545-18-000108-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354519000143/0000003545-19-000143-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459020056379/0001564590-20-056379-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459021059499/0001564590-21-059499-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
