,https://roic.ai/company/DLHC,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,170000,-200000,-100000,-300000,-100000,- -,-800000,-700000,-3100000,-2400000,1000000,- -,3200000,3842000,3937000,1176000,-6806000,-1193000,-2053000,8659000,-1375000,4682000,-2090000,-2244000,-987000,-2782000,1805000,1665000,1983000,6040000,6524000,14077000,18039000,19451000,45665000
84,CAPEX,- -,- -,- -,-120000,-250000,-300000,-100000,-200000,-200000,- -,-200000,-400000,-200000,-400000,-200000,-4700000,-486000,-589000,-2183000,-525000,-19000,-129000,-146000,-246000,-251000,-69000,-194000,-37000,-68000,-9000,-13000,-142000,-498000,-1064000,-654000,-405000,-152000,-103000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3314000,10283000,-727000,- -,- -,-4713000,-2075000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32241000,-250000,- -,-67079000,-32678000,59000
86,Purchases of Investments,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,700000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-20000,520000,- -,900000,- -,-200000,- -,-400000,-1300000,- -,- -,- -,- -,- -,500000,- -,79000,- -,- -,419000,61000,357000,- -,375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-140000,270000,100000,1000000,-200000,-400000,- -,-600000,-1700000,-200000,-400000,-200000,-4700000,-3800000,10194000,-2910000,-446000,-19000,-4842000,-1802000,-185000,106000,-69000,181000,-37000,-68000,-9000,-13000,-142000,-32739000,-1314000,-654000,-67484000,-32830000,-44000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000,-21000,-218000,-262000,-1463000,-1113000,-8000,-94000,-3836000,-11979000,-21708000,-19000000,-23250000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,100000,900000,2400000,- -,200000,100000,200000,300000,- -,4000,3735000,1656000,90000,- -,3955000,- -,- -,- -,- -,- -,146000,3000,- -,- -,- -,2521000,- -,- -,- -,- -,366000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-61000,-366000,-1146000,-782000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-91000,-183000,- -,- -,- -,- -,-211000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-90000,-100000,400000,300000,-600000,-600000,500000,4400000,2400000,- -,600000,2100000,2352000,-7931000,-46000,-182000,-57000,1184000,-6004000,-5000,-167000,-35000,279000,672000,5435000,-14000,52000,- -,22141000,129000,-19000,66588000,32157000,-43000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-90000,-100000,-600000,400000,300000,1700000,500000,4600000,2500000,200000,900000,2000000,2295000,-4562000,464000,-874000,-57000,5139000,-6004000,-5000,-167000,-62000,258000,600000,5176000,-1477000,-1152000,-191000,24568000,-3707000,-11998000,44880000,12946000,-22927000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,40000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,2337000,9569000,-1270000,-8126000,-1269000,-1756000,853000,-1565000,4621000,-2221000,-1805000,-424000,2326000,319000,500000,1650000,-2131000,1503000,1425000,-4565000,-433000,22694000
98,Cash at the End of Period,- -,- -,- -,740000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,4285000,13854000,12455000,4329000,3060000,1304000,2157000,592000,5213000,2992000,1187000,763000,3089000,3408000,3908000,5558000,3427000,4930000,6355000,1790000,1357000,24051000
99,Cash at the Beginning of Period,- -,- -,- -,700000,- -,- -,- -,100000,200000,100000,1000000,200000,- -,- -,800000,1500000,1948000,4285000,13725000,12455000,4329000,3060000,1304000,2157000,592000,5213000,2992000,1187000,763000,3089000,3408000,3908000,5558000,3427000,4930000,6355000,1790000,1357000
100,Free Cash Flow,- -,- -,- -,50000,-450000,-400000,-400000,-300000,-200000,-800000,-900000,-3500000,-2600000,600000,-200000,-1500000,3356000,3348000,-1007000,-7331000,-1212000,-2182000,8513000,-1621000,4431000,-2159000,-2438000,-1024000,-2850000,1796000,1652000,1841000,5542000,5460000,13423000,17634000,19299000,45562000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785557/000095013604004523/0000950136-04-004523-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013605008205/0000950136-05-008205-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013606010475/0000950136-06-010475-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013608000162/0000950136-08-000162-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000136231008008525/0001362310-08-008525-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012310003294/0000950123-10-003294-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012311013827/0000950123-11-013827-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746911009874/0001047469-11-009874-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746912011231/0001047469-12-011231-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555713000040/0000785557-13-000040-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555714000055/0000785557-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555715000042/0000785557-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555716000151/0000785557-16-000151-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828017012307/0001628280-17-012307-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828018015050/0001628280-18-015050-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828019014978/0001628280-19-014978-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555720000016/0000785557-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555721000026/0000785557-21-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
