,https://roic.ai/company/DAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095010994001748/0000950109-94-001748-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014495002692/0000950144-95-002692-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014496006709/0000950144-96-006709-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014497010440/0000950144-97-010440-index.html,https://www.sec.gov/Archives/edgar/data/27904/000104746998035570/0001047469-98-035570-index.html,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095014404002423/0000950144-04-002423-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014405002298/0000950144-05-002298-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014406002765/0000950144-06-002765-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000118811207000582/0001188112-07-000582-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312508032611/0001193125-08-032611-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312509042726/0001193125-09-042726-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012310016275/0000950123-10-016275-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012311014364/0000950123-11-014364-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530512000272/0001445305-12-000272-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530513000209/0001445305-13-000209-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790414000003/0000027904-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/0000027904-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790416000018/0000027904-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790417000004/0000027904-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790418000006/0000027904-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790419000003/0000027904-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790420000004/0000027904-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790421000003/0000027904-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/0000027904-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,302800000,-324400000,-506300000,-1001800000,-409000000,408000000,156000000,854000000,1001000000,1101000000,828000000,-1216000000,-1272000000,-773000000,-5198000000,-3818000000,-6203000000,1612000000,-8922000000,-1237000000,593000000,854000000,1009000000,10540000000,659000000,4526000000,4373000000,3577000000,3935000000,4767000000,-12385000000,516000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-459200000,-465900000,-576600000,-675300000,678000000,622000000,634000000,710000000,861000000,961000000,1187000000,1283000000,1181000000,1230000000,1244000000,1273000000,1276000000,1164000000,1266000000,1536000000,1511000000,1523000000,1565000000,1658000000,1771000000,1835000000,1902000000,2235000000,2329000000,2581000000,2312000000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-4600000,-116600000,-123100000,-211600000,-242000000,96000000,-57000000,240000000,294000000,418000000,396000000,-648000000,-411000000,-416000000,1206000000,-41000000,-765000000,207000000,-119000000,-329000000,9000000,-2000000,17000000,-7991000000,414000000,2581000000,2223000000,2071000000,1364000000,1473000000,-3110000000,115000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,- -,108000000,89000000,72000000,54000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,16200000,-547400000,-526500000,551400000,-1581200000,1693500000,-162100000,-114000000,71000000,-860000000,-1440000000,-181000000,283000000,896000000,-678000000,1550000000,401000000,-981000000,-753000000,62000000,-2022000000,-894000000,-26000000,497000000,87000000,-4056000000,682000000,-2941000000,-1509000000,283000000,13432000000,-6493000000
78,Accounts Receivable,- -,- -,- -,- -,- -,26000000,-106700000,-420900000,198900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,- -,- -,- -,- -,-302000000,-56000000,-147000000,-328000000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-451000000,-87000000,172000000,155000000,-140000000,-397000000,324000000,-139000000,354000000,-318000000
80,Accounts Payable,- -,- -,- -,- -,- -,14300000,116100000,257700000,245300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-359000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,259300000,-288100000,-814600000,-263200000,-1844400000,-150900000,-313000000,-427000000,-356000000,-1216000000,-2655000000,-2836000000,-2553000000,-1657000000,-2335000000,-785000000,-384000000,-1365000000,-2118000000,-2056000000,-4078000000,-4972000000,-4998000000,-4501000000,-4414000000,-8470000000,-7788000000,-10729000000,-12238000000,-11955000000,1477000000,-5016000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,948600000,1778100000,1882000000,2014200000,2878200000,-1705500000,820100000,349000000,689000000,1309000000,1927000000,998000000,504000000,-484000000,2303000000,1211000000,6284000000,-719000000,6821000000,1239000000,2652000000,1281000000,-143000000,-200000000,2016000000,3041000000,-1975000000,206000000,895000000,-679000000,-4042000000,9125000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,803800000,323800000,149500000,676900000,1324000000,1114000000,1391000000,2039000000,2916000000,2929000000,2898000000,236000000,285000000,453000000,-1123000000,175000000,993000000,1359000000,-1707000000,1379000000,2832000000,2834000000,2476000000,4504000000,4947000000,7927000000,7205000000,5148000000,7014000000,8425000000,-3793000000,3263000000
84,CAPEX,- -,- -,- -,- -,- -,-1689500000,-2144600000,-2481000000,-1413100000,-1205000000,-626000000,-936000000,-1948000000,-2291000000,-2819000000,-4060000000,-2793000000,-1286000000,-744000000,-760000000,-814000000,-413000000,-1036000000,-1522000000,-1202000000,-1342000000,-1254000000,-1968000000,-2568000000,-2249000000,-2945000000,-3391000000,-3891000000,-5168000000,-4936000000,-1899000000,-3247000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-570000000,-232000000,- -,- -,- -,- -,- -,- -,- -,2441000000,- -,- -,- -,- -,-360000000,- -,-776000000,- -,-1245000000,- -,109000000,-2099000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-266500000,- -,- -,- -,-408000000,-121000000,- -,- -,- -,- -,- -,- -,-134000000,- -,- -,- -,- -,-44000000,-92000000,- -,- -,-1078000000,-958000000,-959000000,-1795000000,-998000000,-1707000000,-925000000,-145000000,- -,-13400000000,-12655000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529000000,524000000,87000000,456000000,350000000,1000000,- -,117000000,609000000,157000000,- -,844000000,1019000000,1117000000,1533000000,739000000,2686000000,584000000,766000000,206000000,7608000000,15036000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-18100000,-27100000,-558100000,86300000,103000000,252000000,48000000,7000000,-33000000,598000000,367000000,-427000000,224000000,28000000,190000000,353000000,52000000,338000000,162000000,37000000,-684000000,-10000000,-55000000,14000000,48000000,25000000,257000000,111000000,154000000,58000000,552000000,-31000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-1974100000,-2171700000,-3039100000,-1326800000,-1510000000,-495000000,-888000000,-1941000000,-2324000000,-2791000000,-3396000000,-2696000000,-1109000000,-260000000,-220000000,-460000000,-361000000,-625000000,1598000000,-1008000000,-2026000000,-1498000000,-1962000000,-2756000000,-2463000000,-3955000000,-2155000000,-5366000000,-4393000000,-4563000000,-9238000000,-897000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-547000000,-572000000,-440000000,-196000000,-307000000,-431000000,-1187000000,-173000000,-734000000,-650000000,-1452000000,-1615000000,-600000000,-1480000000,-1596000000,-2891000000,-3722000000,-4172000000,-2864000000,-1461000000,-2928000000,-2558000000,-1709000000,-1258000000,-3052000000,-3320000000,-8559000000,-5833000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4000000,35000000,38000000,318000000,131000000,33000000,2000000,- -,- -,- -,- -,- -,- -,192000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66000000,-379000000,-354000000,-885000000,-502000000,- -,-42000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,-1100000000,-2200000000,-2601000000,-1677000000,-1575000000,-2027000000,-344000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-113600000,-83800000,-89400000,-138500000,-120000000,-120000000,-120000000,-44000000,-43000000,-43000000,-40000000,-40000000,-39000000,-19000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102000000,-251000000,-359000000,-509000000,-731000000,-909000000,-980000000,-260000000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,822700000,2627000000,2265700000,1918400000,974000000,- -,- -,- -,209000000,1137000000,1935000000,3517000000,1398000000,1217000000,2088000000,2445000000,-6000000,1360000000,3120000000,2872000000,1201000000,2601000000,2109000000,493000000,1039000000,1029000000,559000000,2936000000,3810000000,3447000000,28519000000,1981000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,709100000,2543200000,2176300000,1779900000,308000000,-688000000,-591000000,-581000000,-177000000,-91000000,239000000,3306000000,583000000,548000000,636000000,830000000,-606000000,-120000000,1716000000,-19000000,-2521000000,-1571000000,-755000000,-1320000000,-3240000000,-4088000000,-4260000000,-730000000,-1726000000,-2880000000,19356000000,-3852000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,709100000,2543200000,2176300000,1779900000,122000000,-69000000,-88000000,-483000000,415000000,47000000,-259000000,846000000,-241000000,741000000,-707000000,545000000,26000000,614000000,1607000000,352000000,-1715000000,-235000000,-241000000,428000000,-756000000,-116000000,790000000,-948000000,895000000,982000000,6325000000,-1486000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1302000000,1233000000,1145000000,662000000,1077000000,1124000000,1364000000,2210000000,1969000000,2710000000,1463000000,2008000000,2034000000,2648000000,4255000000,4607000000,2892000000,2657000000,2416000000,2844000000,2088000000,1972000000,2762000000,1814000000,2748000000,3730000000,10055000000,8569000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,529700000,68500000,763700000,50400000,1180000000,1302000000,1233000000,1145000000,662000000,1077000000,1623000000,1364000000,2210000000,1969000000,2170000000,1463000000,2008000000,2034000000,2648000000,4255000000,4607000000,2892000000,2657000000,2416000000,2844000000,2088000000,1972000000,2762000000,1853000000,2748000000,3730000000,10055000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-885700000,-1820800000,-2331500000,-736200000,119000000,488000000,455000000,91000000,625000000,110000000,-1162000000,-2557000000,-1001000000,-291000000,-1883000000,-639000000,580000000,323000000,-3229000000,177000000,1490000000,1580000000,508000000,1936000000,2698000000,4982000000,3814000000,1257000000,1846000000,3489000000,-5692000000,16000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095010994001748/0000950109-94-001748-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014495002692/0000950144-95-002692-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014496006709/0000950144-96-006709-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014497010440/0000950144-97-010440-index.html,https://www.sec.gov/Archives/edgar/data/27904/000104746998035570/0001047469-98-035570-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095014404002423/0000950144-04-002423-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014405002298/0000950144-05-002298-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014406002765/0000950144-06-002765-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000118811207000582/0001188112-07-000582-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312508032611/0001193125-08-032611-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312509042726/0001193125-09-042726-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012310016275/0000950123-10-016275-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012311014364/0000950123-11-014364-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530512000272/0001445305-12-000272-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530513000209/0001445305-13-000209-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790414000003/0000027904-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/0000027904-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790416000018/0000027904-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790417000004/0000027904-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790418000006/0000027904-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790419000003/0000027904-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790420000004/0000027904-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790421000003/0000027904-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/0000027904-22-000003-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
