,https://roic.ai/company/PTSI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-400000,-500000,-15111623,-25307000,-19921000,-16736000,-46119000,-51480000,-30732000,-47515000,-42067000,-74238000,-53703000,-62013000,-53514000,-76166000,-60218000,-12261000,-24056000,-69352000,-98046000,-71520000,-28588000,-125720000,-86128000,-67674000,-73882000,-79354000,-48226000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4020000,-2423000,-1884000,-1203000,-5389000,-4154000,- -,-1621000,-2142000,-77000,-838000,-4210000,-2769000,-810000,-3211000,-7318000,-203000,-3923000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000,- -,- -,- -,1622000,611000,399000,622000,1137000,4554000,857000,1720000,1500000,1550000,6833000,1045000,2984000,2039000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,100000,1400000,3200000,4784614,3142000,3060000,195000,7846000,3696000,13073000,10768000,11672000,9696000,31396000,22870000,11987000,18200000,15440000,9479000,10868000,8983000,20975000,27184000,31029000,41484000,32573000,18904000,24904000,14263000,17418000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,100000,1000000,2700000,-10327009,-22165000,-16861000,-16541000,-38273000,-47784000,-17659000,-36747000,-30395000,-68410000,-24730000,-41027000,-42730000,-61733000,-48321000,-2383000,-14187000,-61374000,-72594000,-44317000,-49000,-85505000,-52815000,-45148000,-55251000,-62310000,-32692000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-7000000,-40400000,-39900000,-71486601,-110601000,-147538000,-172416000,-202466000,-218148000,-218453000,-281201000,-407131000,-708517000,-358666000,-408190000,-466649000,-487026000,-607360000,-363237000,-390317000,-366482000,-477524000,-462642000,-530810000,-596705000,-578326000,-541140000,-690067000,-659298000,-584171000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,100000,4527608,143000,4724000,388000,175000,489000,- -,- -,54538000,- -,- -,- -,300000,120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8852384,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17869000,- -,-7331000,-3927000,- -,- -,-8112000,- -,-508000,-16011000,-48021000,-21056000,-6348000,-13369000,-14285000,-2281000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17403000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,37000000,34400000,73706722,120896000,144928000,164031000,216611000,223482000,200583000,286914000,363991000,711290000,355276000,424815000,448287000,510148000,619414000,342494000,393404000,387479000,534223000,464962000,518094000,641214000,604775000,542247000,676398000,651632000,551573000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-7000000,-3400000,-5400000,-2104655,10438000,2114000,-7997000,14320000,5823000,-17870000,5713000,11398000,2773000,-3390000,-1244000,-18062000,15911000,8127000,-20743000,3087000,12885000,39296000,1812000,-28727000,-3512000,5393000,-5241000,-27038000,-21951000,-34879000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,456212,3551000,-1688000,460000,-438000,-2406000,-3072000,411000,29870000,-27702000,16595000,-18530000,-89000,-633000,451000,9012000,3904000,-13594000,327000,665000,26477000,-27492000,-20000,87000,58000,36000,19000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4077854,7629000,5941000,6401000,5963000,3557000,485000,896000,30766000,3064000,19659000,1129000,1040000,407000,858000,9870000,13774000,180000,507000,1172000,27649000,157000,137000,224000,282000,318000,337000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,300000,100000,200000,3621642,4078000,7629000,5941000,6401000,5963000,3557000,485000,896000,30766000,3064000,19659000,1129000,1040000,407000,858000,9870000,13774000,180000,507000,1172000,27649000,157000,137000,224000,282000,318000,337000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,6800000,2000000,5700000,-2223747,-10029000,-6862000,8262000,-22604000,-11925000,1725000,-16070000,6800000,-36303000,-8988000,-38272000,7189000,-30977000,-19573000,19877000,-9052000,-34457000,-64421000,-28350000,26665000,-64195000,-38726000,-17198000,8465000,4943000,19364000,- -
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798287/000079828707000007/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828708000005/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828709000004/0000798287-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828710000005/0000798287-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828711000006/form10k_2010.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828712000005/0000798287-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828713000007/0000798287-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774914004185/ptsi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774915005163/ptsi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774916027684/0001437749-16-027684-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774917004478/0001437749-17-004478-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774918004278/0001437749-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774919004644/0001437749-19-004644-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774920005139/0001437749-20-005139-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774921005114/0001437749-21-005114-index.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774922005995/0001437749-22-005995-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
