,https://roic.ai/company/NLOK,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,-600000,-4000000,-2000000,100000,- -,- -,- -,- -,-15700000,29439000,-12260000,-1060000,7823000,-65138000,-800000,1000000,121464000,104715000,39713000,45000000,32000000,- -,-1000000,- -,- -,-63000000,2000000,-24000000,7000000,3000000,213000000
89,Cash Used for Investing Activites,- -,-2800000,-11500000,-17500000,-13400000,-35600000,-76700000,-22000000,-52200000,-96000000,-39600000,-330478000,24220000,-869263000,-756640000,-517298000,-663159000,3619605000,-222455000,-1526218000,-961937000,-65000000,-1760000000,-318000000,-319000000,-583000000,-1154000000,7173000000,-6766000000,-21000000,-241000000,11379000000,-69000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-207630000,-5000000,-510000000,-600000000,- -,-1189000000,-21000000,-368000000,-107000000,-3210000000,-600000000,-868000000,-1941000000
91,Common Stock Issued,- -,10000000,9400000,7100000,6000000,16500000,19800000,20800000,12100000,33100000,19400000,71314000,46432000,133857000,137711000,189154000,159926000,209563000,556397000,224152000,229133000,124000000,122000000,147000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,-21300000,-56300000,-18730000,-244410000,-204420000,- -,-60000000,-191916000,-3628165000,-2846312000,-1499995000,-715488000,-573000000,-900000000,-893000000,-826000000,-500000000,-500000000,-1868000000,-500000000,- -,-234000000,-1581000000,-304000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-418000000,-413000000,-3030000000,-222000000,-211000000,-217000000,-7481000000,-373000000
94,Other Financing Activites,- -,2600000,-8700000,-2900000,23700000,-12000000,-900000,-500000,-400000,- -,-25100000,-1092000,-363000,584625000,-64332000,- -,- -,-491462000,980348000,210290000,17878000,13000000,1104000000,-40000000,1134000000,395000000,123000000,502000000,6120000000,-54000000,-158000000,-193000000,715000000
95,Cash Used/Provided by Financing Activities,- -,8600000,700000,4200000,29700000,4500000,18900000,20300000,11700000,11800000,-62000000,51492000,-198341000,514062000,73379000,129154000,-31990000,-3910064000,-1309567000,-1065553000,-676107000,-441000000,-184000000,-1386000000,308000000,-1712000000,-811000000,-4764000000,5291000000,-3475000000,-1209000000,-10123000000,-1903000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,-100000,-700000,-2400000,2300000,100000,-3400000,-7100000,-1128000,-10452000,-4682000,14725000,30095000,18261000,-22248000,109199000,104309000,-130277000,49000000,71000000,15000000,-59000000,36000000,-180000000,-96000000,-41000000,73000000,-28000000,-9000000,22000000
97,Net Change In Cash,- -,8600000,700000,4200000,29700000,4500000,-10100000,20300000,11700000,11800000,-62000000,-55890000,139950000,151314000,-84631000,544556000,530571000,1224189000,243412000,-668809000,-97723000,1236000000,-79000000,212000000,1523000000,-978000000,-833000000,3109000000,-1736000000,-2473000000,17000000,386000000,-1244000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,22800000,- -,- -,- -,- -,87973000,227923000,379237000,294606000,839162000,1091433000,2315622000,2559034000,1890225000,1792502000,3029000000,2950000000,3162000000,4685000000,3707000000,2874000000,5983000000,4247000000,1774000000,1791000000,2177000000,933000000
99,Cash at the Beginning of Period,- -,4300000,25100000,20700000,26700000,54400000,32900000,30200000,41800000,95800000,139000000,143863000,87973000,227923000,379237000,294606000,560862000,1091433000,2315622000,2559034000,1890225000,1793000000,3029000000,2950000000,3162000000,4685000000,3707000000,2874000000,5983000000,4247000000,1774000000,1791000000,2177000000
100,Free Cash Flow,- -,8700000,-400000,5800000,-7300000,-9000000,28200000,-25200000,66500000,103600000,18100000,195769000,263351000,370340000,389511000,791395000,1115923000,1262475000,1233186000,1544846000,1398358000,1445000000,1526000000,1615000000,1257000000,1021000000,931000000,524000000,-290000000,808000000,1288000000,-950000000,700000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000091205795004482/0000912057-95-004482-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000089161800003551/0000891618-00-003551-index.html,https://www.sec.gov/Archives/edgar/data/849399/000089161801501315/0000891618-01-501315-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849399/000095013409011638/0000950134-09-011638-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012310052086/0000950123-10-052086-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000095012311052609/0000950123-11-052609-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312512241997/0001193125-12-241997-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312513226119/0001193125-13-226119-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312514202922/0001193125-14-202922-index.htm,- -,https://www.sec.gov/Archives/edgar/data/849399/000084939916000022/0000849399-16-000022-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939917000009/0000849399-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000119312518309091/0001193125-18-309091-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939919000005/0000849399-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939920000004/0000849399-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/849399/000084939921000010/0000849399-21-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
